Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.234-10.42.0.211-443-52639-6,10.42.0.211,52639,172.217.9.234,443,6,08/08/2017 03:35:15,36291,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.11008238957318,36291.0,0.0,36291.0,36291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.55504119478659,27.55504119478659,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.211-443-40800-6,10.42.0.211,40800,172.217.10.142,443,6,08/08/2017 03:35:16,37479,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36321673470477,37479.0,0.0,37479.0,37479.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.681608367352386,26.681608367352386,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1412,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.97-10.42.0.211-443-42852-6,10.42.0.211,42852,172.217.10.97,443,6,08/08/2017 03:35:16,36119,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37251861900939,36119.0,0.0,36119.0,36119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.686259309504695,27.686259309504695,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.211-443-55824-6,10.42.0.211,55824,172.217.9.234,443,6,08/08/2017 03:35:16,37156,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.827107331252016,37156.0,0.0,37156.0,37156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.913553665626008,26.913553665626008,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.132-10.42.0.211-443-47843-6,10.42.0.211,47843,172.217.7.132,443,6,08/08/2017 03:35:16,41881,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.75435161529094,41881.0,0.0,41881.0,41881.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.87717580764547,23.87717580764547,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.211-443-38078-6,10.42.0.211,38078,172.217.10.142,443,6,08/08/2017 03:35:18,728,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,42582.41758241758,2747.252747252747,728.0,0.0,728.0,728.0,728.0,728.0,0.0,728.0,728.0,0,0,0,0,0,1,0,0,0,64,0,2747.252747252747,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1683,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.211-443-38078-6,172.217.10.142,443,10.42.0.211,38078,6,08/08/2017 03:35:19,589,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3395.585738539898,589.0,0.0,589.0,589.0,589.0,589.0,0.0,589.0,589.0,0,0,0,0,0,0,0,0,0,64,0,3395.585738539898,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-43140-6,10.42.0.211,43140,203.205.147.229,80,6,08/08/2017 03:35:26,491850,5,3,530.0,1145.0,530.0,0.0,106.0,237.0232056149777,1145.0,0.0,381.6666666666667,661.0660582221216,3405.5098099013926,16.265121480126055,70264.28571428571,111111.85899760998,232853.0,575.0,491850.0,122962.5,139184.96022559333,247553.0,575.0,252323.0,126161.5,160984.8795523977,239995.0,12328.0,0,0,0,0,168,104,10.165700925078784,6.099420555047271,0.0,1145.0,186.11111111111111,400.0295128001322,160023.61111111112,0,0,0,1,0,0,0,0,0.0,209.375,106.0,381.6666666666667,168,0,0,0,0,0,0,5,530,3,1145,65535,215,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-43138-6,10.42.0.211,43138,203.205.147.229,80,6,08/08/2017 03:35:26,496426,5,3,546.0,291.0,546.0,0.0,109.2,244.17862314297702,291.0,0.0,97.0,168.0089283341811,1686.0518989738653,16.115191388041723,70918.0,111238.72435892098,233656.0,1164.0,496426.0,124106.5,140897.87581199844,251864.0,1164.0,259532.0,129766.0,160875.2780013138,243522.0,16010.0,0,0,0,0,168,104,10.071994617526077,6.043196770515646,0.0,546.0,93.0,195.24215733288753,38119.50000000001,0,0,0,1,0,0,0,0,0.0,104.625,109.2,97.0,168,0,0,0,0,0,0,5,546,3,291,65535,216,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-43143-6,10.42.0.211,43143,203.205.147.229,80,6,08/08/2017 03:35:26,1470349,5,4,864.0,1735.0,864.0,0.0,172.8,386.3925465119637,1448.0,0.0,433.75,689.5691287560177,1767.6075543969494,6.120995763590821,183793.625,322343.6087415936,942068.0,11.0,1470349.0,367587.25,402844.1182040311,942068.0,1610.0,1207687.0,402562.3333333334,674880.4636388087,1181703.0,11.0,0,0,0,0,168,136,3.4005532019949007,2.7204425615959207,0.0,1448.0,259.9,500.0098776802092,250009.87777777776,0,0,0,1,0,0,0,0,0.0,288.77777777777777,172.8,433.75,168,0,0,0,0,0,0,5,864,4,1735,65535,235,1,32,0,0,0,0,0,0,0,0,BENIGN
