Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.138-10.42.0.211-443-40034-6,10.42.0.211,40034,172.217.12.138,443,6,08/08/2017 04:37:46,573604,11,10,1350.0,4690.0,998.0,0.0,122.72727272727272,299.54535246239124,1418.0,0.0,469.00000000000006,562.1217740747007,10529.912622645588,36.61062335688035,28680.199999999997,65579.34418991201,288431.0,11.0,573604.0,57360.4,86575.25821079985,288431.0,13.0,241925.0,26880.555555555555,42730.25622761672,111844.0,11.0,0,0,0,0,360,328,19.17699318693733,17.433630169943026,0.0,1418.0,274.5454545454545,460.23490143856367,211816.16450216444,0,0,0,1,0,0,0,0,0.0,287.6190476190476,122.72727272727273,469.0,360,0,0,0,0,0,0,11,1350,10,4690,65535,181,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.211-443-58274-6,10.42.0.211,58274,172.217.12.138,443,6,08/08/2017 04:37:47,36300,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,853.9944903581268,82.64462809917356,18150.0,25368.16288184858,36088.0,212.0,0,0,0,0,0,212.0,212.0,0.0,212.0,212.0,1,0,0,0,32,64,27.548209366391184,55.09641873278237,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1637,319,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-37914-6,10.42.0.211,37914,172.217.10.46,443,6,08/08/2017 04:37:49,609,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,50903.11986863711,3284.072249589491,609.0,0.0,609.0,609.0,609.0,609.0,0.0,609.0,609.0,0,0,0,0,0,1,0,0,0,64,0,3284.072249589491,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1683,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-37914-6,172.217.10.46,443,10.42.0.211,37914,6,08/08/2017 04:37:49,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
209.85.232.139-10.42.0.211-443-35879-6,10.42.0.211,35879,209.85.232.139,443,6,08/08/2017 04:37:50,574,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,40069.68641114983,3484.3205574912895,574.0,0.0,574.0,574.0,574.0,574.0,0.0,574.0,574.0,0,0,0,0,0,1,0,0,0,64,0,3484.3205574912895,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.211-443-44558-6,10.42.0.211,44558,172.217.12.138,443,6,08/08/2017 04:37:51,36703,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.491458463885785,36703.0,0.0,36703.0,36703.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.245729231942892,27.245729231942892,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1814,191,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.180-45593-443-6,10.42.0.211,45593,98.139.180.180,443,6,08/08/2017 04:37:53,5811185,7,9,336.0,5024.0,210.0,0.0,48.0,85.48684109265004,1460.0,0.0,558.2222222222222,642.8290553828789,922.3592090081455,2.753311071666106,387412.3333333333,1456774.511998323,5652928.0,6.0,157919.0,26319.833333333336,24340.907094162838,66624.0,849.0,5786061.0,723257.6249999999,1993165.5143531242,5655408.0,6.0,0,0,0,0,160,192,1.2045735938539213,1.5487374778121845,0.0,1460.0,315.2941176470589,529.1704315135487,280021.3455882353,0,0,0,1,0,0,0,0,1.0,335.0,48.0,558.2222222222222,160,0,0,0,0,0,0,7,336,9,5024,65535,62,2,20,157919.0,0.0,157919.0,157919.0,5652928.0,0.0,5652928.0,5652928.0,BENIGN
172.217.12.138-10.42.0.211-443-33514-6,10.42.0.211,33514,172.217.12.138,443,6,08/08/2017 04:38:00,465,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4301.075268817204,465.0,0.0,465.0,465.0,465.0,465.0,0.0,465.0,465.0,0,0,0,0,0,0,0,0,0,64,0,4301.075268817204,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1548,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.138.206-41196-80-6,54.225.138.206,80,10.42.0.211,41196,6,08/08/2017 04:38:02,26493,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.49163930094743,26493.0,0.0,26493.0,26493.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,37.74581965047371,37.74581965047371,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,114,1793,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-63.250.200.101-33565-443-6,10.42.0.211,33565,63.250.200.101,443,6,08/08/2017 04:38:04,142215,7,10,1282.0,4717.0,872.0,0.0,183.14285714285714,318.86174045157804,1448.0,0.0,471.7000000000001,629.4277912870105,42182.610835706495,119.53732025454417,8888.4375,11754.077612861276,26710.0,16.0,115449.0,19241.5,15184.576000007377,34803.0,128.0,116842.0,12982.444444444445,19302.632644998914,53460.0,16.0,0,0,0,0,232,328,49.22124951657701,70.31607073796715,0.0,1448.0,333.27777777777777,522.2189990861458,272712.6830065359,0,0,0,1,0,0,0,0,1.0,352.88235294117646,183.14285714285714,471.7,232,0,0,0,0,0,0,7,1282,10,4717,65535,3840,3,32,0,0,0,0,0,0,0,0,BENIGN
