Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-23.208.217.149-41785-443-6,23.208.217.149,443,10.42.0.211,41785,6,08/08/2017 05:23:27,44,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,704545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,972,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.194.181.192-53481-443-6,23.194.181.192,443,10.42.0.211,53481,6,08/08/2017 05:23:42,40,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,774999.9999999999,49999.99999999999,40.0,0.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,0,1,0,0,0,64,0,49999.99999999999,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,972,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.86.219.32-55479-443-6,52.86.219.32,443,10.42.0.211,55479,6,08/08/2017 05:23:38,5001074,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.198668526000615,0.5998711476774788,2500537.0,3383092.997617417,4892745.0,108329.0,5001074.0,5001074.0,0.0,5001074.0,5001074.0,0,0,0,0,0,1,0,0,0,64,32,0.3999140984516526,0.1999570492258263,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,84,5504,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.227.242.253-45323-443-6,54.227.242.253,443,10.42.0.211,45323,6,08/08/2017 05:23:38,5018893,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.176660869239491,0.5977413744425314,2509446.5,3395429.8896287787,4910378.0,108515.0,5018893.0,5018893.0,0.0,5018893.0,5018893.0,0,0,0,0,0,1,0,0,0,64,32,0.3984942496283543,0.19924712481417714,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.209.162.126-41318-443-6,54.209.162.126,443,10.42.0.211,41318,6,08/08/2017 05:23:40,5010262,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.187301183051904,0.5987710822308294,2505131.0,3502991.43764897,4982120.0,28142.0,5010262.0,5010262.0,0.0,5010262.0,5010262.0,0,0,0,0,0,1,0,0,0,64,32,0.3991807214872196,0.1995903607436098,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,128,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.209.162.126-60507-443-6,54.209.162.126,443,10.42.0.211,60507,6,08/08/2017 05:23:40,5010269,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.187292538584256,0.598770245669444,2505134.5,3502518.3832123564,4981789.0,28480.0,5010269.0,5010269.0,0.0,5010269.0,5010269.0,0,0,0,0,0,1,0,0,0,64,32,0.3991801637796294,0.1995900818898147,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,114,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.86.219.32-49863-443-6,52.86.219.32,443,10.42.0.211,49863,6,08/08/2017 05:23:41,5001962,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.19756807428765,0.5997646523504178,2500981.0,3532425.4645226416,4998783.0,3179.0,5001962.0,5001962.0,0.0,5001962.0,5001962.0,0,0,0,0,0,1,0,0,0,64,32,0.39984310156694514,0.19992155078347257,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,117,1731,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.86.219.32-49863-443-6,10.42.0.211,49863,52.86.219.32,443,6,08/08/2017 05:23:46,43543,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9316078359323,43543.0,0.0,43543.0,43543.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,22.96580391796615,22.96580391796615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1731,117,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.209.162.126-60507-443-6,10.42.0.211,60507,54.209.162.126,443,6,08/08/2017 05:23:46,2291220,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,13.529909829697715,1.3093461125513919,1145610.0,1618713.0861329318,2290213.0,1007.0,2291220.0,1145610.0,1618713.0861329318,2290213.0,1007.0,0,0,0,0,0,0,0,0,0,96,0,1.3093461125513919,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1595,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.209.162.126-41318-443-6,10.42.0.211,41318,54.209.162.126,443,6,08/08/2017 05:23:46,2291382,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,13.528953269249737,1.3092535421854583,1145691.0,1620231.9514989203,2291368.0,14.0,2291382.0,1145691.0,1620231.9514989203,2291368.0,14.0,0,0,0,0,0,0,0,0,0,96,0,1.3092535421854583,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1595,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
