Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-23.21.88.156-53482-443-6,23.21.88.156,443,10.42.0.211,53482,6,08/08/2017 08:12:17,5015967,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.1802639451176615,0.598090059204935,2507983.5,3404711.3732386334,4915478.0,100489.0,5015967.0,5015967.0,0.0,5015967.0,5015967.0,0,0,0,0,0,1,0,0,0,64,32,0.3987267061366233,0.19936335306831166,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.23.248.130-47854-443-6,23.23.248.130,443,10.42.0.211,47854,6,08/08/2017 08:12:18,5004186,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.194813701968712,0.5994981001905205,2502093.0,3376659.740122182,4889752.0,114434.0,5004186.0,5004186.0,0.0,5004186.0,5004186.0,0,0,0,0,0,1,0,0,0,64,32,0.3996654001270137,0.19983270006350684,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,78,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.211-443-43432-6,10.42.0.211,43432,172.217.6.206,443,6,08/08/2017 08:12:35,36614,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6239143497023,36614.0,0.0,36614.0,36614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.31195717485115,27.31195717485115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,196,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.211-443-40971-6,10.42.0.211,40971,172.217.6.206,443,6,08/08/2017 08:12:35,37018,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.027770273920794,37018.0,0.0,37018.0,37018.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.013885136960397,27.013885136960397,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,181,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-55848-6,10.42.0.211,55848,172.217.10.234,443,6,08/08/2017 08:12:40,36728,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.45436724025267,36728.0,0.0,36728.0,36728.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.227183620126336,27.227183620126336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-55920-6,10.42.0.211,55920,172.217.10.238,443,6,08/08/2017 08:12:45,36684,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.9763384581834,81.77952240758914,18342.0,25694.846214756762,36511.0,173.0,0,0,0,0,0,173.0,173.0,0.0,173.0,173.0,1,0,0,0,32,64,27.259840802529713,54.519681605059425,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-48688-6,10.42.0.211,48688,172.217.10.238,443,6,08/08/2017 08:12:46,36614,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.1750150215764,81.93587152455345,18307.0,25832.024930306954,36573.0,41.0,0,0,0,0,0,41.0,41.0,0.0,41.0,41.0,1,0,0,0,32,64,27.31195717485115,54.6239143497023,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-50293-6,10.42.0.211,50293,172.217.10.234,443,6,08/08/2017 08:12:47,36687,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.515223376127786,36687.0,0.0,36687.0,36687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.257611688063893,27.257611688063893,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2904,181,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-47328-6,10.42.0.211,47328,172.217.10.234,443,6,08/08/2017 08:12:51,37005,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,837.7246318065125,81.07012565869476,18502.5,25821.418328589156,36761.0,244.0,0,0,0,0,0,244.0,244.0,0.0,244.0,244.0,1,0,0,0,32,64,27.023375219564922,54.046750439129845,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1746,213,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.5-58019-443-6,10.42.0.211,58019,31.13.80.5,443,6,08/08/2017 08:13:10,38254,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,810.3727714748784,78.42317143305274,19127.0,26986.023197203398,38209.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,32,64,26.141057144350917,52.282114288701834,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
