Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.234-10.42.0.211-443-52522-6,10.42.0.211,52522,172.217.10.234,443,6,08/08/2017 09:35:05,106,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,292452.8301886792,18867.924528301886,106.0,0.0,106.0,106.0,106.0,106.0,0.0,106.0,106.0,0,0,0,0,0,1,0,0,0,64,0,18867.924528301886,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1949,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-52522-6,172.217.10.234,443,10.42.0.211,52522,6,08/08/2017 09:35:05,259,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7722.007722007722,259.0,0.0,259.0,259.0,259.0,259.0,0.0,259.0,259.0,0,0,0,0,0,0,0,0,0,64,0,7722.007722007722,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,213,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-59031-6,10.42.0.211,59031,172.217.10.46,443,6,08/08/2017 09:35:06,37193,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.3959347188987,80.66033931116071,18596.5,26252.75346511295,37160.0,33.0,0,0,0,0,0,33.0,33.0,0.0,33.0,33.0,1,0,0,0,32,64,26.8867797703869,53.7735595407738,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-48974-6,10.42.0.211,48974,172.217.10.46,443,6,08/08/2017 09:35:06,287,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,80139.37282229966,6968.641114982579,287.0,0.0,287.0,287.0,287.0,287.0,0.0,287.0,287.0,0,0,0,0,0,1,0,0,0,64,0,6968.641114982579,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-48974-6,172.217.10.46,443,10.42.0.211,48974,6,08/08/2017 09:35:06,287,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6968.641114982579,287.0,0.0,287.0,287.0,287.0,287.0,0.0,287.0,287.0,0,0,0,0,0,0,0,0,0,64,0,6968.641114982579,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,192,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47074-6,157.240.18.36,443,10.42.0.211,47074,6,08/08/2017 09:35:08,52,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,807692.3076923077,38461.53846153846,52.0,0.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,0,0,0,0,0,1,0,0,0,64,0,38461.53846153846,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47074-6,157.240.18.36,443,10.42.0.211,47074,6,08/08/2017 09:35:08,102766,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,408.695482941829,19.46168966389662,102766.0,0.0,102766.0,102766.0,102766.0,102766.0,0.0,102766.0,102766.0,0,0,0,0,0,0,0,0,0,64,0,19.46168966389662,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,1,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47074-6,10.42.0.211,47074,157.240.18.36,443,6,08/08/2017 09:35:08,141,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,297872.3404255319,21276.59574468085,70.5,57.27564927611035,111.0,30.0,141.0,70.5,57.27564927611035,111.0,30.0,0,0,0,0,0,0,0,0,0,96,0,21276.59574468085,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47074-6,10.42.0.211,47074,157.240.18.36,443,6,08/08/2017 09:35:08,229615,4,0,42.0,0.0,42.0,0.0,10.5,21.0,0,0,0,0,182.9148792544041,17.420464690895628,76538.33333333333,132039.44919732638,229004.0,20.0,229615.0,76538.33333333333,132039.44919732638,229004.0,20.0,0,0,0,0,0,0,0,0,0,152,0,17.420464690895628,0.0,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,0,0,0,0.0,10.5,10.5,0.0,152,0,0,0,0,0,0,4,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.174.11.1-40074-80-6,10.42.0.211,40074,108.174.11.1,80,6,08/08/2017 09:35:32,84766,3,4,371.0,170.0,371.0,0.0,123.66666666666667,214.19694986935116,170.0,0.0,42.5,85.0,6382.275912512093,82.5802798291768,14127.666666666666,20187.004123115115,40310.0,36.0,43713.0,21856.5,30730.153603586168,43586.0,127.0,44456.0,14818.666666666668,24742.500971674897,43383.0,36.0,0,0,0,0,104,136,35.391548498218626,47.18873133095817,0.0,371.0,67.625,136.25389902678015,18565.125000000004,0,0,0,1,0,0,0,0,1.0,77.28571428571429,123.66666666666667,42.5,104,0,0,0,0,0,0,3,371,4,170,65535,16,1,32,0,0,0,0,0,0,0,0,BENIGN
