Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.106-10.42.0.211-443-56373-6,10.42.0.211,56373,172.217.3.106,443,6,08/08/2017 10:18:43,36690,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.510765876260564,36690.0,0.0,36690.0,36690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.255382938130282,27.255382938130282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-38685-6,10.42.0.211,38685,172.217.10.78,443,6,08/08/2017 10:18:43,36716,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.472164723826126,36716.0,0.0,36716.0,36716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.236082361913063,27.236082361913063,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,181,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-42336-6,10.42.0.211,42336,172.217.10.78,443,6,08/08/2017 10:18:43,36409,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.93147298744816,36409.0,0.0,36409.0,36409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.46573649372408,27.46573649372408,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,196,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-46896-6,10.42.0.211,46896,172.217.3.106,443,6,08/08/2017 10:18:47,36739,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,843.7899779525844,81.65709464057268,18369.5,25599.38679929658,36471.0,268.0,0,0,0,0,0,268.0,268.0,0.0,268.0,268.0,1,0,0,0,32,64,27.21903154685756,54.43806309371512,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2470,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-43938-6,10.42.0.211,43938,172.217.3.110,443,6,08/08/2017 10:18:48,36939,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.6481496521292,81.21497604158206,18469.5,26056.17777994309,36894.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,1,0,0,0,32,64,27.071658680527356,54.14331736105471,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-39617-6,10.42.0.211,39617,172.217.3.110,443,6,08/08/2017 10:19:11,339,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,67846.60766961653,5899.705014749263,339.0,0.0,339.0,339.0,339.0,339.0,0.0,339.0,339.0,0,0,0,0,0,1,0,0,0,64,0,5899.705014749263,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-39617-6,172.217.3.110,443,10.42.0.211,39617,6,08/08/2017 10:19:11,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,64,0,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,192,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-48144-6,10.42.0.211,48144,172.217.10.234,443,6,08/08/2017 10:18:51,40742883,12,10,460.0,4277.0,218.0,0.0,38.333333333333336,62.8856586242528,1418.0,0.0,427.7,611.6685831032648,116.2657046139813,0.5399716068202636,1940137.2857142854,8838633.329893826,4.0515039E7,8.0,4.0742883E7,3703898.4545454546,1.2208903579074122E7,4.0515039E7,91.0,153674.0,17074.88888888889,22510.014851419157,49266.0,8.0,0,0,0,0,392,328,0.2945299673565074,0.24544163946375616,0.0,1418.0,205.95652173913038,441.1780179000999,194638.04347826086,0,0,0,1,0,0,0,0,0.0,215.3181818181818,38.333333333333336,427.7,392,0,0,0,0,0,0,12,460,10,4277,65535,170,6,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.36-38822-443-6,10.42.0.211,38822,31.13.71.36,443,6,08/08/2017 10:18:33,65292879,12,13,829.0,4629.0,411.0,0.0,69.08333333333334,126.18201740006978,1398.0,0.0,356.07692307692304,527.6050387582334,83.59257676476481,0.3828901464124442,2720536.625,1.3263975841913516E7,6.49929E7,24.0,299735.0,27248.636363636364,27596.82626054209,87121.0,69.0,6.5262717E7,5438559.75,1.8755845603325836E7,6.4996223E7,24.0,0,0,0,0,392,424,0.1837872702779732,0.19910287613447097,0.0,1398.0,209.92307692307696,403.74922148055447,163013.4338461538,0,0,0,1,0,0,0,0,1.0,218.32,69.08333333333333,356.0769230769231,392,0,0,0,0,0,0,12,829,13,4629,65535,118,5,32,299735.0,0.0,299735.0,299735.0,6.49929E7,0.0,6.49929E7,6.49929E7,BENIGN
157.240.2.25-10.42.0.211-443-36729-6,10.42.0.211,36729,157.240.2.25,443,6,08/08/2017 10:18:34,66337831,46,66,1567.0,67531.0,413.0,0.0,34.06521739130435,82.27417636548152,1398.0,0.0,1023.1969696969694,584.5390352089274,1041.6077667658444,1.6883277356475523,597638.117117117,6166102.875972847,6.497227E7,5.0,1292490.0,28722.00000000001,106904.32816775944,708511.0,9.0,6.6302626E7,1020040.4,8056833.605885214,6.497227E7,5.0,0,0,0,0,1480,2120,0.6934203199981019,0.9949074156494505,0.0,1398.0,611.4867256637165,664.2166050942516,441183.698482933,0,0,0,1,0,0,0,0,1.0,616.9464285714286,34.06521739130435,1023.1969696969697,1480,0,0,0,0,0,0,46,1567,66,67531,65535,135,10,32,1365503.0,0.0,1365503.0,1365503.0,6.497227E7,0.0,6.497227E7,6.497227E7,BENIGN
