Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.110-10.42.0.42-443-50956-6,10.42.0.42,50956,172.217.10.110,443,6,08/08/2017 01:26:28,96,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,322916.6666666667,20833.333333333332,96.0,0.0,96.0,96.0,96.0,96.0,0.0,96.0,96.0,0,0,0,0,0,1,0,0,0,64,0,20833.333333333332,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1594,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.42-443-50956-6,172.217.10.110,443,10.42.0.42,50956,6,08/08/2017 01:26:28,312,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6410.25641025641,312.0,0.0,312.0,312.0,312.0,312.0,0.0,312.0,312.0,0,0,0,0,0,0,0,0,0,64,0,6410.25641025641,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-35060-6,157.240.2.20,443,10.42.0.42,35060,6,08/08/2017 01:26:28,26,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1615384.6153846155,76923.07692307692,26.0,0.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,1,0,0,0,64,0,76923.07692307692,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,153,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-35060-6,10.42.0.42,35060,157.240.2.20,443,6,08/08/2017 01:26:28,98,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,428571.4285714286,20408.163265306124,98.0,0.0,98.0,98.0,98.0,98.0,0.0,98.0,98.0,0,0,0,0,0,1,0,0,0,64,0,20408.163265306124,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1766,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-50309-6,10.42.0.42,50309,172.217.3.106,443,6,08/08/2017 01:26:31,36130,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.35566011624688,36130.0,0.0,36130.0,36130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.67783005812344,27.67783005812344,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.17.35-10.42.0.42-443-40014-6,10.42.0.42,40014,172.217.17.35,443,6,08/08/2017 01:26:31,118793,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.83600885574066,118793.0,0.0,118793.0,118793.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.41800442787033,8.41800442787033,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.42-443-55837-6,157.240.18.36,443,10.42.0.42,55837,6,08/08/2017 01:26:34,28,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1500000.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,124,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.42-443-55837-6,157.240.18.36,443,10.42.0.42,55837,6,08/08/2017 01:26:34,106310,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,395.0710187188411,18.812905653278147,106310.0,0.0,106310.0,106310.0,106310.0,106310.0,0.0,106310.0,106310.0,0,0,0,0,0,0,0,0,0,64,0,18.812905653278147,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,1,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,124,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.42-443-55837-6,10.42.0.42,55837,157.240.18.36,443,6,08/08/2017 01:26:34,2398,4,0,42.0,0.0,42.0,0.0,10.5,21.0,0,0,0,0,17514.59549624687,1668.0567139282737,799.3333333333333,1104.5181453164694,2069.0,60.0,2398.0,799.3333333333333,1104.5181453164694,2069.0,60.0,0,0,0,0,0,0,0,0,0,152,0,1668.0567139282737,0.0,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,0,0,0,0.0,10.5,10.5,0.0,152,0,0,0,0,0,0,4,42,0,0,1592,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.20.67-10.42.0.42-443-53562-6,10.42.0.42,53562,172.217.20.67,443,6,08/08/2017 01:26:44,120483,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.599852261314872,120483.0,0.0,120483.0,120483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.299926130657436,8.299926130657436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-59073-6,10.42.0.42,59073,172.217.3.106,443,6,08/08/2017 01:26:44,36154,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31891353653815,36154.0,0.0,36154.0,36154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.659456768269074,27.659456768269074,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2080,200,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-36875-6,10.42.0.42,36875,157.56.52.23,40033,6,08/08/2017 01:26:37,10011378,4,3,14.0,23.0,14.0,0.0,3.4999999999999996,7.0,20.0,0.0,7.666666666666667,10.785793124908958,3.695794924534864,0.6992044451822715,1668563.0,3837612.843899134,9499937.0,11652.0,1.0011378E7,3337126.0,5339538.736213176,9499937.0,96051.0,378256.0,189128.0,104541.49495774393,263050.0,115206.0,1,0,0,0,128,96,0.3995453972470123,0.29965904793525927,0.0,20.0,6.375,8.24512843181614,67.98214285714286,0,1,0,0,1,0,0,0,0.0,7.285714285714286,3.5,7.666666666666667,128,0,0,0,0,0,0,4,14,3,23,1418,33,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-37056-443-6,10.42.0.42,37056,13.107.3.128,443,6,08/08/2017 01:26:47,153792,2,1,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0.0,0.0,0.0,0.0,552.6945484810653,19.506866416978774,76896.0,58667.23542148548,118380.0,35412.0,153792.0,153792.0,0.0,153792.0,153792.0,0,0,0,0,0,1,0,0,0,64,32,13.004577611319183,6.5022888056595916,0.0,85.0,42.5,49.07477288111819,2408.3333333333335,0,1,0,0,1,0,0,0,0.0,56.666666666666664,42.5,0.0,64,0,0,0,0,0,0,2,85,1,0,1595,1028,0,32,0,0,0,0,0,0,0,0,BENIGN
