Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
162.243.51.85-10.42.0.211-443-54617-6,10.42.0.211,54617,162.243.51.85,443,6,09/08/2017 12:04:06,191545,9,6,1424.0,414.0,825.0,0.0,158.22222222222223,301.2821674849749,277.0,0.0,69.0,115.69961106244048,9595.656373176016,78.31057975932549,13681.785714285716,18786.778506248942,63426.0,105.0,191545.0,23943.125,29357.057299188848,69850.0,105.0,129834.0,25966.8,26741.927019195908,67075.0,598.0,0,0,0,0,296,200,46.98634785559529,31.324231903730194,0.0,825.0,114.87500000000001,236.05560785543733,55722.25000000001,0,0,0,1,0,0,0,0,0.0,122.53333333333333,158.22222222222223,69.0,296,0,0,0,0,0,0,9,1424,6,414,65535,248,4,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.206-10.42.0.211-443-37940-6,10.42.0.211,37940,216.58.219.206,443,6,09/08/2017 12:04:07,36501,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.79301936933235,36501.0,0.0,36501.0,36501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.396509684666174,27.396509684666174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1771,181,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.23.170.194-49866-443-6,10.42.0.211,49866,23.23.170.194,443,6,09/08/2017 12:04:14,46782,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,662.6480270189389,64.12722842118764,23391.0,33000.673477976175,46726.0,56.0,0,0,0,0,0,56.0,56.0,0.0,56.0,56.0,0,0,0,0,32,64,21.375742807062547,42.751485614125095,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
156.154.200.36-10.42.0.211-443-53627-6,10.42.0.211,53627,156.154.200.36,443,6,09/08/2017 12:04:15,998517,8,10,891.0,4993.0,368.0,0.0,111.375,159.67192928000838,1448.0,0.0,499.30000000000007,672.5082486069925,5892.738931835913,18.026733645997012,58736.294117647056,141055.83091446658,586747.0,18.0,963329.0,137618.42857142858,202080.9409963057,586747.0,38174.0,964890.0,107210.0,205675.11885738632,628244.0,18.0,0,0,0,0,264,328,8.011881620443118,10.014852025553896,0.0,1448.0,309.68421052631584,528.0430382955518,278829.45029239764,0,0,0,1,0,0,0,0,1.0,326.8888888888889,111.375,499.3,264,0,0,0,0,0,0,8,891,10,4993,65535,5271,3,32,0,0,0,0,0,0,0,0,BENIGN
156.154.200.36-10.42.0.211-443-53627-6,10.42.0.211,53627,156.154.200.36,443,6,09/08/2017 12:04:16,13417,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,149.0646195125587,13417.0,0.0,13417.0,13417.0,13417.0,13417.0,0.0,13417.0,13417.0,0,0,0,0,0,0,0,0,0,64,0,149.0646195125587,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.194.181.103-54803-443-6,10.42.0.211,54803,23.194.181.103,443,6,09/08/2017 12:04:16,202146,9,10,829.0,5771.0,486.0,0.0,92.11111111111111,166.8835255832975,1448.0,0.0,577.1,619.1547015443267,32649.66905108189,93.9914715106903,11230.333333333336,15029.082606732854,44416.0,9.0,161248.0,20156.0,17672.999987874966,44416.0,9.0,178207.0,19800.777777777777,29830.58273725883,70185.0,16.0,0,0,0,0,296,328,44.522275978748034,49.46919553194226,0.0,1448.0,330.0,507.92550220428365,257988.31578947374,0,0,0,1,0,0,0,0,1.0,347.36842105263156,92.11111111111111,577.1,296,0,0,0,0,0,0,9,829,10,5771,65535,972,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.194.181.103-54803-443-6,10.42.0.211,54803,23.194.181.103,443,6,09/08/2017 12:04:16,2599,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,769.5267410542516,2599.0,0.0,2599.0,2599.0,2599.0,2599.0,0.0,2599.0,2599.0,0,0,0,0,0,0,0,0,0,64,0,769.5267410542516,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-55101-443-6,10.42.0.211,55101,74.6.105.9,443,6,09/08/2017 12:04:17,339456,8,9,1237.0,5603.0,889.0,0.0,154.625,308.0375382968771,1448.0,0.0,622.5555555555555,668.7217491436761,20149.886877828056,50.08012820512821,21216.000000000004,46612.80500749409,191624.0,10.0,312801.0,44685.857142857145,66003.58699451764,191624.0,1290.0,314526.0,39315.74999999999,75837.82572747869,221634.0,10.0,0,0,0,0,264,296,23.56711915535445,26.513009049773757,0.0,1448.0,379.99999999999994,559.5150210883792,313057.0588235294,0,0,0,1,0,0,0,0,1.0,402.3529411764706,154.625,622.5555555555555,264,0,0,0,0,0,0,8,1237,9,5603,65535,136,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-55101-443-6,10.42.0.211,55101,74.6.105.9,443,6,09/08/2017 12:04:18,7353,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,4215.966272269822,271.9978240174079,7353.0,0.0,7353.0,7353.0,7353.0,7353.0,0.0,7353.0,7353.0,0,0,0,0,0,1,0,0,0,64,0,271.9978240174079,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.211-443-52453-6,10.42.0.211,52453,172.217.11.14,443,6,09/08/2017 12:04:20,36895,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.20788724759453,36895.0,0.0,36895.0,36895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.103943623797264,27.103943623797264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,196,0,32,0,0,0,0,0,0,0,0,BENIGN
