Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.78-10.42.0.211-443-51941-6,10.42.0.211,51941,172.217.10.78,443,6,09/08/2017 02:29:42,137,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,167883.21167883213,14598.540145985402,137.0,0.0,137.0,137.0,137.0,137.0,0.0,137.0,137.0,0,0,0,0,0,1,0,0,0,64,0,14598.540145985402,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2858,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-51941-6,172.217.10.78,443,10.42.0.211,51941,6,09/08/2017 02:29:42,44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,64,0,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,324,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.195-10.42.0.211-443-34234-6,10.42.0.211,34234,172.217.6.195,443,6,09/08/2017 02:29:54,13067141,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,68.9515786199904,0.7652783420642664,1451904.5555555555,4286926.026960785,1.288351E7,305.0,1.3067141E7,2613428.2,5784375.966761903,1.2960793E7,672.0,146896.0,48965.33333333333,53053.52165816453,105526.0,305.0,0,0,0,0,200,136,0.45916700523855986,0.30611133682570657,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,175,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.195-10.42.0.211-443-34232-6,10.42.0.211,34232,172.217.6.195,443,6,09/08/2017 02:29:54,13068362,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,68.94513635297216,0.7652068407655068,1452040.2222222222,4283260.300824443,1.2873866E7,561.0,1.3068362E7,2613672.4,5778842.003261882,1.2951137E7,993.0,157632.0,52544.0,58374.4548325721,115696.0,561.0,0,0,0,0,200,136,0.45912410445930407,0.3060827363062027,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,175,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.211-443-54512-6,10.42.0.211,54512,172.217.10.227,443,6,09/08/2017 02:30:11,36701,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.494427944742654,36701.0,0.0,36701.0,36701.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.247213972371327,27.247213972371327,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.211-443-37886-6,10.42.0.211,37886,172.217.12.170,443,6,09/08/2017 02:30:11,36641,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.046778199285,81.87549466444693,18320.5,25846.874172711872,36597.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,1,0,0,0,32,64,27.291831554815644,54.58366310963129,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2470,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-36427-6,10.42.0.211,36427,172.217.10.46,443,6,09/08/2017 02:30:14,36691,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.50928020495489,36691.0,0.0,36691.0,36691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.254640102477445,27.254640102477445,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,181,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.211-443-36555-6,10.42.0.211,36555,172.217.10.46,443,6,09/08/2017 02:30:14,36900,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.200542005420054,36900.0,0.0,36900.0,36900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.100271002710027,27.100271002710027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,196,0,32,0,0,0,0,0,0,0,0,BENIGN
203.104.164.7-10.42.0.211-80-33605-6,10.42.0.211,33605,203.104.164.7,80,6,09/08/2017 02:30:23,213833,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.353093301782232,213833.0,0.0,213833.0,213833.0,213833.0,213833.0,0.0,213833.0,213833.0,0,0,0,0,0,0,0,0,0,64,0,9.353093301782232,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1444,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
203.104.164.7-10.42.0.211-80-36760-6,10.42.0.211,36760,203.104.164.7,80,6,09/08/2017 02:30:23,231292,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.647078152292341,231292.0,0.0,231292.0,231292.0,231292.0,231292.0,0.0,231292.0,231292.0,0,0,0,0,0,0,0,0,0,64,0,8.647078152292341,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,3315,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
