Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.138-10.42.0.211-443-37115-6,10.42.0.211,37115,172.217.10.138,443,6,09/08/2017 03:53:34,36675,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.53306066803,36675.0,0.0,36675.0,36675.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.266530334015,27.266530334015,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-32982-6,157.240.18.36,443,10.42.0.211,32982,6,09/08/2017 03:53:34,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,148,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-32982-6,10.42.0.211,32982,157.240.18.36,443,6,09/08/2017 03:53:34,10872,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,3863.1346578366447,275.9381898454746,5436.0,7554.728850197073,10778.0,94.0,10872.0,5436.0,7554.728850197073,10778.0,94.0,0,0,0,0,0,0,0,0,0,96,0,275.9381898454746,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1453,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-58709-6,10.42.0.211,58709,172.217.10.138,443,6,09/08/2017 03:53:43,37189,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.779343354217644,37189.0,0.0,37189.0,37189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.889671677108822,26.889671677108822,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-34281-6,10.42.0.211,34281,172.217.10.138,443,6,09/08/2017 03:53:44,36406,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,851.507993187936,54.935999560512,36406.0,0.0,36406.0,36406.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.467999780256,27.467999780256,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1420,233,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.97-10.42.0.211-443-34462-6,10.42.0.211,34462,172.217.10.97,443,6,09/08/2017 03:53:46,36798,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.35077993369205,36798.0,0.0,36798.0,36798.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.175389966846026,27.175389966846026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-37090-6,10.42.0.211,37090,172.217.10.138,443,6,09/08/2017 03:53:46,36762,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.40400413470431,36762.0,0.0,36762.0,36762.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.202002067352154,27.202002067352154,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.228-10.42.0.211-443-42000-6,10.42.0.211,42000,172.217.7.228,443,6,09/08/2017 03:53:46,42115,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.48901816454945,42115.0,0.0,42115.0,42115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.744509082274725,23.744509082274725,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.211-443-40739-6,10.42.0.211,40739,172.217.10.227,443,6,09/08/2017 03:53:47,36611,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62839037447762,36611.0,0.0,36611.0,36611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.31419518723881,27.31419518723881,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,175,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-58116-6,10.42.0.211,58116,198.105.244.11,80,6,09/08/2017 03:53:47,160973,3,4,261.0,223.0,261.0,0.0,87.0,150.68842025849233,223.0,0.0,55.75,111.5,3006.715411901375,43.48555347791245,26828.833333333332,37455.51453880545,96090.0,5.0,128777.0,64388.5,90964.33765218103,128710.0,67.0,128353.0,42784.33333333333,74095.9788472582,128343.0,5.0,0,0,0,0,80,84,18.63666577624819,24.848887701664253,0.0,261.0,60.5,112.48364960549347,12652.57142857143,0,0,0,1,0,0,0,0,1.0,69.14285714285714,87.0,55.75,80,0,0,0,0,0,0,3,261,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
