Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.206-10.42.0.211-443-53977-6,10.42.0.211,53977,172.217.6.206,443,6,09/08/2017 05:36:05,140,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,164285.7142857143,14285.714285714286,140.0,0.0,140.0,140.0,140.0,140.0,0.0,140.0,140.0,0,0,0,0,0,1,0,0,0,64,0,14285.714285714286,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2857,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.211-443-53977-6,172.217.6.206,443,10.42.0.211,53977,6,09/08/2017 05:36:05,303,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6600.660066006601,303.0,0.0,303.0,303.0,303.0,303.0,0.0,303.0,303.0,0,0,0,0,0,0,0,0,0,64,0,6600.660066006601,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,324,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.99-10.42.0.211-443-59827-6,10.42.0.211,59827,172.217.10.99,443,6,09/08/2017 05:36:24,36767,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.39660565180733,36767.0,0.0,36767.0,36767.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.198302825903664,27.198302825903664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,175,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.182.4-38767-443-6,54.225.182.4,443,10.42.0.211,38767,6,09/08/2017 05:36:20,5021566,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.173373007543862,0.5974231942784383,2510783.0,3244757.4553732057,4805173.0,216393.0,5021566.0,5021566.0,0.0,5021566.0,5021566.0,0,0,0,0,0,1,0,0,0,64,32,0.3982821295189588,0.1991410647594794,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.234.169-58258-443-6,54.225.234.169,443,10.42.0.211,58258,6,09/08/2017 05:36:21,5004972,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.193840844664066,0.5994039527094257,2502486.0,3248185.509048398,4799300.0,205672.0,5004972.0,5004972.0,0.0,5004972.0,5004972.0,0,0,0,0,0,1,0,0,0,64,32,0.39960263513961713,0.19980131756980857,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,135,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.138.197-10.42.0.211-80-60236-6,10.42.0.211,60236,180.149.138.197,80,6,09/08/2017 05:36:26,505124,3,4,370.0,437.0,370.0,0.0,123.33333333333333,213.61959960016154,437.0,0.0,109.25,218.5,1597.6275132442727,13.857983386257631,84187.33333333333,128688.21465179579,250523.0,13.0,254989.0,127494.5,178748.81610936616,253889.0,1100.0,254601.0,84867.0,146970.57320089624,254574.0,13.0,0,0,0,0,80,84,5.939135736967557,7.9188476492900755,0.0,437.0,100.875,187.64056635721695,35208.98214285714,0,0,0,1,0,0,0,0,1.0,115.28571428571429,123.33333333333333,109.25,80,0,0,0,0,0,0,3,370,4,437,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.138.197-10.42.0.211-80-60236-6,10.42.0.211,60236,180.149.138.197,80,6,09/08/2017 05:36:27,267,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7490.636704119851,267.0,0.0,267.0,267.0,267.0,267.0,0.0,267.0,267.0,0,0,0,0,0,0,0,0,0,40,0,7490.636704119851,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
174.35.73.165-10.42.0.211-80-48369-6,10.42.0.211,48369,174.35.73.165,80,6,09/08/2017 05:36:26,6460368,7,7,370.0,4156.0,370.0,0.0,52.857142857142854,139.84685501341406,1448.0,0.0,593.7142857142858,664.9385220418787,700.5792858858814,2.167059213964282,496951.3846153846,1775354.3602225133,6405622.0,10.0,54746.0,9124.333333333334,13893.189592986439,28106.0,10.0,6437335.0,1072889.1666666667,2613584.0287584723,6407795.0,35.0,0,0,0,0,232,232,1.083529606982141,1.083529606982141,0.0,1448.0,301.7333333333334,527.2293437891909,277970.7809523809,0,0,0,1,0,0,0,0,1.0,323.2857142857143,52.857142857142854,593.7142857142857,232,0,0,0,0,0,0,7,370,7,4156,65535,676,1,32,0,0,0,0,0,0,0,0,BENIGN
174.35.73.165-10.42.0.211-80-48371-6,10.42.0.211,48371,174.35.73.165,80,6,09/08/2017 05:36:27,6087906,11,17,349.0,16891.0,349.0,0.0,31.727272727272727,105.2274592576395,1448.0,0.0,993.5882352941179,566.1444226987855,2831.843987078644,4.599282577621928,225477.99999999997,1139893.17566914,5928969.0,12.0,158937.0,15893.699999999995,19160.363560978923,57641.0,12.0,6064717.0,379044.8125,1485800.3253561459,5950292.0,13.0,0,0,0,0,420,552,1.8068610126371858,2.7924215649847417,0.0,1448.0,594.4827586206898,648.733085146385,420854.6157635468,0,0,0,1,0,0,0,0,1.0,615.7142857142857,31.727272727272727,993.5882352941177,420,0,0,0,0,0,0,11,349,17,16891,65535,677,1,32,0,0,0,0,0,0,0,0,BENIGN
174.35.73.165-10.42.0.211-80-48372-6,10.42.0.211,48372,174.35.73.165,80,6,09/08/2017 05:36:27,6079161,31,47,355.0,61554.0,355.0,0.0,11.451612903225804,63.75988221950509,1448.0,0.0,1309.659574468085,403.5158677228974,10183.806614103492,12.83071792308182,78950.14285714286,674401.7022141243,5919602.0,8.0,159559.0,5318.633333333332,16527.495161372623,86494.0,9.0,6056003.0,131652.23913043478,873791.8824011988,5928787.0,8.0,0,0,0,0,1252,1512,5.099387892506877,7.731330030574942,0.0,1448.0,783.6582278481013,713.5615418462148,509170.07400194736,0,0,0,1,0,0,0,0,1.0,793.7051282051282,11.451612903225806,1309.659574468085,1252,0,0,0,0,0,0,31,355,47,61554,65535,676,1,32,0,0,0,0,0,0,0,0,BENIGN
