Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
206.126.112.141-10.42.0.42-443-47330-6,10.42.0.42,47330,206.126.112.141,443,6,30/06/2017 08:22:03,635773,141,264,31.0,380913.0,31.0,0.0,0.21985815602836878,2.6106709553062086,1448.0,89.0,1442.8522727272727,83.64066812045658,599182.4125906574,637.0198168214126,1573.6955445544556,6102.526102577131,83714.0,5.0,635773.0,4541.235714285714,14385.330873487845,115915.0,5.0,564336.0,2145.7642585551316,8893.256359141165,106308.0,5.0,0,0,0,0,5476,8448,221.77726956004736,415.2425472613653,0.0,1448.0,938.2857142857149,692.1209500685624,479031.40952380945,0,0,0,0,1,0,0,0,1.0,940.6024691358025,0.2198581560283688,1442.8522727272727,5476,0,0,0,0,0,0,141,31,264,380913,8170,123,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-58166-6,10.42.0.42,58166,172.217.10.14,443,6,30/06/2017 08:22:04,37049,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.7994817673891,53.98256363194688,37049.0,0.0,37049.0,37049.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.99128181597344,26.99128181597344,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-57773-443-6,31.13.71.37,443,10.42.0.42,57773,6,30/06/2017 08:22:05,27,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1555555.5555555555,74074.07407407407,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,0,1,0,0,0,64,0,74074.07407407407,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,136,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-57773-443-6,31.13.71.37,443,10.42.0.42,57773,6,30/06/2017 08:22:05,224500,1,3,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,14.0,24.24871130596428,187.08240534521158,17.817371937639198,74833.33333333334,129568.37160485321,224446.0,7.0,0,0,0,0,0,54.0,27.0,28.284271247461902,47.0,7.0,0,0,0,0,32,96,4.4543429844097995,13.363028953229398,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,3.0,10.5,0.0,14.0,32,0,0,0,0,0,0,1,0,3,42,136,1678,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-36837-6,10.42.0.42,36837,172.217.10.14,443,6,30/06/2017 08:22:11,37183,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.562246187774,53.78802140763252,37183.0,0.0,37183.0,37183.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.89401070381626,26.89401070381626,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-39634-6,10.42.0.42,39634,172.217.10.14,443,6,30/06/2017 08:22:11,36982,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.9241793304851,54.08036342004218,36982.0,0.0,36982.0,36982.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.04018171002109,27.04018171002109,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-49840-80-6,10.42.0.42,49840,103.235.46.39,80,6,30/06/2017 08:22:10,6707518,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963457720128369,2235839.333333333,3504005.329832181,6281173.0,146016.0,426345.0,426345.0,0.0,426345.0,426345.0,6427189.0,6427189.0,0.0,6427189.0,6427189.0,0,0,0,0,60,60,0.29817288600641845,0.29817288600641845,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-49840-80-6,10.42.0.42,49840,103.235.46.39,80,6,30/06/2017 08:22:17,183399,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.905184870146511,183399.0,0.0,183399.0,183399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5.452592435073256,5.452592435073256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,1369,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-49840-80-6,10.42.0.42,49840,103.235.46.39,80,6,30/06/2017 08:22:17,556992,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.590715845110881,556992.0,0.0,556992.0,556992.0,556992.0,556992.0,0.0,556992.0,556992.0,0,0,0,0,0,0,0,0,0,52,0,3.590715845110881,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,52,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-49840-80-6,103.235.46.39,80,10.42.0.42,49840,6,30/06/2017 08:22:18,29,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,0,0,0,0,40,0,68965.5172413793,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,776,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
