Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.42-443-42341-6,10.42.0.42,42341,172.217.12.202,443,6,02/07/2017 03:59:37,37280,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.648068669527895,37280.0,0.0,37280.0,37280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.824034334763947,26.824034334763947,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4395,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-37292-6,10.42.0.42,37292,172.217.12.202,443,6,02/07/2017 03:59:39,36506,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,849.1754780036159,54.78551470991071,36506.0,0.0,36506.0,36506.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.392757354955354,27.392757354955354,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1548,391,0,32,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.42-80-54403-6,10.42.0.42,54403,202.77.129.230,80,6,02/07/2017 03:59:39,933675,8,19,422.0,23426.0,422.0,0.0,52.75000000000001,149.19953083036154,1460.0,0.0,1232.9473684210525,494.4151959283941,25542.07834631965,28.917985380351833,35910.576923076915,82176.99433937605,261421.0,3.0,712919.0,101845.57142857142,182740.69050876176,463958.0,74.0,711247.0,39513.72222222222,90127.30904853459,279455.0,3.0,0,0,0,0,192,392,8.568291964548692,20.34969341580314,0.0,1460.0,851.7142857142858,697.8661050152105,487017.1005291007,0,0,0,1,0,0,0,0,2.0,883.2592592592592,52.75,1232.9473684210527,192,0,0,0,0,0,0,8,422,19,23426,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.42-80-54403-6,10.42.0.42,54403,202.77.129.230,80,6,02/07/2017 03:59:40,7525,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,797.3421926910299,1505.0,2038.830915009874,3904.0,5.0,7525.0,1505.0,2038.830915009874,3904.0,5.0,0,0,0,0,0,0,0,0,0,132,0,797.3421926910299,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,132,0,0,0,0,0,0,6,0,0,0,1825,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.42-80-59223-6,10.42.0.42,59223,202.77.129.150,80,6,02/07/2017 03:59:42,552201,3,3,497.0,900.0,497.0,0.0,165.66666666666666,286.943083787244,900.0,0.0,300.0,519.6152422706632,2529.875896639086,10.865608718564435,110440.2,131786.27109907923,272300.0,570.0,236572.0,118286.0,166475.56370831127,236002.0,570.0,318913.0,159456.5,164229.08546448158,275584.0,43329.0,0,0,0,0,80,72,5.432804359282217,5.432804359282217,0.0,900.0,199.57142857142856,360.1406471287096,129701.28571428572,0,0,0,1,0,0,0,0,1.0,232.83333333333334,165.66666666666666,300.0,80,0,0,0,0,0,0,3,497,3,900,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.42-80-59223-6,10.42.0.42,59223,202.77.129.150,80,6,02/07/2017 03:59:42,58,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,58.0,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,40,0,34482.75862068965,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1397,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
192.229.173.173-10.42.0.42-443-51029-6,10.42.0.42,51029,192.229.173.173,443,6,02/07/2017 03:59:42,279041,9,6,329.0,4778.0,203.0,0.0,36.55555555555556,75.04850283501848,1448.0,0.0,796.3333333333333,731.243780600332,18301.969961403523,53.75554130038238,19931.500000000004,55004.19833591726,208929.0,3.0,279041.0,34880.125,71712.81988685844,208929.0,11.0,40659.0,8131.8,16193.743149747683,36963.0,3.0,0,0,0,0,296,200,32.253324780229434,21.502216520152952,0.0,1448.0,319.1875,571.8660937375696,327030.8291666667,0,0,0,1,0,0,0,0,0.0,340.46666666666664,36.55555555555556,796.3333333333334,296,0,0,0,0,0,0,9,329,6,4778,65535,285,2,32,0,0,0,0,0,0,0,0,BENIGN
192.229.173.173-10.42.0.42-443-51029-6,192.229.173.173,443,10.42.0.42,51029,6,02/07/2017 03:59:43,28,2,0,242.0,0.0,242.0,0.0,121.0,171.1198410471445,0,0,0,0,8642857.142857144,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,242.0,161.33333333333331,139.71876514388944,19521.333333333336,0,1,0,0,1,0,0,0,0.0,242.0,121.0,0.0,64,0,0,0,0,0,0,2,242,0,0,285,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
192.229.173.173-10.42.0.42-443-51029-6,192.229.173.173,443,10.42.0.42,51029,6,02/07/2017 03:59:43,93842,1,1,0.0,126.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,0.0,1342.6823810234225,21.31241874640353,93842.0,0.0,93842.0,93842.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.656209373201765,10.656209373201765,0.0,126.0,42.0,72.74613391789285,5292.0,0,0,0,0,1,1,0,0,1.0,63.0,0.0,126.0,32,0,0,0,0,0,0,1,0,1,126,285,1550,0,32,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.42-80-39253-6,10.42.0.42,39253,202.77.129.185,80,6,02/07/2017 03:59:44,664696,4,3,1639.0,290.0,1227.0,0.0,409.75,578.415291983191,290.0,0.0,96.66666666666667,167.43157806499147,2902.078544176586,10.531130020340127,110782.66666666667,101940.60530851614,224752.0,9.0,365172.0,121724.0,210092.98263150058,364318.0,9.0,439944.0,219972.0,202955.20254972525,363483.0,76461.0,0,0,0,0,100,72,6.017788583051501,4.513341437288625,0.0,1227.0,241.12499999999997,429.99051069263646,184891.8392857143,0,0,0,1,0,0,0,0,0.0,275.57142857142856,409.75,96.66666666666667,100,0,0,0,0,0,0,4,1639,3,290,65535,142,2,20,0,0,0,0,0,0,0,0,BENIGN
