Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.234-10.42.0.42-443-38347-6,10.42.0.42,38347,172.217.6.234,443,6,02/07/2017 03:13:05,36482,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.821555835754616,36482.0,0.0,36482.0,36482.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.410777917877308,27.410777917877308,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5707,404,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-46439-6,10.42.0.42,46439,208.80.154.224,80,6,02/07/2017 03:13:06,5064253,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7898499541788295,1688084.3333333333,2893522.8904946186,5029210.0,5938.0,35043.0,35043.0,0.0,35043.0,35043.0,5035148.0,5035148.0,0.0,5035148.0,5035148.0,0,0,0,0,72,72,0.39492497708941476,0.39492497708941476,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,57,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-46439-6,10.42.0.42,46439,208.80.154.224,80,6,02/07/2017 03:13:12,27251,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.39180213570144,27251.0,0.0,27251.0,27251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,36.69590106785072,36.69590106785072,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1369,57,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-46438-6,10.42.0.42,46438,208.80.154.224,80,6,02/07/2017 03:13:06,5476909,4,4,402.0,490.0,402.0,0.0,100.5,201.0,490.0,0.0,122.5,245.00000000000003,162.8655871404838,1.4606779115738457,782415.5714285715,1864342.623835084,4996798.0,227.0,480111.0,160037.0,218636.95453651014,412492.0,32405.0,5448059.0,1816019.6666666667,2766527.1409927164,5000063.0,227.0,0,0,0,0,136,136,0.7303389557869229,0.7303389557869229,0.0,490.0,99.11111111111111,197.8941917063538,39162.11111111112,0,0,0,1,0,0,0,0,1.0,111.5,100.5,122.5,136,0,0,0,0,0,0,4,402,4,490,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-48847-6,10.42.0.42,48847,172.217.6.234,443,6,02/07/2017 03:13:48,36872,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.24170101974398,36872.0,0.0,36872.0,36872.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.12085050987199,27.12085050987199,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-46439-6,10.42.0.42,46439,208.80.154.224,80,6,02/07/2017 03:13:12,46031939,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04344809372466365,4.6031939E7,0.0,4.6031939E7,4.6031939E7,4.6031939E7,4.6031939E7,0.0,4.6031939E7,4.6031939E7,0,0,0,0,0,0,0,0,0,76,0,0.04344809372466365,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,76,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-46438-6,10.42.0.42,46438,208.80.154.224,80,6,02/07/2017 03:13:12,45819615,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04364942830706893,4.5819615E7,0.0,4.5819615E7,4.5819615E7,4.5819615E7,4.5819615E7,0.0,4.5819615E7,4.5819615E7,0,0,0,0,0,0,0,0,0,64,0,0.04364942830706893,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-55087-6,10.42.0.42,55087,172.217.9.238,443,6,02/07/2017 03:14:02,36841,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.3044434190169,54.28734290600147,36841.0,0.0,36841.0,36841.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.143671453000735,27.143671453000735,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.4-10.42.0.42-443-45273-6,10.42.0.42,45273,172.217.11.4,443,6,02/07/2017 03:14:03,36598,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.449642056943,54.64779496147331,36598.0,0.0,36598.0,36598.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.323897480736655,27.323897480736655,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-98.139.180.180-51647-443-6,10.42.0.42,51647,98.139.180.180,443,6,02/07/2017 03:13:58,5679089,8,9,326.0,5024.0,200.0,0.0,40.75,78.00320506235626,1460.0,0.0,558.2222222222222,642.8290553828789,942.0525017304711,2.993437855965983,354943.06249999994,1378663.4149997341,5524685.0,3.0,154087.0,22012.428571428572,23824.469157130192,68751.0,1432.0,5654222.0,706777.7499999999,1964244.5808000844,5567807.0,3.0,0,0,0,0,180,192,1.4086766381016391,1.584761217864344,0.0,1460.0,297.2222222222222,518.8266802921826,269181.1241830066,0,0,0,1,0,0,0,0,1.0,314.70588235294116,40.75,558.2222222222222,180,0,0,0,0,0,0,8,326,9,5024,65535,62,2,20,154087.0,0.0,154087.0,154087.0,5524685.0,0.0,5524685.0,5524685.0,BENIGN
