Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.10-10.42.0.42-443-49543-6,10.42.0.42,49543,172.217.10.10,443,6,02/07/2017 06:43:12,36729,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.45288464156389,36729.0,0.0,36729.0,36729.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.226442320781945,27.226442320781945,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5707,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.42-443-49817-6,10.42.0.42,49817,172.217.10.10,443,6,02/07/2017 06:43:36,37052,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.978192810104716,37052.0,0.0,37052.0,37052.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.989096405052358,26.989096405052358,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.42-80-34622-6,10.42.0.42,34622,202.77.129.230,80,6,02/07/2017 06:43:38,1028444,7,19,422.0,23512.0,422.0,0.0,60.28571428571429,159.5010076098939,1460.0,0.0,1237.473684210526,492.8645710335822,23272.04981506042,25.2809098016032,41137.76,80687.80632953988,261550.0,2.0,809900.0,134983.33333333334,207489.42246453592,440492.0,7.0,806362.0,44797.88888888889,113778.16652637962,400746.0,2.0,0,0,0,0,172,392,6.806398792739324,18.474511008863878,0.0,1460.0,886.4444444444443,691.4278055273815,478072.41025641037,0,0,0,1,0,0,0,0,2.0,920.5384615384615,60.285714285714285,1237.4736842105262,172,0,0,0,0,0,0,7,422,19,23512,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.42-80-34622-6,10.42.0.42,34622,202.77.129.230,80,6,02/07/2017 06:43:39,7391,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,541.198755242863,2463.666666666667,2992.952611274247,5873.0,269.0,7391.0,2463.666666666667,2992.952611274247,5873.0,269.0,0,0,0,0,0,0,0,0,0,80,0,541.198755242863,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,4,0,0,0,1825,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.42-80-34327-6,10.42.0.42,34327,202.77.129.150,80,6,02/07/2017 06:43:41,631592,3,3,497.0,900.0,497.0,0.0,165.66666666666666,286.943083787244,900.0,0.0,300.0,519.6152422706632,2211.8709546669365,9.499803670724138,126318.4,118877.41121550385,273849.0,13814.0,320057.0,160028.5,122959.50528730993,246974.0,73083.0,398432.0,199216.0,228437.91673012605,360746.0,37686.0,0,0,0,0,80,72,4.749901835362069,4.749901835362069,0.0,900.0,199.57142857142856,360.1406471287096,129701.28571428572,0,0,0,1,0,0,0,0,1.0,232.83333333333334,165.66666666666666,300.0,80,0,0,0,0,0,0,3,497,3,900,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.42-80-34327-6,10.42.0.42,34327,202.77.129.150,80,6,02/07/2017 06:43:42,3312,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,603.864734299517,3312.0,0.0,3312.0,3312.0,3312.0,3312.0,0.0,3312.0,3312.0,0,0,0,0,0,0,0,0,0,40,0,603.864734299517,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1397,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.42-80-53929-6,10.42.0.42,53929,202.77.129.185,80,6,02/07/2017 06:43:42,534987,4,4,1639.0,290.0,1227.0,0.0,409.75,578.415291983191,290.0,0.0,72.5,145.0,3605.695091656433,14.953634387377637,76426.71428571428,103580.27052760303,222628.0,253.0,234153.0,78051.0,133265.88836983003,231930.0,253.0,312401.0,104133.66666666667,119116.24710900412,234195.0,351.0,0,0,0,0,100,92,7.476817193688818,7.476817193688818,0.0,1227.0,214.33333333333331,410.1713056760553,168240.5,0,0,0,1,0,0,0,0,1.0,241.125,409.75,72.5,100,0,0,0,0,0,0,4,1639,4,290,65535,142,2,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.42-80-53928-6,10.42.0.42,53928,202.77.129.185,80,6,02/07/2017 06:43:42,538661,4,4,1509.0,290.0,1097.0,0.0,377.25,517.6494148230698,290.0,0.0,72.5,145.0,3339.762856416188,14.851641384841303,76951.57142857142,103749.88273062793,222740.0,4.0,233533.0,77844.33333333334,133359.5384527606,231833.0,230.0,316069.0,105356.33333333333,118520.17193850731,233681.0,4.0,0,0,0,0,100,92,7.425820692420651,7.425820692420651,0.0,1097.0,199.88888888888889,370.4141076027088,137206.61111111112,0,0,0,1,0,0,0,0,1.0,224.875,377.25,72.5,100,0,0,0,0,0,0,4,1509,4,290,65535,140,2,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.42-80-34623-6,10.42.0.42,34623,202.77.129.230,80,6,02/07/2017 06:43:38,5325240,3,3,832.0,504.0,832.0,0.0,277.3333333333333,480.35542396576864,504.0,0.0,168.0,290.9845356715714,250.8807114796704,1.1267097820943281,1065048.0,2087874.5059725214,4794698.0,7747.0,5024454.0,2512227.0,3227901.4439232806,4794698.0,229756.0,5103231.0,2551615.5,3553331.076508422,5064200.0,39031.0,0,0,0,0,80,72,0.5633548910471641,0.5633548910471641,0.0,832.0,190.8571428571429,339.4247234029113,115209.14285714286,0,0,0,1,0,0,0,0,1.0,222.66666666666666,277.3333333333333,168.0,80,0,0,0,0,0,0,3,832,3,504,65535,128,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.42-80-34623-6,202.77.129.230,80,10.42.0.42,34623,6,02/07/2017 06:43:44,4653,1,3,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,313776.0584569095,859.6604341285192,1551.0,472.824491751432,2062.0,1129.0,0,0,0,0,0,2591.0,1295.5,235.46655813512032,1462.0,1129.0,0,0,0,0,20,72,214.9151085321298,644.7453255963894,0.0,1460.0,584.0,799.6749339575425,639480.0,0,0,0,0,1,0,0,0,3.0,730.0,1460.0,0.0,20,0,0,0,0,0,0,1,1460,3,0,128,1415,0,20,0,0,0,0,0,0,0,0,BENIGN
