Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.14-10.42.0.42-443-42970-6,10.42.0.42,42970,172.217.10.14,443,6,02/07/2017 08:15:43,36893,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.4244978722251,54.210825901932616,36893.0,0.0,36893.0,36893.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.105412950966308,27.105412950966308,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-42870-6,10.42.0.42,42870,172.217.10.14,443,6,02/07/2017 08:15:43,36477,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,630.5343092907859,54.82907037311182,36477.0,0.0,36477.0,36477.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.41453518655591,27.41453518655591,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
201.212.2.218-10.42.0.42-80-35276-6,10.42.0.42,35276,201.212.2.218,80,6,02/07/2017 08:15:47,184583,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.252851020949926,92291.5,130478.87879844768,184554.0,29.0,0,0,0,0,0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,32,64,5.417617006983308,10.835234013966616,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,65535,4380,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.73.37-51906-443-6,31.13.73.37,443,10.42.0.42,51906,6,02/07/2017 08:15:48,30,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1400000.0,66666.66666666667,30.0,0.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,0,0,0,0,0,1,0,0,0,64,0,66666.66666666667,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,123,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.73.37-51906-443-6,10.42.0.42,51906,31.13.73.37,443,6,02/07/2017 08:15:48,133,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,315789.4736842105,15037.593984962405,133.0,0.0,133.0,133.0,133.0,133.0,0.0,133.0,133.0,0,0,0,0,0,1,0,0,0,64,0,15037.593984962405,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1403,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
201.212.2.218-10.42.0.42-80-43714-6,10.42.0.42,43714,201.212.2.218,80,6,02/07/2017 08:15:47,9951361,5,4,168.0,1776.0,168.0,0.0,33.6,75.13188404399294,1448.0,0.0,444.0,686.9604549511323,195.35016366103088,0.9043989058381059,1243920.125,3201062.646597062,9162343.0,25.0,9951361.0,2487840.25,4450129.461000536,9162343.0,189403.0,446508.0,148836.0,255484.31163772073,443840.0,25.0,0,0,0,0,168,136,0.5024438365767255,0.4019550692613804,0.0,1448.0,194.4,453.9454690696768,206066.4888888889,0,0,0,1,0,0,0,0,0.0,216.0,33.6,444.0,168,0,0,0,0,0,0,5,168,4,1776,65535,4548,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.77.120.64-58858-443-6,10.42.0.42,58858,54.77.120.64,443,6,02/07/2017 08:15:53,4331336,10,5,1716.0,480.0,1038.0,0.0,171.6,329.05865738497147,335.0,0.0,96.0,147.62283021267407,507.0029201151792,3.4631347002402952,309381.14285714284,1039015.0690490754,3916848.0,95.0,4331336.0,481259.55555555556,1289796.5120600527,3916848.0,95.0,269399.0,67349.75,68211.84196005363,128467.0,351.0,0,0,0,0,328,168,2.3087564668268636,1.1543782334134318,0.0,1038.0,137.24999999999997,270.9035498721516,73388.73333333334,0,0,0,1,0,0,0,0,0.0,146.4,171.6,96.0,328,0,0,0,0,0,0,10,1716,5,480,65535,122,5,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.77.120.64-58858-443-6,54.77.120.64,443,10.42.0.42,58858,6,02/07/2017 08:15:57,28,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1107142.857142857,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,122,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
201.212.2.218-10.42.0.42-80-43714-6,201.212.2.218,80,10.42.0.42,43714,6,02/07/2017 08:15:57,535,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3738.3177570093458,535.0,0.0,535.0,535.0,535.0,535.0,0.0,535.0,535.0,0,0,0,0,0,0,0,0,0,64,0,3738.3177570093458,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,4548,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.19-10.42.0.42-443-50960-6,157.240.18.19,443,10.42.0.42,50960,6,02/07/2017 08:16:11,36,3,0,61.0,0.0,38.0,0.0,20.333333333333336,19.139836293274122,0,0,0,0,1694444.4444444445,83333.33333333333,18.0,12.727922061357855,27.0,9.0,36.0,18.0,12.727922061357855,27.0,9.0,0,0,0,0,0,1,0,0,0,96,0,83333.33333333333,0.0,0.0,38.0,24.75,17.95132307101624,322.25,0,1,0,0,1,0,0,0,0.0,33.0,20.333333333333332,0.0,96,0,0,0,0,0,0,3,61,0,0,118,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
