Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-31.13.71.37-46951-443-6,31.13.71.37,443,10.42.0.42,46951,6,02/07/2017 09:01:04,25,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1680000.0,80000.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,1,0,0,0,64,0,80000.0,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-46951-443-6,10.42.0.42,46951,31.13.71.37,443,6,02/07/2017 09:01:04,364,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,115384.61538461538,8241.758241758242,182.0,172.5340546095176,304.0,60.0,364.0,182.0,172.5340546095176,304.0,60.0,0,0,0,0,0,0,0,0,0,96,0,8241.758241758242,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.42-443-34984-6,10.42.0.42,34984,172.217.10.227,443,6,02/07/2017 09:01:11,559157,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.576812952355063,559157.0,0.0,559157.0,559157.0,559157.0,559157.0,0.0,559157.0,559157.0,0,0,0,0,0,0,0,0,0,64,0,3.576812952355063,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-43837-6,10.42.0.42,43837,172.217.10.234,443,6,02/07/2017 09:01:12,37047,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,836.7749075498691,80.97821685966476,18523.5,26071.734129129192,36959.0,88.0,0,0,0,0,0,88.0,88.0,0.0,88.0,88.0,1,0,0,0,32,64,26.992738953221586,53.98547790644317,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1655,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-33030-6,10.42.0.42,33030,172.217.10.234,443,6,02/07/2017 09:01:12,37233,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.71578975639889,37233.0,0.0,37233.0,37233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.857894878199446,26.857894878199446,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-42587-6,10.42.0.42,42587,172.217.10.234,443,6,02/07/2017 09:01:13,37077,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.94179680125145,37077.0,0.0,37077.0,37077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.970898400625725,26.970898400625725,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.117.100.83-43413-443-6,10.42.0.42,43413,40.117.100.83,443,6,02/07/2017 09:01:14,47086,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.475470415834856,47086.0,0.0,47086.0,47086.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.237735207917428,21.237735207917428,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,514,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-37728-6,10.42.0.42,37728,172.217.10.234,443,6,02/07/2017 09:01:14,36524,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.75851494907458,36524.0,0.0,36524.0,36524.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.37925747453729,27.37925747453729,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.42-443-34984-6,10.42.0.42,34984,172.217.10.227,443,6,02/07/2017 09:01:13,2279734,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.8772953335783912,2279734.0,0.0,2279734.0,2279734.0,2279734.0,2279734.0,0.0,2279734.0,2279734.0,0,0,0,0,0,0,0,0,0,64,0,0.8772953335783912,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-55866-80-6,10.42.0.42,55866,103.235.46.39,80,6,02/07/2017 09:01:11,6544382,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6112112648680961,2181460.666666667,3543952.4213875015,6270734.0,2729.0,273648.0,273648.0,0.0,273648.0,273648.0,6273463.0,6273463.0,0.0,6273463.0,6273463.0,0,0,0,0,60,60,0.30560563243404804,0.30560563243404804,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
