Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-107.154.50.249-46305-443-6,107.154.50.249,443,10.42.0.42,46305,6,02/07/2017 10:31:32,349,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,88825.21489971346,5730.659025787965,349.0,0.0,349.0,349.0,349.0,349.0,0.0,349.0,349.0,0,0,0,0,0,1,0,0,0,64,0,5730.659025787965,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,22,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.195-10.42.0.42-443-38819-6,10.42.0.42,38819,216.58.219.195,443,6,02/07/2017 10:31:55,284255,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.0359360433413665,284255.0,0.0,284255.0,284255.0,284255.0,284255.0,0.0,284255.0,284255.0,0,0,0,0,0,0,0,0,0,64,0,7.0359360433413665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-66.102.1.94-41315-443-6,10.42.0.42,41315,66.102.1.94,443,6,02/07/2017 10:31:55,648587,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.083626406326368,648587.0,0.0,648587.0,648587.0,648587.0,648587.0,0.0,648587.0,648587.0,0,0,0,0,0,0,0,0,0,64,0,3.083626406326368,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-55574-6,10.42.0.42,55574,172.217.12.138,443,6,02/07/2017 10:31:56,38032,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.58729490954985,38032.0,0.0,38032.0,38032.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.293647454774923,26.293647454774923,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5709,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-41228-6,10.42.0.42,41228,172.217.12.138,443,6,02/07/2017 10:31:56,36484,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8185505975222,36484.0,0.0,36484.0,36484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.4092752987611,27.4092752987611,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-38643-6,10.42.0.42,38643,172.217.12.138,443,6,02/07/2017 10:31:57,37096,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,835.6696139745526,80.87125296527928,18548.0,25970.61785941952,36912.0,184.0,0,0,0,0,0,184.0,184.0,0.0,184.0,184.0,1,0,0,0,32,64,26.957084321759762,53.914168643519524,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-47851-6,10.42.0.42,47851,172.217.12.142,443,6,02/07/2017 10:31:57,36523,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.7401637324426,54.7600142376037,36523.0,0.0,36523.0,36523.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.38000711880185,27.38000711880185,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1682,383,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.195-10.42.0.42-443-38819-6,10.42.0.42,38819,216.58.219.195,443,6,02/07/2017 10:31:56,964089,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0744972715174637,964089.0,0.0,964089.0,964089.0,964089.0,964089.0,0.0,964089.0,964089.0,0,0,0,0,0,0,0,0,0,64,0,2.0744972715174637,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
182.22.24.124-10.42.0.42-443-47472-6,10.42.0.42,47472,182.22.24.124,443,6,02/07/2017 10:31:57,393414,9,6,327.0,4878.0,201.0,0.0,36.333333333333336,74.49496627289659,1448.0,0.0,813.0,675.1470950837306,13230.337507053639,38.127773795543625,28101.000000000004,59531.50128616459,166780.0,5.0,393414.0,49176.74999999999,75887.93304368526,171736.0,58.0,176169.0,35233.8,75659.60536640407,170556.0,5.0,0,0,0,0,296,200,22.876664277326178,15.25110951821745,0.0,1448.0,325.3125,554.2536986795848,307197.1625,0,0,0,1,0,0,0,0,0.0,347.0,36.333333333333336,813.0,296,0,0,0,0,0,0,9,327,6,4878,65535,32,2,32,0,0,0,0,0,0,0,0,BENIGN
182.22.24.124-10.42.0.42-443-47472-6,182.22.24.124,443,10.42.0.42,47472,6,02/07/2017 10:31:57,38070,4,3,366.0,0.0,274.0,0.0,91.5,123.62712755162867,0.0,0.0,0.0,0.0,9613.869188337274,183.87181507748883,6345.0,10629.371383106341,25844.0,18.0,38070.0,12690.0,21817.90863029727,37883.0,18.0,271.0,135.5,89.80256121069154,199.0,72.0,1,0,0,0,128,60,105.0696086157079,78.80220646178093,0.0,274.0,80.0,121.42957982774566,14745.142857142855,0,1,0,0,1,0,0,0,0.0,91.42857142857143,91.5,0.0,128,0,0,0,0,0,0,4,366,3,0,32,0,2,32,0,0,0,0,0,0,0,0,BENIGN
