Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.234-10.42.0.42-443-33639-6,10.42.0.42,33639,172.217.9.234,443,6,02/07/2017 12:04:01,37085,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93016044222732,37085.0,0.0,37085.0,37085.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.96508022111366,26.96508022111366,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5751,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-60134-6,10.42.0.42,60134,172.217.9.234,443,6,02/07/2017 12:04:07,37050,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.98110661268556,37050.0,0.0,37050.0,37050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.99055330634278,26.99055330634278,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-47741-6,10.42.0.42,47741,172.217.10.14,443,6,02/07/2017 12:04:11,37221,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,617.9307380242337,53.73310765428119,37221.0,0.0,37221.0,37221.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.866553827140596,26.866553827140596,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.183.34.103-42126-443-6,54.183.34.103,443,10.42.0.42,42126,6,02/07/2017 12:04:12,5003125,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.196127420362274,0.5996252342286071,2501562.5,3534357.9873556243,5000731.0,2394.0,5003125.0,5003125.0,0.0,5003125.0,5003125.0,0,0,0,0,0,1,0,0,0,64,32,0.3997501561524048,0.1998750780762024,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,125,1505,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.244.43.227-47660-443-6,10.42.0.42,47660,104.244.43.227,443,6,02/07/2017 12:04:12,10384658,42,107,793.0,148647.0,469.0,0.0,18.880952380952383,79.64378082098496,1448.0,0.0,1389.2242990654215,265.22245232126545,14390.459464336716,14.348089267841079,70166.6081081081,816134.3055315494,9930308.0,2.0,454320.0,11080.975609756095,26683.568252285713,150964.0,5.0,1.0360952E7,97744.83018867923,965072.3535999673,9937808.0,2.0,0,0,0,0,1352,3432,4.044427847310908,10.30366142053017,0.0,1448.0,996.2666666666679,662.2785932846105,438612.9351230425,0,0,0,1,0,0,0,0,2.0,1002.9530201342282,18.88095238095238,1389.2242990654206,1352,0,0,0,0,0,0,42,793,107,148647,65535,61,3,32,454320.0,0.0,454320.0,454320.0,9930308.0,0.0,9930308.0,9930308.0,BENIGN
10.42.0.42-104.244.43.227-47659-443-6,10.42.0.42,47659,104.244.43.227,443,6,02/07/2017 12:04:12,10398765,16,24,794.0,27783.0,470.0,0.0,49.625,125.58602629273689,1448.0,0.0,1157.625,523.614263307571,2748.114800170982,3.8466106311662975,266635.0,1603777.1177912604,1.0024301E7,3.0,374440.0,24962.66666666667,37243.973274049255,137857.0,35.0,1.0374981E7,451086.1304347826,2088472.4177907316,1.0029765E7,3.0,0,0,0,0,520,776,1.538644252466519,2.3079663786997786,0.0,1448.0,697.0000000000001,686.040450702435,470651.5000000001,0,0,0,1,0,0,0,0,1.0,714.425,49.625,1157.625,520,0,0,0,0,0,0,16,794,24,27783,65535,61,3,32,374440.0,0.0,374440.0,374440.0,1.0024301E7,0.0,1.0024301E7,1.0024301E7,BENIGN
10.42.0.42-104.244.43.227-47658-443-6,10.42.0.42,47658,104.244.43.227,443,6,02/07/2017 12:04:12,10413626,38,97,791.0,133101.0,467.0,0.0,20.815789473684216,83.29428625261673,1448.0,0.0,1372.175257731959,293.30959931122266,12857.385122146694,12.963784180457411,77713.62686567163,858053.0423236212,9935077.0,2.0,478502.0,12932.486486486489,25843.087832169,127222.0,2.0,1.0389542E7,108224.39583333334,1016418.6194199555,9961198.0,2.0,0,0,0,0,1224,3112,3.6490651767213453,9.314719003736066,0.0,1448.0,984.5000000000007,663.064289380639,439654.25185185176,0,0,0,1,0,0,0,0,2.0,991.7925925925925,20.81578947368421,1372.1752577319587,1224,0,0,0,0,0,0,38,791,97,133101,65535,61,3,32,478502.0,0.0,478502.0,478502.0,9935077.0,0.0,9935077.0,9935077.0,BENIGN
10.42.0.42-104.244.43.227-47657-443-6,10.42.0.42,47657,104.244.43.227,443,6,02/07/2017 12:04:12,10429002,10,9,794.0,5835.0,470.0,0.0,79.4,153.8167741177795,1448.0,0.0,648.3333333333334,696.8780381099695,635.6312905108274,1.8218425885813425,579389.0,2372800.3468084363,1.0085741E7,5.0,343235.0,38137.22222222222,51072.2449887847,168796.0,258.0,1.0405407E7,1300675.8750000002,3555110.1290644966,1.0097514E7,5.0,0,0,0,0,328,296,0.9588645203059698,0.8629780682753728,0.0,1448.0,331.45,549.9729634503097,302470.2605263158,0,0,0,1,0,0,0,0,0.0,348.89473684210526,79.4,648.3333333333334,328,0,0,0,0,0,0,10,794,9,5835,65535,61,3,32,343235.0,0.0,343235.0,343235.0,1.0085741E7,0.0,1.0085741E7,1.0085741E7,BENIGN
10.42.0.42-104.244.43.227-47660-443-6,10.42.0.42,47660,104.244.43.227,443,6,02/07/2017 12:04:22,10459,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.22287025528254,10459.0,0.0,10459.0,10459.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,95.61143512764127,95.61143512764127,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,6075,61,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.244.43.227-47659-443-6,10.42.0.42,47659,104.244.43.227,443,6,02/07/2017 12:04:22,23068,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.70019074041963,23068.0,0.0,23068.0,23068.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,43.350095370209814,43.350095370209814,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2319,61,0,32,0,0,0,0,0,0,0,0,BENIGN
