Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.10-10.42.0.42-443-56745-6,10.42.0.42,56745,172.217.11.10,443,6,02/07/2017 02:37:39,36904,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.194667244743115,36904.0,0.0,36904.0,36904.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.097333622371558,27.097333622371558,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2949,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-45624-6,10.42.0.42,45624,172.217.11.10,443,6,02/07/2017 02:37:42,37412,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.45878327809259,37412.0,0.0,37412.0,37412.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.729391639046295,26.729391639046295,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.42-443-38055-6,10.42.0.42,38055,172.217.10.142,443,6,02/07/2017 02:37:43,219,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,105022.8310502283,9132.4200913242,219.0,0.0,219.0,219.0,219.0,219.0,0.0,219.0,219.0,0,0,0,0,0,1,0,0,0,64,0,9132.4200913242,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1682,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-53596-6,10.42.0.42,53596,172.217.11.10,443,6,02/07/2017 02:37:43,90,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,344444.44444444444,22222.222222222223,90.0,0.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,0,0,0,0,0,1,0,0,0,64,0,22222.222222222223,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1681,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-53596-6,172.217.11.10,443,10.42.0.42,53596,6,02/07/2017 02:37:43,254,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7874.0157480314965,254.0,0.0,254.0,254.0,254.0,254.0,0.0,254.0,254.0,0,0,0,0,0,0,0,0,0,64,0,7874.0157480314965,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,383,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-41276-6,10.42.0.42,41276,172.217.11.10,443,6,02/07/2017 02:37:46,37102,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,835.5344725351732,80.85817476146838,18551.0,25979.103140793755,36921.0,181.0,0,0,0,0,0,181.0,181.0,0.0,181.0,181.0,1,0,0,0,32,64,26.95272492048946,53.90544984097892,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2470,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-47222-6,10.42.0.42,47222,172.217.3.106,443,6,02/07/2017 02:37:49,37192,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.775005377500534,37192.0,0.0,37192.0,37192.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.887502688750267,26.887502688750267,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.42-443-46025-6,10.42.0.42,46025,172.217.10.142,443,6,02/07/2017 02:37:50,36972,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.092394244293,54.094990803851566,36972.0,0.0,36972.0,36972.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.047495401925783,27.047495401925783,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1571,447,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.42-443-38085-6,10.42.0.42,38085,172.217.10.142,443,6,02/07/2017 02:37:52,438053,7,9,1146.0,6025.0,787.0,0.0,163.71428571428572,289.2281188990876,1418.0,0.0,669.4444444444446,692.258100550494,16370.165253976116,36.52526064197711,29203.53333333333,44625.0445711929,167232.0,9.0,381407.0,63567.833333333336,61731.76102272368,167232.0,9732.0,400984.0,50123.0,80061.20711234445,207627.0,9.0,0,0,0,0,232,296,15.979801530864986,20.545459111112123,0.0,1418.0,421.8235294117647,587.9950292406941,345738.1544117647,0,0,0,1,0,0,0,0,1.0,448.1875,163.71428571428572,669.4444444444445,232,0,0,0,0,0,0,7,1146,9,6025,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-47286-6,10.42.0.42,47286,172.217.11.10,443,6,02/07/2017 02:37:53,36982,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,838.2456330106538,81.12054513006328,18491.0,26124.767137718183,36964.0,18.0,0,0,0,0,0,18.0,18.0,0.0,18.0,18.0,1,0,0,0,32,64,27.04018171002109,54.08036342004218,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
