Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-54.235.221.79-36931-443-6,54.235.221.79,443,10.42.0.42,36931,6,02/07/2017 03:24:23,5007600,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.190590302739835,0.5990893841361131,2503800.0,3485856.826127258,4968673.0,38927.0,5007600.0,5007600.0,0.0,5007600.0,5007600.0,0,0,0,0,0,1,0,0,0,64,32,0.39939292275740873,0.19969646137870437,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.243.255.169-42328-443-6,54.243.255.169,443,10.42.0.42,42328,6,02/07/2017 03:24:24,5003151,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.196095220791857,0.5996221181411474,2501575.5,3291766.6212932686,4829206.0,173945.0,5003151.0,5003151.0,0.0,5003151.0,5003151.0,0,0,0,0,0,1,0,0,0,64,32,0.39974807876076496,0.19987403938038248,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,132,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.42-443-53331-6,10.42.0.42,53331,216.58.219.234,443,6,02/07/2017 03:24:32,36617,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.619439058360875,36617.0,0.0,36617.0,36617.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.309719529180438,27.309719529180438,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-108.174.10.10-38255-80-6,10.42.0.42,38255,108.174.10.10,80,6,02/07/2017 03:24:33,391251,3,4,401.0,170.0,401.0,0.0,133.66666666666666,231.51745794503992,170.0,0.0,42.5,85.0,1459.421189977789,17.891328073282878,65208.5,130574.0902641102,330261.0,26.0,361590.0,180795.0,211376.84431365703,330261.0,31329.0,362288.0,120762.66666666666,208635.52395824957,361674.0,26.0,0,0,0,0,104,136,7.667712031406948,10.22361604187593,0.0,401.0,71.37500000000001,145.86974375399836,21277.98214285714,0,0,0,1,0,0,0,0,1.0,81.57142857142857,133.66666666666666,42.5,104,0,0,0,0,0,0,3,401,4,170,65535,16,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-108.174.10.10-38255-80-6,10.42.0.42,38255,108.174.10.10,80,6,02/07/2017 03:24:33,138372,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14.453791229439483,138372.0,0.0,138372.0,138372.0,138372.0,138372.0,0.0,138372.0,138372.0,0,0,0,0,0,0,0,0,0,64,0,14.453791229439483,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.42-443-59235-6,10.42.0.42,59235,172.217.6.238,443,6,02/07/2017 03:24:33,36841,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.3044434190169,54.28734290600147,36841.0,0.0,36841.0,36841.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.143671453000735,27.143671453000735,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1486,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.42-443-33964-6,10.42.0.42,33964,172.217.6.238,443,6,02/07/2017 03:24:34,36987,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.8401059831833,54.073052694189855,36987.0,0.0,36987.0,36987.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.036526347094927,27.036526347094927,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,490,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.42-443-54776-6,10.42.0.42,54776,172.217.6.238,443,6,02/07/2017 03:24:34,37173,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.7286471363625,80.7037365830038,18586.5,26244.26818373871,37144.0,29.0,0,0,0,0,0,29.0,29.0,0.0,29.0,29.0,1,0,0,0,32,64,26.901245527667932,53.802491055335864,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.42-443-41442-6,10.42.0.42,41442,216.58.219.227,443,6,02/07/2017 03:24:33,10196934,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3922747759277445,3398978.0,5749428.404414477,1.0037662E7,36822.0,159272.0,159272.0,0.0,159272.0,159272.0,1.0160112E7,1.0160112E7,0.0,1.0160112E7,1.0160112E7,0,0,0,0,72,72,0.19613738796387226,0.19613738796387226,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,332,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.243.255.169-42328-443-6,10.42.0.42,42328,54.243.255.169,443,6,02/07/2017 03:24:30,54708692,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,0.5666375646487765,0.0548358933531074,2.7354346E7,3.868366522252833E7,5.4707828E7,864.0,5.4708692E7,2.7354346E7,3.868366522252833E7,5.4707828E7,864.0,0,0,0,0,0,0,0,0,0,96,0,0.0548358933531074,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1641,-1,1,32,0,0,0,0,5.4707828E7,0.0,5.4707828E7,5.4707828E7,BENIGN
