Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.206-10.42.0.42-443-46789-6,10.42.0.42,46789,172.217.12.206,443,6,02/07/2017 05:54:24,228658,7,9,1146.0,6026.0,787.0,0.0,163.71428571428572,289.2281188990876,1418.0,0.0,669.5555555555555,692.3738352781521,31365.620271322237,69.97349753780756,15243.866666666669,21178.412144940245,56714.0,8.0,171906.0,28651.0,21069.9818224886,49622.0,1533.0,191776.0,23972.0,35298.06793174785,89218.0,8.0,0,0,0,0,232,296,30.613405172790806,39.36009236501675,0.0,1418.0,421.88235294117646,588.0894789860788,345849.23529411765,0,0,0,1,0,0,0,0,1.0,448.25,163.71428571428572,669.5555555555555,232,0,0,0,0,0,0,7,1146,9,6026,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-33865-6,10.42.0.42,33865,206.126.112.141,443,6,02/07/2017 05:54:24,319748,180,539,1030.0,774435.0,641.0,0.0,5.722222222222222,51.54854040009776,1448.0,0.0,1436.799628942486,119.65968130793712,2425237.999924941,2248.6458085742524,445.3314763231194,1967.2645980540622,37053.0,2.0,319748.0,1786.3016759776533,4796.245559839287,40650.0,4.0,252939.0,470.14684014869897,2675.9291748106207,43112.0,2.0,0,0,0,0,5768,17256,562.943317862817,1685.7024907114353,0.0,1448.0,1077.034722222223,630.351969292129,397343.6051904651,0,0,0,1,0,0,0,0,2.0,1078.5326842837273,5.722222222222222,1436.7996289424862,5768,0,0,0,0,0,0,180,1030,539,774435,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-60299-6,10.42.0.42,60299,172.217.11.42,443,6,02/07/2017 05:54:25,37198,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,833.3781386096026,80.64949728480025,18599.0,25989.00263573037,36976.0,222.0,0,0,0,0,0,222.0,222.0,0.0,222.0,222.0,1,0,0,0,32,64,26.883165761600086,53.76633152320017,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.42-443-43110-6,10.42.0.42,43110,172.217.12.206,443,6,02/07/2017 05:54:27,37183,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.562246187774,80.68203211144878,18591.5,25972.739179763077,36957.0,226.0,0,0,0,0,0,226.0,226.0,0.0,226.0,226.0,1,0,0,0,32,64,26.89401070381626,53.78802140763252,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.42-443-58373-6,10.42.0.42,58373,172.217.12.206,443,6,02/07/2017 05:54:28,265,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,86792.45283018869,7547.169811320755,265.0,0.0,265.0,265.0,265.0,265.0,0.0,265.0,265.0,0,0,0,0,0,1,0,0,0,64,0,7547.169811320755,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1948,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.42-443-50020-6,10.42.0.42,50020,172.217.12.206,443,6,02/07/2017 05:54:32,37043,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.9000350943498,53.99130739950868,37043.0,0.0,37043.0,37043.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.99565369975434,26.99565369975434,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,498,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-107.154.249.185-48390-443-6,10.42.0.42,48390,107.154.249.185,443,6,02/07/2017 05:54:36,236,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,131355.93220338985,8474.57627118644,236.0,0.0,236.0,236.0,236.0,236.0,0.0,236.0,236.0,0,0,0,0,0,1,0,0,0,64,0,8474.57627118644,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1417,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-107.154.249.185-48390-443-6,107.154.249.185,443,10.42.0.42,48390,6,02/07/2017 05:54:36,256,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,121093.75,11718.75,128.0,151.32085117392117,235.0,21.0,256.0,128.0,151.32085117392117,235.0,21.0,0,0,0,0,0,0,0,0,0,96,0,11718.75,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,245,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.42-443-48704-6,10.42.0.42,48704,172.217.12.206,443,6,02/07/2017 05:54:38,37139,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.2950806429899,53.851746142868684,37139.0,0.0,37139.0,37139.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.925873071434342,26.925873071434342,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-88.198.212.147-40232-80-6,10.42.0.42,40232,88.198.212.147,80,6,02/07/2017 05:54:42,424543,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.710948007622314,424543.0,0.0,424543.0,424543.0,424543.0,424543.0,0.0,424543.0,424543.0,0,0,0,0,0,0,0,0,0,64,0,4.710948007622314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1458,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
