Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.78-10.42.0.42-443-37994-6,10.42.0.42,37994,172.217.10.78,443,6,02/07/2017 08:48:19,37105,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.8625522166824,53.90109149710282,37105.0,0.0,37105.0,37105.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.95054574855141,26.95054574855141,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-55684-6,10.42.0.42,55684,172.217.9.234,443,6,02/07/2017 08:48:20,36100,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.40166204986149,36100.0,0.0,36100.0,36100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.700831024930746,27.700831024930746,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2905,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-42759-6,10.42.0.42,42759,172.217.9.234,443,6,02/07/2017 08:48:20,36849,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.275557002903746,36849.0,0.0,36849.0,36849.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.137778501451873,27.137778501451873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2851,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-58235-80-6,10.42.0.42,58235,103.235.46.39,80,6,02/07/2017 08:48:18,6637493,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6026371703894828,2212497.666666667,3528436.3975520846,6284963.0,70752.0,352530.0,352530.0,0.0,352530.0,352530.0,6355715.0,6355715.0,0.0,6355715.0,6355715.0,0,0,0,0,60,60,0.3013185851947414,0.3013185851947414,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-58237-80-6,10.42.0.42,58237,103.235.46.39,80,6,02/07/2017 08:48:18,6633952,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6029588396177723,2211317.333333333,3512678.0829908582,6266223.0,98939.0,367729.0,367729.0,0.0,367729.0,367729.0,6365162.0,6365162.0,0.0,6365162.0,6365162.0,0,0,0,0,60,60,0.30147941980888615,0.30147941980888615,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-58235-80-6,10.42.0.42,58235,103.235.46.39,80,6,02/07/2017 08:48:25,183140,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.920607185759529,183140.0,0.0,183140.0,183140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5.4603035928797645,5.4603035928797645,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,1369,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-58235-80-6,10.42.0.42,58235,103.235.46.39,80,6,02/07/2017 08:48:25,6096645,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32804927956277596,6096645.0,0.0,6096645.0,6096645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,0.16402463978138798,0.16402463978138798,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1369,776,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-58237-80-6,10.42.0.42,58237,103.235.46.39,80,6,02/07/2017 08:48:25,6272769,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3188384587412672,6272769.0,0.0,6272769.0,6272769.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.1594192293706336,0.1594192293706336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,1369,776,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-58237-80-6,103.235.46.39,80,10.42.0.42,58237,6,02/07/2017 08:48:31,402124,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.97359023584765,402124.0,0.0,402124.0,402124.0,402124.0,402124.0,0.0,402124.0,402124.0,0,0,0,0,0,0,0,0,0,40,0,4.97359023584765,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,776,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-103.235.46.39-58235-80-6,103.235.46.39,80,10.42.0.42,58235,6,02/07/2017 08:48:31,401911,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.976226079903262,401911.0,0.0,401911.0,401911.0,401911.0,401911.0,0.0,401911.0,401911.0,0,0,0,0,0,0,0,0,0,40,0,4.976226079903262,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,776,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
