Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.234-10.42.0.42-443-44294-6,10.42.0.42,44294,172.217.6.234,443,6,02/07/2017 09:10:19,36802,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34487256127384,36802.0,0.0,36802.0,36802.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.17243628063692,27.17243628063692,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5796,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-50666-6,10.42.0.42,50666,172.217.6.234,443,6,02/07/2017 09:10:21,37081,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,836.0076589088751,53.935977994120975,37081.0,0.0,37081.0,37081.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.967988997060488,26.967988997060488,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,3628,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-42544-6,10.42.0.42,42544,172.217.6.234,443,6,02/07/2017 09:10:22,37024,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.019014693172,37024.0,0.0,37024.0,37024.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.009507346586,27.009507346586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,357,0,32,0,0,0,0,0,0,0,0,BENIGN
156.154.202.36-10.42.0.42-443-36911-6,10.42.0.42,36911,156.154.202.36,443,6,02/07/2017 09:10:25,514941,10,11,901.0,4993.0,384.0,0.0,90.1,151.65783857090935,1448.0,0.0,453.909090909091,655.1951548272399,11445.971480227832,40.78137106969537,25747.049999999996,43421.62047022803,170705.0,5.0,450627.0,50069.666666666664,55097.57251685413,170705.0,31.0,451824.0,45182.399999999994,74591.23031146341,235570.0,5.0,0,0,0,0,328,360,19.419700509378746,21.361670560316618,0.0,1448.0,267.90909090909093,500.87066186134314,250871.41991341993,0,0,0,1,0,0,0,0,1.0,280.6666666666667,90.1,453.90909090909093,328,0,0,0,0,0,0,10,901,11,4993,65535,5281,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.84.134.65-40202-443-6,10.42.0.42,40202,52.84.134.65,443,6,02/07/2017 09:10:22,3965777,26,65,2274.0,84918.0,1448.0,0.0,87.46153846153845,294.11687891302404,1448.0,0.0,1306.4307692307696,397.37525437357243,21986.107640444734,22.9463230030332,44064.18888888891,396362.382309787,3762140.0,3.0,3965777.0,158631.08,750826.6702600165,3762140.0,30.0,3943303.0,61614.10937499996,473765.8212984293,3791986.0,3.0,0,0,0,0,840,2088,6.556092286580914,16.390230716452287,0.0,1448.0,947.7391304347824,669.3590319229419,448041.5136168179,0,0,0,1,0,0,0,0,2.0,958.1538461538462,87.46153846153847,1306.4307692307693,840,0,0,0,0,0,0,26,2274,65,84918,65535,134,5,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.121.47-53088-443-6,10.42.0.42,53088,23.194.121.47,443,6,02/07/2017 09:10:26,173320,8,11,831.0,5771.0,498.0,0.0,103.875,177.44571604537862,1448.0,0.0,524.6363636363636,612.6124831779504,38091.39164551119,109.62381721670897,9628.888888888889,13465.288048245468,47220.0,9.0,147821.0,21117.285714285714,21167.800875498662,58374.0,287.0,144287.0,14428.7,20836.09263886959,56896.0,9.0,0,0,0,0,264,360,46.157396722824835,63.466420493884144,0.0,1448.0,330.09999999999997,508.24909972219433,258317.14736842105,0,0,0,1,0,0,0,0,1.0,347.4736842105263,103.875,524.6363636363636,264,0,0,0,0,0,0,8,831,11,5771,65535,972,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.121.47-53088-443-6,10.42.0.42,53088,23.194.121.47,443,6,02/07/2017 09:10:27,4528,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,662.5441696113074,2264.0,3092.885060909959,4451.0,77.0,4528.0,2264.0,3092.885060909959,4451.0,77.0,0,0,0,0,0,0,0,0,0,96,0,662.5441696113074,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-50.19.81.254-36610-443-6,50.19.81.254,443,10.42.0.42,36610,6,02/07/2017 09:10:26,5012964,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.183966212404478,0.5984483431359172,2506482.0,3541849.7837022957,5010948.0,2016.0,5012964.0,5012964.0,0.0,5012964.0,5012964.0,0,0,0,0,0,1,0,0,0,64,32,0.39896556209061146,0.19948278104530573,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,116,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
162.208.22.39-10.42.0.42-443-40566-6,10.42.0.42,40566,162.208.22.39,443,6,02/07/2017 09:10:26,5295994,11,10,1201.0,5107.0,486.0,0.0,109.18181818181817,176.29113317567518,1460.0,0.0,510.7,570.3122049466513,1191.0889627140816,3.9652612899485913,264799.69999999995,1104081.5690340283,4954823.0,10.0,341132.0,34113.2,33261.916941484626,87968.0,72.0,5254421.0,583824.5555555555,1656536.7458456901,5000434.0,10.0,0,0,0,0,240,212,2.0770416280683097,1.8882196618802816,0.0,1460.0,286.72727272727275,445.5433474521581,198508.8744588745,0,0,0,1,0,0,0,0,0.0,300.3809523809524,109.18181818181819,510.7,240,0,0,0,0,0,0,11,1201,10,5107,65535,64,4,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-50.19.109.183-55141-443-6,10.42.0.42,55141,50.19.109.183,443,6,02/07/2017 09:10:26,7224448,13,10,728.0,5831.0,399.0,0.0,55.99999999999999,120.94006780219696,1448.0,0.0,583.1,642.4457521413341,907.8894332134441,3.1836342375223685,328384.0,1006282.8902780673,4024515.0,6.0,7224448.0,602037.3333333333,1361571.3772910484,4024515.0,6.0,3107067.0,345229.6666666667,907328.6184645286,2760967.0,11.0,0,0,0,0,436,328,1.7994454385995997,1.384188798922769,0.0,1448.0,273.2916666666667,490.7160233574099,240802.21557971006,0,0,0,1,0,0,0,0,0.0,285.17391304347825,56.0,583.1,436,0,0,0,0,0,0,13,728,10,5831,65535,79,3,32,0,0,0,0,0,0,0,0,BENIGN
