Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.110-10.42.0.42-443-45823-6,10.42.0.42,45823,172.217.3.110,443,6,03/07/2017 04:23:20,38837,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,592.2187604603856,51.4972835182944,38837.0,0.0,38837.0,38837.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,25.7486417591472,25.7486417591472,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1470,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-36583-6,10.42.0.42,36583,172.217.12.170,443,6,03/07/2017 04:23:21,39403,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.75755653122859,39403.0,0.0,39403.0,39403.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,25.378778265614294,25.378778265614294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.217.228.203-44954-80-6,54.217.228.203,80,10.42.0.42,44954,6,03/07/2017 04:23:22,979213,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0636848162759276,489606.5,642548.639170997,943957.0,35256.0,0,0,0,0,0,943957.0,943957.0,0.0,943957.0,943957.0,0,0,0,0,32,64,1.0212282720919759,2.0424565441839517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,110,1403,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-63.251.88.56-43903-443-6,10.42.0.42,43903,63.251.88.56,443,6,03/07/2017 04:23:23,359991,9,11,901.0,4995.0,384.0,0.0,100.11111111111111,157.3137346550234,1448.0,0.0,454.0909090909092,655.2122487477558,16378.18723245859,55.556944479167534,18946.894736842103,26705.950092098155,110788.0,5.0,330061.0,41257.625,39035.291950956744,110788.0,5.0,327894.0,32789.4,54150.27291241373,168063.0,12.0,0,0,0,0,296,360,25.000625015625392,30.556319463542145,0.0,1448.0,280.76190476190476,509.6088602803041,259701.19047619053,0,0,0,1,0,0,0,0,1.0,294.8,100.11111111111111,454.09090909090907,296,0,0,0,0,0,0,9,901,11,4995,65535,5281,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.111.184-42093-443-6,10.42.0.42,42093,23.194.111.184,443,6,03/07/2017 04:23:24,183420,7,10,831.0,5771.0,498.0,0.0,118.71428571428572,186.22451887055965,1448.0,0.0,577.1,619.1547015443267,35993.89379566023,92.68345872860102,11463.75,16808.392639789603,60730.0,10.0,122521.0,20420.166666666664,18555.035816906056,46022.0,490.0,158563.0,17618.11111111111,29043.432409257537,81143.0,10.0,0,0,0,0,232,328,38.1637771235416,54.519681605059425,0.0,1448.0,366.77777777777777,523.892619841302,274463.477124183,0,0,0,1,0,0,0,0,1.0,388.3529411764706,118.71428571428571,577.1,232,0,0,0,0,0,0,7,831,10,5771,65535,972,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.111.184-42093-443-6,10.42.0.42,42093,23.194.111.184,443,6,03/07/2017 04:23:24,15091,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,132.5293221125174,15091.0,0.0,15091.0,15091.0,15091.0,15091.0,0.0,15091.0,15091.0,0,0,0,0,0,0,0,0,0,64,0,132.5293221125174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-54.192.38.18-32971-443-6,10.42.0.42,32971,54.192.38.18,443,6,03/07/2017 04:23:20,4514482,33,55,2889.0,66583.0,1166.0,0.0,87.54545454545455,237.41289072377305,1448.0,0.0,1210.6000000000006,493.9970610198975,15388.69797243626,19.4928233183785,51890.59770114945,436405.6132388835,4074454.0,2.0,4514482.0,141077.56249999997,717951.7063273259,4074454.0,3.0,4452440.0,82452.5925925926,563974.8172582965,4148352.0,2.0,0,0,0,0,1064,1768,7.309808744391937,12.183014573986561,0.0,1448.0,780.5842696629215,687.6426432019357,472852.40474974463,0,0,0,1,0,0,0,0,1.0,789.4545454545455,87.54545454545455,1210.6,1064,0,0,0,0,0,0,33,2889,55,66583,65535,139,6,32,0,0,0,0,0,0,0,0,BENIGN
162.208.22.39-10.42.0.42-443-58795-6,10.42.0.42,58795,162.208.22.39,443,6,03/07/2017 04:23:24,5423282,11,10,1201.0,5107.0,486.0,0.0,109.18181818181817,176.29113317567518,1460.0,0.0,510.7,570.3122049466513,1163.1333203768493,3.8721939961816476,271164.1,1112409.6097672929,4996290.0,5.0,426967.0,42696.7,26381.06742449129,84292.0,1580.0,5380514.0,597834.8888888889,1651205.4643264753,4998948.0,5.0,0,0,0,0,240,204,2.0282920932380057,1.8439019029436416,0.0,1460.0,286.72727272727275,445.5433474521581,198508.8744588745,0,0,0,1,0,0,0,0,0.0,300.3809523809524,109.18181818181819,510.7,240,0,0,0,0,0,0,11,1201,10,5107,65535,32160,4,20,0,0,0,0,0,0,0,0,BENIGN
162.208.22.39-10.42.0.42-443-58795-6,10.42.0.42,58795,162.208.22.39,443,6,03/07/2017 04:23:29,37455,2,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,827.6598584968629,80.09611533840608,18727.5,23650.600510346456,35451.0,2004.0,35451.0,35451.0,0.0,35451.0,35451.0,0,0,0,0,0,0,0,0,0,40,20,53.397410225604055,26.698705112802028,0.0,31.0,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0.0,10.333333333333334,0.0,31.0,40,0,0,0,0,0,0,2,0,1,31,65535,32160,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.21.225.123-38031-443-6,10.42.0.42,38031,23.21.225.123,443,6,03/07/2017 04:23:24,6576613,13,9,728.0,5800.0,399.0,0.0,56.00000000000001,120.94006780219698,1448.0,0.0,644.4444444444445,649.6100967332465,992.608201212387,3.3451869526152747,313172.04761904763,963518.1599462191,4036492.0,5.0,6576613.0,548051.0833333334,1265659.3396723708,4036492.0,97.0,2345013.0,293126.625,721778.4073681057,2076114.0,5.0,0,0,0,0,424,296,1.9767013810908443,1.3684855715244306,0.0,1448.0,283.8260869565217,498.96225510133553,248963.33201581024,0,0,0,1,0,0,0,0,0.0,296.72727272727275,56.0,644.4444444444445,424,0,0,0,0,0,0,13,728,9,5800,65535,114,3,32,0,0,0,0,0,0,0,0,BENIGN
