Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
180.149.134.142-10.42.0.42-80-39395-6,10.42.0.42,39395,180.149.134.142,80,6,03/07/2017 05:06:21,567537,3,4,398.0,470.0,398.0,0.0,132.66666666666666,229.78540713747105,470.0,0.0,117.5,235.0,1529.4157032933538,12.333997607204465,94589.5,113682.25934727018,236592.0,8.0,331486.0,165743.0,213324.21638904477,316586.0,14900.0,330945.0,110315.0,191042.60618772975,330912.0,8.0,0,0,0,0,80,92,5.2859989745161995,7.047998632688266,0.0,470.0,108.5,201.8224113280924,40732.28571428572,0,0,0,1,0,0,0,0,1.0,124.0,132.66666666666666,117.5,80,0,0,0,0,0,0,3,398,4,470,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.42-80-39395-6,10.42.0.42,39395,180.149.134.142,80,6,03/07/2017 05:06:21,10090,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,198.21605550049554,10090.0,0.0,10090.0,10090.0,10090.0,10090.0,0.0,10090.0,10090.0,0,0,0,0,0,0,0,0,0,40,0,198.21605550049554,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-114.134.80.163-45276-80-6,10.42.0.42,45276,114.134.80.163,80,6,03/07/2017 05:06:22,594705,3,4,414.0,498.0,414.0,0.0,138.0,239.02301144450507,498.0,0.0,124.5,249.0,1533.5334325421848,11.770541697143962,99117.5,121975.32647507037,249245.0,8.0,345405.0,172702.5,243863.45116171057,345140.0,265.0,345808.0,115269.33333333334,199604.71144322553,345753.0,8.0,0,0,0,0,80,92,5.0445178702045546,6.726023826939406,0.0,498.0,114.0,212.27744648387468,45061.71428571428,0,0,0,1,0,0,0,0,1.0,130.28571428571428,138.0,124.5,80,0,0,0,0,0,0,3,414,4,498,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-114.134.80.163-45276-80-6,10.42.0.42,45276,114.134.80.163,80,6,03/07/2017 05:06:23,16775,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,119.22503725782413,16775.0,0.0,16775.0,16775.0,16775.0,16775.0,0.0,16775.0,16775.0,0,0,0,0,0,0,0,0,0,40,0,119.22503725782413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.21.57.50-60437-443-6,23.21.57.50,443,10.42.0.42,60437,6,03/07/2017 05:06:18,5005835,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.192773033869474,0.5993006161809168,2502917.5,3382127.796861097,4894443.0,111392.0,5005835.0,5005835.0,0.0,5005835.0,5005835.0,0,0,0,0,0,1,0,0,0,64,32,0.3995337441206112,0.1997668720603056,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-52165-6,10.42.0.42,52165,172.217.10.14,443,6,03/07/2017 05:06:23,36724,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.2934320880079,81.6904476636532,18362.0,25936.676733922563,36702.0,22.0,0,0,0,0,0,22.0,22.0,0.0,22.0,22.0,1,0,0,0,32,64,27.230149221217733,54.460298442435466,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.21.57.50-60437-443-6,10.42.0.42,60437,23.21.57.50,443,6,03/07/2017 05:06:23,776959,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,39.89914525734305,3.861207605549328,388479.5,549059.2232031988,776723.0,236.0,776959.0,388479.5,549059.2232031988,776723.0,236.0,0,0,0,0,0,0,0,0,0,96,0,3.861207605549328,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1686,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.0.207-10.42.0.42-443-38497-6,10.42.0.42,38497,151.101.0.207,443,6,03/07/2017 05:06:10,14396582,9,4,4212.0,1230.0,1448.0,0.0,468.0,556.4638353028884,615.0,0.0,307.5,355.0704155516198,378.0063906835664,0.9029921129890414,1199715.1666666667,2968794.8405421968,9588065.0,3.0,1.4396582E7,1799572.75,3552005.915055795,9588065.0,3.0,9654416.0,3218138.666666667,5532995.032178895,9607091.0,23366.0,1,0,0,0,288,128,0.6251483859154902,0.2778437270735512,0.0,1448.0,415.7142857142857,474.60986870536885,225254.52747252744,0,1,0,0,1,0,0,0,0.0,447.6923076923077,468.0,307.5,288,0,0,0,0,0,0,9,4212,4,1230,1595,86,5,32,44440.0,0.0,44440.0,44440.0,9588065.0,0.0,9588065.0,9588065.0,BENIGN
151.101.0.207-10.42.0.42-443-38497-6,151.101.0.207,443,10.42.0.42,38497,6,03/07/2017 05:06:25,244,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,127049.18032786886,8196.72131147541,244.0,0.0,244.0,244.0,244.0,244.0,0.0,244.0,244.0,0,0,0,0,0,1,0,0,0,64,0,8196.72131147541,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,86,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.42-443-53796-6,10.42.0.42,53796,172.217.10.74,443,6,03/07/2017 05:06:26,40455,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,766.2835249042146,74.15647015202077,20227.5,28235.48087956003,40193.0,262.0,0,0,0,0,0,262.0,262.0,0.0,262.0,262.0,1,0,0,0,32,64,24.71882338400692,49.43764676801384,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
