Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.42-443-54029-6,10.42.0.42,54029,172.217.12.170,443,6,03/07/2017 05:26:49,37197,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.76777697126112,37197.0,0.0,37197.0,37197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.88388848563056,26.88388848563056,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.42-80-56663-6,10.42.0.42,56663,151.101.1.140,80,6,03/07/2017 05:26:49,533171,3,4,399.0,356.0,399.0,0.0,133.0,230.36275740666068,356.0,0.0,89.0,178.0,1416.0560120486675,13.128996138199566,88861.83333333334,199995.18339941755,496859.0,28.0,517382.0,258691.0,336820.4157232753,496859.0,20523.0,517826.0,172608.6666666667,298643.99507830944,517453.0,28.0,0,0,0,0,104,136,5.626712630656956,7.502283507542609,0.0,399.0,94.375,175.12602604981362,30669.125,0,0,0,1,0,0,0,0,1.0,107.85714285714286,133.0,89.0,104,0,0,0,0,0,0,3,399,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.42-80-56663-6,10.42.0.42,56663,151.101.1.140,80,6,03/07/2017 05:26:49,230869,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12.994382095474057,115434.5,113255.17182230575,195518.0,35351.0,230869.0,115434.5,113255.17182230575,195518.0,35351.0,0,0,0,0,0,0,0,0,0,96,0,12.994382095474057,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.42-443-60330-6,10.42.0.42,60330,151.101.1.140,443,6,03/07/2017 05:26:58,102470,6,4,338.0,3608.0,212.0,0.0,56.33333333333333,91.41042974774085,1448.0,0.0,902.0,694.2468341063333,38508.83185322533,97.58953840148335,11385.555555555555,9475.594705757405,27421.0,1.0,102470.0,20494.0,7806.874150388233,28284.0,9447.0,32607.0,10869.0,18823.92817665856,32605.0,1.0,0,0,0,0,200,136,58.55372304089001,39.03581536059334,0.0,1448.0,358.72727272727275,578.4145729334783,334563.41818181815,0,0,0,1,0,0,0,0,0.0,394.6,56.333333333333336,902.0,200,0,0,0,0,0,0,6,338,4,3608,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.42-443-60329-6,10.42.0.42,60329,151.101.1.140,443,6,03/07/2017 05:26:58,103349,7,4,338.0,3608.0,212.0,0.0,48.28571428571428,86.11951827879338,1448.0,0.0,902.0,694.2468341063333,38181.30799523943,106.43547591171661,10334.900000000001,11330.831443945812,36139.0,1.0,103349.0,17224.833333333336,13640.963974978698,36139.0,526.0,33474.0,11158.0,19017.88019207188,33117.0,1.0,0,0,0,0,232,136,67.7316664892742,38.703809422442404,0.0,1448.0,328.83333333333337,561.1348619835817,314872.3333333333,0,0,0,1,0,0,0,0,0.0,358.72727272727275,48.285714285714285,902.0,232,0,0,0,0,0,0,7,338,4,3608,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.42-443-60329-6,151.101.1.140,443,10.42.0.42,60329,6,03/07/2017 05:26:58,7638,3,1,289.0,0.0,258.0,0.0,96.33333333333334,140.8628174265066,0.0,0.0,0.0,0.0,37837.13013877979,523.6973029588897,2546.0,2793.6934334318075,5537.0,4.0,7638.0,3819.0,5395.224740453357,7634.0,4.0,0,0,0,0,0,1,0,0,0,96,20,392.77297721916733,130.92432573972243,0.0,258.0,109.4,136.24169699471597,18561.8,0,1,0,0,1,0,0,0,0.0,136.75,96.33333333333333,0.0,96,0,0,0,0,0,0,3,289,1,0,59,0,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.42-443-60330-6,151.101.1.140,443,10.42.0.42,60330,6,03/07/2017 05:26:58,17119,3,1,289.0,0.0,258.0,0.0,96.33333333333334,140.8628174265066,0.0,0.0,0.0,0.0,16881.82720953327,233.65850809042587,5706.333333333334,7479.001559923178,14174.0,3.0,17119.0,8559.5,12100.718346445388,17116.0,3.0,0,0,0,0,0,1,0,0,0,96,20,175.2438810678194,58.41462702260647,0.0,258.0,109.4,136.24169699471597,18561.8,0,1,0,0,1,0,0,0,0.0,136.75,96.33333333333333,0.0,96,0,0,0,0,0,0,3,289,1,0,59,0,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.42-80-56664-6,10.42.0.42,56664,151.101.1.140,80,6,03/07/2017 05:26:49,10888026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3673760514532203,3629342.0,6268516.5373905655,1.0867599E7,5087.0,1.0888026E7,5444013.0,7670108.877896845,1.0867599E7,20427.0,0,0,0,0,0,0,0,0,0,104,40,0.2755320385899152,0.09184401286330507,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28960,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-42226-6,10.42.0.42,42226,172.217.11.14,443,6,03/07/2017 05:27:00,38422,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,598.6153766071521,52.05351100931758,38422.0,0.0,38422.0,38422.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.02675550465879,26.02675550465879,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-54881-6,10.42.0.42,54881,172.217.12.170,443,6,03/07/2017 05:27:03,573906,10,11,1293.0,4609.0,1016.0,0.0,129.29999999999998,316.47118527776126,1418.0,0.0,419.0,552.5674619446933,10283.914090460807,36.59135816666841,28695.300000000003,64243.881270883445,287049.0,8.0,536684.0,59631.555555555555,90572.21853321126,287049.0,639.0,536285.0,53628.50000000001,101892.35632791871,329132.0,8.0,0,0,0,0,328,360,17.4244562698421,19.16690189682631,0.0,1418.0,268.27272727272725,461.3491789686689,212843.06493506493,0,0,0,1,0,0,0,0,1.0,281.04761904761904,129.3,419.0,328,0,0,0,0,0,0,10,1293,11,4609,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
