Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.7.10-10.42.0.42-443-44464-6,10.42.0.42,44464,172.217.7.10,443,6,03/07/2017 10:00:42,36769,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.39364682205118,36769.0,0.0,36769.0,36769.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.19682341102559,27.19682341102559,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-34576-443-6,31.13.71.37,443,10.42.0.42,34576,6,03/07/2017 10:00:44,26,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1615384.6153846155,76923.07692307692,26.0,0.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,1,0,0,0,64,0,76923.07692307692,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-34576-443-6,31.13.71.37,443,10.42.0.42,34576,6,03/07/2017 10:00:44,30370,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,1382.9436944352979,164.63615409944023,7592.5,14461.046631093706,29275.0,52.0,0,0,0,0,0,1095.0,365.0,512.1201031008254,956.0,52.0,0,0,0,0,32,140,32.927230819888045,131.70892327955218,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,135,1678,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.10-10.42.0.42-443-37672-6,10.42.0.42,37672,172.217.7.10,443,6,03/07/2017 10:00:51,36736,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4425087108014,36736.0,0.0,36736.0,36736.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.2212543554007,27.2212543554007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5843,404,0,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.42-80-51478-6,10.42.0.42,51478,203.205.147.229,80,6,03/07/2017 10:00:57,465956,5,3,560.0,1145.0,560.0,0.0,112.0,250.43961347997646,1145.0,0.0,381.6666666666667,661.0660582221216,3659.143781816309,17.169003081836053,66565.14285714286,106952.3374116224,223168.0,31.0,465956.0,116489.0,133458.16627193207,236316.0,31.0,236998.0,118499.0,154791.33125598475,227953.0,9045.0,0,0,0,0,168,104,10.730626926147533,6.438376155688521,0.0,1145.0,189.44444444444446,403.36432387827483,162702.77777777778,0,0,0,1,0,0,0,0,0.0,213.125,112.0,381.6666666666667,168,0,0,0,0,0,0,5,560,3,1145,65535,54,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.42-80-51476-6,10.42.0.42,51476,203.205.147.229,80,6,03/07/2017 10:00:57,473108,5,3,530.0,293.0,530.0,0.0,106.0,237.0232056149777,293.0,0.0,97.66666666666667,169.16362887256037,1739.56052317864,16.909458305503183,67586.85714285714,109558.24079673874,227922.0,383.0,473108.0,118277.0,135865.80157150168,241690.0,383.0,242060.0,121030.0,154859.21350697865,230532.0,11528.0,0,0,0,0,168,104,10.56841144093949,6.341046864563694,0.0,530.0,91.44444444444444,190.8828902174781,36436.27777777779,0,0,0,1,0,0,0,0,0.0,102.875,106.0,97.66666666666667,168,0,0,0,0,0,0,5,530,3,293,65535,54,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.42-80-51480-6,10.42.0.42,51480,203.205.147.229,80,6,03/07/2017 10:00:57,1484574,5,4,863.0,1601.0,863.0,0.0,172.6,385.9453329164637,1448.0,0.0,400.25,702.2138207127513,1659.7353853698098,6.062345157600766,185571.75,287310.97748395504,852712.0,14.0,1484574.0,371143.5,360239.1825093434,852712.0,454.0,1104679.0,368226.3333333334,621113.7068768756,1085340.0,14.0,0,0,0,0,168,136,3.3679695320004255,2.6943756256003404,0.0,1448.0,246.4,500.86063708159156,250861.37777777776,0,0,0,1,0,0,0,0,0.0,273.77777777777777,172.6,400.25,168,0,0,0,0,0,0,5,863,4,1601,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.10-10.42.0.42-443-50324-6,10.42.0.42,50324,172.217.7.10,443,6,03/07/2017 10:01:04,37220,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,832.8855454056958,80.60182697474475,18610.0,25885.765045677133,36914.0,306.0,0,0,0,0,0,306.0,306.0,0.0,306.0,306.0,1,0,0,0,32,64,26.86727565824825,53.7345513164965,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2740,496,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.10-10.42.0.42-443-39080-6,10.42.0.42,39080,172.217.7.10,443,6,03/07/2017 10:01:07,36457,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.85914913459692,36457.0,0.0,36457.0,36457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.42957456729846,27.42957456729846,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.9.59.64-36897-443-6,52.9.59.64,443,10.42.0.42,36897,6,03/07/2017 10:01:07,5003734,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.195373295223128,0.5995522543764317,2501867.0,3528738.6097655348,4997062.0,6672.0,5003734.0,5003734.0,0.0,5003734.0,5003734.0,0,0,0,0,0,1,0,0,0,64,32,0.39970150291762113,0.19985075145881057,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,67,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
