Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-31.13.71.37-57333-443-6,31.13.71.37,443,10.42.0.42,57333,6,04/07/2017 02:58:19,48121,1,6,42.0,42.0,42.0,42.0,42.0,0.0,42.0,0.0,7.0,17.146428199482248,1745.5996342553149,145.4666361879429,8020.166666666667,17992.118601395076,44697.0,44.0,0,0,0,0,0,3424.0,684.8,1043.2562964104268,2534.0,44.0,1,0,0,0,32,228,20.780948026848986,124.68568816109392,0.0,42.0,15.75,21.737065119284157,472.5,0,1,0,0,1,1,0,0,6.0,18.0,42.0,7.0,32,0,0,0,0,0,0,1,42,6,42,135,1678,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.42-443-39646-6,10.42.0.42,39646,172.217.10.74,443,6,04/07/2017 02:58:34,37126,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.87060281204547,37126.0,0.0,37126.0,37126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.935301406022734,26.935301406022734,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5842,404,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-50.19.244.250-37721-443-6,10.42.0.42,37721,50.19.244.250,443,6,04/07/2017 02:58:34,3133,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,9894.66964570699,638.3657835939994,3133.0,0.0,3133.0,3133.0,3133.0,3133.0,0.0,3133.0,3133.0,0,0,0,0,0,1,0,0,0,64,0,638.3657835939994,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-50.19.244.250-37721-443-6,50.19.244.250,443,10.42.0.42,37721,6,04/07/2017 02:58:35,28,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1107142.857142857,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,119,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.188.80-10.42.0.42-443-55551-6,10.42.0.42,55551,198.11.188.80,443,6,04/07/2017 02:58:41,558311,7,7,330.0,4319.0,204.0,0.0,47.142857142857146,83.60109363604556,1280.0,0.0,617.0,627.9121488446187,8326.900240188712,25.075629890867276,42947.00000000001,94759.03414274898,285053.0,3.0,558311.0,93051.83333333333,129001.51042436158,288026.0,287.0,291394.0,48565.666666666664,117898.9268206741,289224.0,3.0,0,0,0,0,160,160,12.537814945433638,12.537814945433638,0.0,1280.0,309.9333333333334,510.3973895290759,260505.49523809526,0,0,0,1,0,0,0,0,1.0,332.07142857142856,47.142857142857146,617.0,160,0,0,0,0,0,0,7,330,7,4319,65535,16180,2,20,0,0,0,0,0,0,0,0,BENIGN
140.205.164.47-10.42.0.42-443-42674-6,10.42.0.42,42674,140.205.164.47,443,6,04/07/2017 02:58:41,566225,7,6,332.0,4318.0,206.0,0.0,47.42857142857143,84.22758285909501,1452.0,0.0,719.6666666666667,718.2249415515076,8212.283103006755,22.959071040664046,47185.41666666667,95211.82993864341,252655.0,4.0,566225.0,94370.83333333333,123574.10326021657,256463.0,414.0,294068.0,58813.600000000006,111188.44337115256,255611.0,4.0,0,0,0,0,160,140,12.362576714203717,10.59649432646033,0.0,1452.0,332.1428571428571,568.4394098207501,323123.3626373627,0,0,0,1,0,0,0,0,0.0,357.6923076923077,47.42857142857143,719.6666666666666,160,0,0,0,0,0,0,7,332,6,4318,65535,15544,2,20,0,0,0,0,0,0,0,0,BENIGN
198.11.188.80-10.42.0.42-443-55551-6,198.11.188.80,443,10.42.0.42,55551,6,04/07/2017 02:58:42,14416,3,2,327.0,0.0,258.0,0.0,109.0,133.57020625873122,0.0,0.0,0.0,0.0,22683.12985571587,346.83684794672587,3604.0,4748.021974113712,10150.0,57.0,14416.0,7208.0,9992.833031728289,14274.0,142.0,57.0,57.0,0.0,57.0,57.0,1,0,0,0,60,40,208.10210876803552,138.73473917869035,0.0,258.0,97.5,127.1624944706575,16170.3,0,1,0,0,1,0,0,0,0.0,117.0,109.0,0.0,60,0,0,0,0,0,0,3,327,2,0,16054,0,1,20,0,0,0,0,0,0,0,0,BENIGN
140.205.164.47-10.42.0.42-443-42674-6,140.205.164.47,443,10.42.0.42,42674,6,04/07/2017 02:58:42,115557,5,4,2001.0,0.0,1452.0,0.0,400.2,597.5183679185101,0.0,0.0,0.0,0.0,17316.129702224876,77.88364183909239,14444.624999999998,21916.818642556547,52495.0,8.0,115557.0,28889.25,27913.43258928695,56221.0,8.0,104609.0,34869.66666666667,30207.575975793443,54724.0,106.0,0,0,0,0,100,104,43.26868991060688,34.61495192848551,0.0,1452.0,345.3,591.1284970291993,349432.9,0,0,0,0,1,0,0,0,0.0,383.6666666666667,400.2,0.0,100,0,0,0,0,0,0,5,2001,4,0,15544,0,3,20,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.42-443-43356-6,10.42.0.42,43356,198.11.136.24,443,6,04/07/2017 02:58:42,211719,7,5,328.0,2937.0,202.0,0.0,46.857142857142854,82.97676094632072,1452.0,0.0,587.4,789.3831769172688,15421.38400426981,56.67889986255367,19247.18181818182,34231.59932523803,87759.0,14.0,211719.0,35286.5,44502.440767894965,92165.0,45.0,94393.0,23598.25,45874.286060747945,92400.0,14.0,0,0,0,0,160,120,33.06269158648964,23.61620827606403,0.0,1452.0,251.15384615384613,536.5289439464638,287863.3076923077,0,0,0,1,0,0,0,0,0.0,272.0833333333333,46.857142857142854,587.4,160,0,0,0,0,0,0,7,328,5,2937,65535,15544,2,20,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.42-443-43356-6,198.11.136.24,443,10.42.0.42,43356,6,04/07/2017 02:58:43,16846,3,2,327.0,0.0,258.0,0.0,109.0,133.57020625873122,0.0,0.0,0.0,0.0,19411.136174759587,296.8063635284341,4211.5,5549.746811041623,12247.0,29.0,16846.0,8423.0,11870.90864255976,16817.0,29.0,1078.0,1078.0,0.0,1078.0,1078.0,1,0,0,0,60,40,178.08381811706042,118.72254541137362,0.0,258.0,97.5,127.1624944706575,16170.3,0,1,0,0,1,0,0,0,0.0,117.0,109.0,0.0,60,0,0,0,0,0,0,3,327,2,0,15544,0,1,20,0,0,0,0,0,0,0,0,BENIGN
