Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
206.126.112.141-10.42.0.42-443-42316-6,206.126.112.141,443,10.42.0.42,42316,6,04/07/2017 01:01:16,342318,525,63,748705.0,31.0,1448.0,32.0,1426.104761904762,140.86815907308423,31.0,0.0,0.4920634920634921,3.905632887762015,2187252.7883430026,1717.7010849560934,583.1652470187391,2008.6675022917213,18410.0,2.0,293443.0,560.0057251908397,2426.0130244901484,24736.0,2.0,338139.0,5453.854838709678,8031.132723012882,31728.0,6.0,0,0,0,0,16800,2016,1533.661682996512,184.03940195958143,0.0,1448.0,1273.6570458404062,460.6090037019013,212160.65429125814,0,0,0,0,1,0,0,0,0.0,1275.8231292517007,1426.104761904762,0.49206349206349204,16800,0,0,0,0,0,0,525,748705,63,31,123,6075,524,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-56306-6,10.42.0.42,56306,172.217.12.142,443,6,04/07/2017 01:01:19,36740,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.0206859009254,54.43658138268916,36740.0,0.0,36740.0,36740.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.21829069134458,27.21829069134458,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-59644-443-6,31.13.71.37,443,10.42.0.42,59644,6,04/07/2017 01:01:22,29,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1448275.8620689656,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-59644-443-6,10.42.0.42,59644,31.13.71.37,443,6,04/07/2017 01:01:22,428,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,98130.84112149532,7009.345794392523,214.0,195.16147160748713,352.0,76.0,428.0,214.0,195.16147160748713,352.0,76.0,0,0,0,0,0,0,0,0,0,96,0,7009.345794392523,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-47195-6,10.42.0.42,47195,172.217.10.234,443,6,04/07/2017 01:01:42,36995,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.061359643195026,36995.0,0.0,36995.0,36995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.030679821597513,27.030679821597513,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-56433-6,10.42.0.42,56433,172.217.10.234,443,6,04/07/2017 01:01:47,36479,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.82606431097344,36479.0,0.0,36479.0,36479.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.41303215548672,27.41303215548672,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-36491-6,10.42.0.42,36491,172.217.12.142,443,6,04/07/2017 01:01:50,36800,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.0,54.34782608695652,36800.0,0.0,36800.0,36800.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.17391304347826,27.17391304347826,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
183.79.248.252-10.42.0.42-443-45289-6,10.42.0.42,45289,183.79.248.252,443,6,04/07/2017 01:01:50,449746,7,6,327.0,4878.0,201.0,0.0,46.714285714285715,82.66541857736782,1448.0,0.0,813.0,675.1470950837306,11573.199094600064,28.905204270855105,37478.83333333333,68415.97270286221,180854.0,11.0,449746.0,74957.66666666667,86382.4826030525,185878.0,385.0,187565.0,37513.0,81480.29407163427,183248.0,11.0,0,0,0,0,232,200,15.564340761229673,13.340863509625434,0.0,1448.0,371.7857142857143,579.5266209550726,335851.1043956044,0,0,0,1,0,0,0,0,0.0,400.38461538461536,46.714285714285715,813.0,232,0,0,0,0,0,0,7,327,6,4878,65535,32,2,32,0,0,0,0,0,0,0,0,BENIGN
183.79.248.252-10.42.0.42-443-45289-6,183.79.248.252,443,10.42.0.42,45289,6,04/07/2017 01:01:50,49695,4,3,366.0,0.0,274.0,0.0,91.5,123.62712755162867,0.0,0.0,0.0,0.0,7364.926048898279,140.85924137237146,8282.5,14862.781983868297,36922.0,29.0,49695.0,16565.0,28563.285315243415,49547.0,29.0,263.0,131.5,86.97413408594535,193.0,70.0,1,0,0,0,128,60,80.49099506992654,60.36824630244491,0.0,274.0,80.0,121.42957982774566,14745.142857142855,0,1,0,0,1,0,0,0,0.0,91.42857142857143,91.5,0.0,128,0,0,0,0,0,0,4,366,3,0,32,0,2,32,0,0,0,0,0,0,0,0,BENIGN
183.79.248.252-10.42.0.42-443-45294-6,10.42.0.42,45294,183.79.248.252,443,6,04/07/2017 01:01:52,460027,8,6,333.0,4878.0,207.0,0.0,41.625,80.05701093595738,1448.0,0.0,813.0,675.1470950837306,11327.595988931083,30.4329963241288,35386.69230769231,65816.68149158011,173864.0,16.0,460027.0,65718.14285714286,81503.81016743649,177140.0,362.0,179847.0,35969.4,78691.58398011823,176723.0,16.0,0,0,0,0,264,200,17.390283613787886,13.042712710340915,0.0,1448.0,347.4,566.527997038603,320953.9714285714,0,0,0,1,0,0,0,0,0.0,372.2142857142857,41.625,813.0,264,0,0,0,0,0,0,8,333,6,4878,65535,32,2,32,0,0,0,0,0,0,0,0,BENIGN
183.79.248.252-10.42.0.42-443-45292-6,10.42.0.42,45292,183.79.248.252,443,6,04/07/2017 01:01:52,460749,7,6,333.0,4878.0,207.0,0.0,47.57142857142857,84.54162119504046,1448.0,0.0,813.0,675.1470950837306,11309.845490711863,28.214928301526427,38395.75,69965.28926822473,184059.0,11.0,460749.0,76791.5,90124.72170220554,190519.0,439.0,194848.0,38969.6,85090.20698529297,191170.0,11.0,0,0,0,0,232,200,15.192653700821921,13.022274600704504,0.0,1448.0,372.2142857142857,579.3928093034358,335696.02747252746,0,0,0,1,0,0,0,0,0.0,400.84615384615387,47.57142857142857,813.0,232,0,0,0,0,0,0,7,333,6,4878,65535,32,2,32,0,0,0,0,0,0,0,0,BENIGN
183.79.248.252-10.42.0.42-443-45296-6,10.42.0.42,45296,183.79.248.252,443,6,04/07/2017 01:01:52,460020,8,6,333.0,4878.0,207.0,0.0,41.625,80.05701093595738,1448.0,0.0,813.0,675.1470950837306,11327.768357897483,30.433459414808052,35386.15384615385,66040.75474766339,182298.0,8.0,460020.0,65717.14285714286,93249.81219003173,211650.0,8.0,213095.0,42619.00000000001,82790.49488618848,190212.0,11.0,0,0,0,0,264,200,17.390548237033173,13.04291117777488,0.0,1448.0,347.4,566.527997038603,320953.9714285714,0,0,0,1,0,0,0,0,0.0,372.2142857142857,41.625,813.0,264,0,0,0,0,0,0,8,333,6,4878,65535,32,2,32,0,0,0,0,0,0,0,0,BENIGN
