Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
206.126.112.141-10.42.0.42-443-41581-6,10.42.0.42,41581,206.126.112.141,443,6,04/07/2017 05:39:23,812699,89,544,1030.0,774414.0,641.0,0.0,11.57303370786517,73.0521121031931,1448.0,0.0,1423.555147058823,157.66983211358485,954158.9198460932,778.8861558830515,1285.9161392405072,5288.80399730958,63253.0,1.0,812699.0,9235.215909090914,14342.17559880196,63253.0,5.0,662956.0,1220.913443830572,7404.060008574717,107143.0,1.0,0,0,0,0,2856,17416,109.51163961072919,669.3745162723222,0.0,1448.0,1223.097791798107,515.1076084097007,265335.8482415615,0,0,0,1,0,0,0,0,6.0,1225.0300157977883,11.573033707865168,1423.5551470588234,2856,0,0,0,0,0,0,89,1030,544,774414,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-59925-6,10.42.0.42,59925,172.217.11.42,443,6,04/07/2017 05:39:23,37155,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.828556048983984,37155.0,0.0,37155.0,37155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.914278024491992,26.914278024491992,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,381,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-41581-6,206.126.112.141,443,10.42.0.42,41581,6,04/07/2017 05:39:23,243238,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,127.44719163946422,12.333599190915892,121619.0,168745.3764759201,240940.0,2298.0,0,0,0,0,0,240940.0,240940.0,0.0,240940.0,240940.0,0,0,0,0,32,64,4.111199730305297,8.222399460610594,0.0,31.0,7.75,15.5,240.25,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,123,6120,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-58329-6,10.42.0.42,58329,172.217.11.42,443,6,04/07/2017 05:39:24,36835,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.29618569295507,36835.0,0.0,36835.0,36835.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.148092846477535,27.148092846477535,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.69-10.42.0.42-443-43794-6,10.42.0.42,43794,172.217.10.69,443,6,04/07/2017 05:39:25,37338,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.56473297980609,37338.0,0.0,37338.0,37338.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.782366489903044,26.782366489903044,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4031,393,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-54913-6,10.42.0.42,54913,172.217.12.142,443,6,04/07/2017 05:39:26,211865,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.43997356807401,211865.0,0.0,211865.0,211865.0,211865.0,211865.0,0.0,211865.0,211865.0,0,0,0,0,0,0,0,0,0,64,0,9.43997356807401,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.2-10.42.0.42-443-43851-6,10.42.0.42,43851,172.217.11.2,443,6,04/07/2017 05:39:26,543897,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.677166816511215,543897.0,0.0,543897.0,543897.0,543897.0,543897.0,0.0,543897.0,543897.0,0,0,0,0,0,0,0,0,0,64,0,3.677166816511215,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-39242-6,10.42.0.42,39242,172.217.9.238,443,6,04/07/2017 05:39:27,37099,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.9628022318661,53.909808889727486,37099.0,0.0,37099.0,37099.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.954904444863743,26.954904444863743,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1682,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-53885-6,10.42.0.42,53885,172.217.11.42,443,6,04/07/2017 05:39:27,36570,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,847.6893628657369,82.03445447087778,18285.0,25789.59852343576,36521.0,49.0,0,0,0,0,0,49.0,49.0,0.0,49.0,49.0,1,0,0,0,32,64,27.344818156959256,54.68963631391851,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-54913-6,10.42.0.42,54913,172.217.12.142,443,6,04/07/2017 05:39:27,1047316,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9096433168212843,1047316.0,0.0,1047316.0,1047316.0,1047316.0,1047316.0,0.0,1047316.0,1047316.0,0,0,0,0,0,0,0,0,0,64,0,1.9096433168212843,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
