Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.42-10.42.0.42-443-37050-6,10.42.0.42,37050,172.217.10.42,443,6,04/07/2017 06:48:21,37253,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.686951386465516,37253.0,0.0,37253.0,37253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.843475693232758,26.843475693232758,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.42-443-54552-6,10.42.0.42,54552,172.217.10.42,443,6,04/07/2017 06:48:21,37017,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.02922981332901,37017.0,0.0,37017.0,37017.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.014614906664505,27.014614906664505,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.42-443-44351-6,10.42.0.42,44351,172.217.6.206,443,6,04/07/2017 06:48:22,264211,9,9,1146.0,6023.0,787.0,0.0,127.33333333333333,260.6746055909551,1418.0,0.0,669.2222222222223,692.445625623012,27133.61669271908,68.12736789914122,15541.823529411764,22910.77397545556,70474.0,7.0,207016.0,25876.999999999996,27592.39281292685,70474.0,7.0,227605.0,28450.625,43057.810368113576,110744.0,10.0,0,0,0,0,296,296,34.06368394957061,34.06368394957061,0.0,1418.0,377.31578947368416,570.1427747728906,325062.783625731,0,0,0,1,0,0,0,0,1.0,398.27777777777777,127.33333333333333,669.2222222222222,296,0,0,0,0,0,0,9,1146,9,6023,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-39798-6,10.42.0.42,39798,206.126.112.141,443,6,04/07/2017 06:48:22,336212,95,540,998.0,774414.0,640.0,0.0,10.50526315789474,70.62153756290755,1448.0,0.0,1434.1,134.97711343141953,2306318.6322915303,1888.6892793832462,530.3028391167189,2445.7487899476982,42415.0,0.0,319682.0,3400.8723404255334,7031.06771168672,45711.0,3.0,320740.0,595.0649350649343,3659.8124174224877,46666.0,2.0,0,0,0,0,3048,17288,282.55981345103686,1606.1294659322093,0.0,1448.0,1219.2012578616357,525.7212162608255,276382.7972267616,0,0,0,1,0,0,0,0,5.0,1221.1212598425197,10.505263157894737,1434.1,3048,0,0,0,0,0,0,95,998,540,774414,65535,123,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-39798-6,10.42.0.42,39798,206.126.112.141,443,6,04/07/2017 06:48:22,195,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,158974.35897435897,10256.410256410256,195.0,0.0,195.0,195.0,195.0,195.0,0.0,195.0,195.0,0,0,0,0,0,1,0,0,0,64,0,10256.410256410256,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,6890,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.42-443-40347-6,10.42.0.42,40347,172.217.10.42,443,6,04/07/2017 06:48:23,36552,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.71656817684395,36552.0,0.0,36552.0,36552.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.358284088421975,27.358284088421975,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.42-443-44915-6,10.42.0.42,44915,172.217.6.206,443,6,04/07/2017 06:48:23,36517,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.8436344716159,54.769011693184,36517.0,0.0,36517.0,36517.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.384505846592,27.384505846592,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1537,426,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-45023-443-6,31.13.71.37,443,10.42.0.42,45023,6,04/07/2017 06:48:26,29,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1448275.8620689656,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-45023-443-6,10.42.0.42,45023,31.13.71.37,443,6,04/07/2017 06:48:26,469,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,89552.23880597015,6396.588486140725,234.5,200.11121907579295,376.0,93.0,469.0,234.5,200.11121907579295,376.0,93.0,0,0,0,0,0,0,0,0,0,96,0,6396.588486140725,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.21.56.15-45947-443-6,23.21.56.15,443,10.42.0.42,45947,6,04/07/2017 06:48:37,5009501,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.188241104253697,0.5988620423471319,2504750.5,3488852.8375591454,4971742.0,37759.0,5009501.0,5009501.0,0.0,5009501.0,5009501.0,0,0,0,0,0,1,0,0,0,64,32,0.39924136156475465,0.19962068078237732,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
