Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.42-443-41683-6,10.42.0.42,41683,172.217.12.202,443,6,04/07/2017 03:39:51,37343,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.55756098867258,37343.0,0.0,37343.0,37343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.77878049433629,26.77878049433629,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5842,404,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.212.131-10.42.0.42-443-49885-6,10.42.0.42,49885,216.58.212.131,443,6,04/07/2017 03:40:01,456942,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.376923110591716,456942.0,0.0,456942.0,456942.0,456942.0,456942.0,0.0,456942.0,456942.0,0,0,0,0,0,0,0,0,0,64,0,4.376923110591716,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-54782-6,10.42.0.42,54782,172.217.12.202,443,6,04/07/2017 03:40:02,36563,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.700106665208,36563.0,0.0,36563.0,36563.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.350053332604,27.350053332604,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-108.174.11.1-35420-80-6,10.42.0.42,35420,108.174.11.1,80,6,04/07/2017 03:40:01,767092,3,4,401.0,170.0,401.0,0.0,133.66666666666666,231.51745794503992,170.0,0.0,42.5,85.0,744.3696453619644,9.12537218482268,127848.66666666667,272501.57069981575,682982.0,21.0,726859.0,363429.5,451915.47939022846,682982.0,43877.0,729389.0,243129.6666666667,418989.44480420183,726935.0,21.0,0,0,0,0,104,136,3.9108737934954347,5.214498391327246,0.0,401.0,71.37500000000001,145.86974375399836,21277.98214285714,0,0,0,1,0,0,0,0,1.0,81.57142857142857,133.66666666666666,42.5,104,0,0,0,0,0,0,3,401,4,170,65535,16,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-108.174.11.1-35420-80-6,10.42.0.42,35420,108.174.11.1,80,6,04/07/2017 03:40:02,61257,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,48.97399480875655,30628.5,9374.11459819006,37257.0,24000.0,61257.0,30628.5,9374.11459819006,37257.0,24000.0,0,0,0,0,0,0,0,0,0,96,0,48.97399480875655,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.212.131-10.42.0.42-443-49885-6,10.42.0.42,49885,216.58.212.131,443,6,04/07/2017 03:40:03,1798955,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.1117565475512172,1798955.0,0.0,1798955.0,1798955.0,1798955.0,1798955.0,0.0,1798955.0,1798955.0,0,0,0,0,0,0,0,0,0,64,0,1.1117565475512172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.212.131-10.42.0.42-443-49885-6,10.42.0.42,49885,216.58.212.131,443,6,04/07/2017 03:40:08,7208431,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2774528881527755,7208431.0,0.0,7208431.0,7208431.0,7208431.0,7208431.0,0.0,7208431.0,7208431.0,0,0,0,0,0,0,0,0,0,64,0,0.2774528881527755,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.3-45960-443-6,10.42.0.42,45960,31.13.71.3,443,6,04/07/2017 03:40:33,129301,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,239.7506593143131,30.935568943782336,43100.33333333333,37478.00144529232,69537.0,210.0,0,0,0,0,0,59764.0,29882.0,41962.544822734475,59554.0,210.0,0,0,0,0,32,96,7.733892235945584,23.201676707836754,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,3.0,7.75,0.0,10.333333333333334,32,0,0,0,0,0,0,1,0,3,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.1-41982-443-6,10.42.0.42,41982,31.13.71.1,443,6,04/07/2017 03:40:33,221524,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.028367129520955,221524.0,0.0,221524.0,221524.0,221524.0,221524.0,0.0,221524.0,221524.0,0,0,0,0,0,0,0,0,0,64,0,9.028367129520955,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.0.17-10.42.0.42-443-45935-6,10.42.0.42,45935,157.240.0.17,443,6,04/07/2017 03:40:33,738511,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.708151943572946,738511.0,0.0,738511.0,738511.0,738511.0,738511.0,0.0,738511.0,738511.0,0,0,0,0,0,0,0,0,0,64,0,2.708151943572946,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
