Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.42-10.42.0.42-443-49705-6,10.42.0.42,49705,172.217.11.42,443,6,04/07/2017 07:27:05,37261,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.67542470679799,37261.0,0.0,37261.0,37261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.837712353398995,26.837712353398995,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4440,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.42-443-56168-6,10.42.0.42,56168,172.217.10.106,443,6,04/07/2017 07:27:08,37217,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,832.9526829137222,80.60832415294087,18608.5,26060.42042063021,37036.0,181.0,0,0,0,0,0,181.0,181.0,0.0,181.0,181.0,1,0,0,0,32,64,26.86944138431362,53.73888276862724,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2740,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-42694-6,10.42.0.42,42694,172.217.10.14,443,6,04/07/2017 07:27:10,37084,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.2135691942617,53.931614712544494,37084.0,0.0,37084.0,37084.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.965807356272247,26.965807356272247,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1682,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.42-443-34797-6,10.42.0.42,34797,172.217.10.14,443,6,04/07/2017 07:27:11,36967,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.1765358292531,54.10230746341332,36967.0,0.0,36967.0,36967.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.05115373170666,27.05115373170666,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,498,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.3-59401-443-6,10.42.0.42,59401,31.13.71.3,443,6,04/07/2017 07:27:57,129307,1,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,239.73953459596154,30.9341334962531,43102.33333333333,37599.235954116586,69359.0,30.0,0,0,0,0,0,59948.0,29974.0,42347.210911699956,59918.0,30.0,0,0,0,0,32,96,7.733533374063275,23.200600122189826,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,1,0,0,3.0,7.75,0.0,10.333333333333334,32,0,0,0,0,0,0,1,0,3,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-42745-6,10.42.0.42,42745,157.240.2.20,443,6,04/07/2017 07:27:57,232967,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.584906875222671,232967.0,0.0,232967.0,232967.0,232967.0,232967.0,0.0,232967.0,232967.0,0,0,0,0,0,0,0,0,0,64,0,8.584906875222671,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.69.197-54984-443-6,10.42.0.42,54984,31.13.69.197,443,6,04/07/2017 07:27:57,239860,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.338197281747686,239860.0,0.0,239860.0,239860.0,239860.0,239860.0,0.0,239860.0,239860.0,0,0,0,0,0,0,0,0,0,64,0,8.338197281747686,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-42745-6,10.42.0.42,42745,157.240.2.20,443,6,04/07/2017 07:27:57,969943,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0619768378141807,969943.0,0.0,969943.0,969943.0,969943.0,969943.0,0.0,969943.0,969943.0,0,0,0,0,0,0,0,0,0,64,0,2.0619768378141807,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.69.197-54984-443-6,10.42.0.42,54984,31.13.69.197,443,6,04/07/2017 07:27:57,970681,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0604091354420246,970681.0,0.0,970681.0,970681.0,970681.0,970681.0,0.0,970681.0,970681.0,0,0,0,0,0,0,0,0,0,64,0,2.0604091354420246,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-42745-6,10.42.0.42,42745,157.240.2.20,443,6,04/07/2017 07:28:00,3837609,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5211578355168544,3837609.0,0.0,3837609.0,3837609.0,3837609.0,3837609.0,0.0,3837609.0,3837609.0,0,0,0,0,0,0,0,0,0,64,0,0.5211578355168544,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
