Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.110-10.42.0.42-443-55179-6,10.42.0.42,55179,172.217.10.110,443,6,04/07/2017 08:12:21,37042,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.916797149182,53.99276496949409,37042.0,0.0,37042.0,37042.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.996382484747045,26.996382484747045,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-47993-6,10.42.0.42,47993,208.80.154.224,80,6,04/07/2017 08:12:20,5061089,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7903437382745097,1687029.6666666667,2894686.8234775127,5029492.0,2723.0,31597.0,31597.0,0.0,31597.0,31597.0,5032215.0,5032215.0,0.0,5032215.0,5032215.0,0,0,0,0,72,72,0.3951718691372548,0.3951718691372548,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,57,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-47994-6,10.42.0.42,47994,208.80.154.224,80,6,04/07/2017 08:12:20,5410908,4,4,402.0,490.0,402.0,0.0,100.5,201.0,490.0,0.0,122.5,245.00000000000003,164.85218377396177,1.4784949217395675,772986.8571428572,1866934.5439277752,4997061.0,372.0,413847.0,137949.0,184208.1935175523,350654.0,31287.0,5382269.0,1794089.6666666667,2782981.2630907767,5000043.0,372.0,0,0,0,0,136,136,0.7392474608697838,0.7392474608697838,0.0,490.0,99.11111111111111,197.8941917063538,39162.11111111112,0,0,0,1,0,0,0,0,1.0,111.5,100.5,122.5,136,0,0,0,0,0,0,4,402,4,490,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-47993-6,10.42.0.42,47993,208.80.154.224,80,6,04/07/2017 08:12:25,51079292,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.039154810524781744,5.1079292E7,0.0,5.1079292E7,5.1079292E7,5.1079292E7,5.1079292E7,0.0,5.1079292E7,5.1079292E7,0,0,0,0,0,0,0,0,0,64,0,0.039154810524781744,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-47994-6,208.80.154.224,80,10.42.0.42,47994,6,04/07/2017 08:12:26,50622450,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07901632576060622,1.687415E7,2.9200898380344123E7,5.0592442E7,7610.0,0,0,0,0,0,5.0600052E7,2.5300026E7,3.576887773238227E7,5.0592442E7,7610.0,0,0,0,0,32,108,0.019754081440151554,0.05926224432045466,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,3.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,3,0,59,1386,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.227-10.42.0.42-443-40291-6,10.42.0.42,40291,172.217.9.227,443,6,04/07/2017 08:13:17,132510,7,8,451.0,4761.0,242.0,0.0,64.42857142857142,110.44434064700818,1418.0,0.0,595.125,689.717424022331,39332.88053731794,113.19900384876614,9465.0,15230.340675011937,37075.0,4.0,132510.0,22085.0,19681.27808857951,41667.0,106.0,95750.0,13678.57142857143,23288.57885929741,54413.0,4.0,0,0,0,0,232,264,52.826201796090864,60.372802052675276,0.0,1418.0,325.75,551.8331269505302,304519.8,0,0,0,1,0,0,0,0,1.0,347.46666666666664,64.42857142857143,595.125,232,0,0,0,0,0,0,7,451,8,4761,65535,349,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.227-10.42.0.42-443-40291-6,172.217.9.227,443,10.42.0.42,40291,6,04/07/2017 08:13:17,36805,2,3,34.0,0.0,34.0,0.0,17.0,24.041630560342615,0.0,0.0,0.0,0.0,923.7875288683604,135.8511071865236,9201.25,16827.19236583057,34402.0,71.0,36805.0,36805.0,0.0,36805.0,36805.0,264.0,132.0,86.2670273047588,193.0,71.0,1,0,0,0,64,60,54.34044287460943,81.51066431191414,0.0,34.0,11.333333333333332,17.557524502806956,308.2666666666667,0,1,0,0,1,0,0,0,1.0,13.6,17.0,0.0,64,0,0,0,0,0,0,2,34,3,0,349,0,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.13-10.42.0.42-443-39225-6,172.217.10.13,443,10.42.0.42,39225,6,04/07/2017 08:14:13,26,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,2115384.6153846155,76923.07692307692,26.0,0.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,1,0,0,0,64,0,76923.07692307692,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.13-10.42.0.42-443-39225-6,10.42.0.42,39225,172.217.10.13,443,6,04/07/2017 08:14:13,2850,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,701.7543859649122,2850.0,0.0,2850.0,2850.0,2850.0,2850.0,0.0,2850.0,2850.0,0,0,0,0,0,0,0,0,0,64,0,701.7543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1548,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.227-10.42.0.42-443-40239-6,172.217.9.227,443,10.42.0.42,40239,6,04/07/2017 08:14:14,28,2,0,55.0,0.0,55.0,0.0,27.5,38.890872965260115,0,0,0,0,1964285.7142857143,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,1,0,0,1,0,0,0,0.0,55.0,27.5,0.0,64,0,0,0,0,0,0,2,55,0,0,340,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
