Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.202-10.42.0.42-443-33202-6,10.42.0.42,33202,216.58.219.202,443,6,04/07/2017 09:19:36,37242,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.702808656892756,37242.0,0.0,37242.0,37242.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.851404328446378,26.851404328446378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.244-10.42.0.42-443-51929-6,10.42.0.42,51929,172.217.6.244,443,6,04/07/2017 09:19:40,48,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,645833.3333333334,41666.666666666664,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,0,1,0,0,0,64,0,41666.666666666664,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1639,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.244-10.42.0.42-443-51993-6,10.42.0.42,51993,172.217.6.244,443,6,04/07/2017 09:19:39,375058,11,11,2343.0,1923.0,1368.0,0.0,213.0,419.39289455115954,1418.0,0.0,174.8181818181818,415.0129680339684,11374.24078409206,58.65759429208283,17859.904761904763,31248.679138332816,110405.0,6.0,375058.0,37505.8,57447.54676669066,147958.0,89.0,323987.0,32398.699999999997,50514.21615094551,147588.0,6.0,0,0,0,0,360,360,29.328797146041413,29.328797146041413,0.0,1418.0,185.47826086956522,400.29794239759343,160238.44268774704,0,0,0,1,0,0,0,0,1.0,193.9090909090909,213.0,174.8181818181818,360,0,0,0,0,0,0,11,2343,11,1923,65535,383,6,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.244-10.42.0.42-443-51993-6,10.42.0.42,51993,172.217.6.244,443,6,04/07/2017 09:19:40,36753,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.2519794302506,7350.6,13838.804366707407,32010.0,7.0,2889.0,963.0,1635.099996942083,2851.0,7.0,1854.0,1854.0,0.0,1854.0,1854.0,0,0,0,0,80,64,108.8346529535004,54.4173264767502,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,4,0,2,0,0,383,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.6.244-10.42.0.42-443-51993-6,10.42.0.42,51993,172.217.6.244,443,6,04/07/2017 09:19:40,16785,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.73100983020552,8392.5,11816.461420408395,16748.0,37.0,37.0,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,40,32,119.15400655347035,59.57700327673518,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,1,0,0,383,0,20,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.42-443-56370-6,10.42.0.42,56370,216.58.219.202,443,6,04/07/2017 09:19:41,37714,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,821.9759240600308,79.54605716709976,18857.0,26237.90422270803,37410.0,304.0,0,0,0,0,0,304.0,304.0,0.0,304.0,304.0,1,0,0,0,32,64,26.515352389033254,53.03070477806651,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1657,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-40087-6,10.42.0.42,40087,172.217.9.238,443,6,04/07/2017 09:19:44,36207,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,635.2362802772944,55.2379374154169,36207.0,0.0,36207.0,36207.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.61896870770845,27.61896870770845,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.42-443-53276-6,10.42.0.42,53276,172.217.11.46,443,6,04/07/2017 09:19:45,479059,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.174851114372133,479059.0,0.0,479059.0,479059.0,479059.0,479059.0,0.0,479059.0,479059.0,0,0,0,0,0,0,0,0,0,64,0,4.174851114372133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-39230-6,10.42.0.42,39230,172.217.9.238,443,6,04/07/2017 09:19:46,37009,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.4704531330217,54.04090896808884,37009.0,0.0,37009.0,37009.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.02045448404442,27.02045448404442,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,490,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-41953-6,10.42.0.42,41953,172.217.9.238,443,6,04/07/2017 09:19:47,36778,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.3738648104845,54.380336070476915,36778.0,0.0,36778.0,36778.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.190168035238457,27.190168035238457,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
