Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-13.107.3.128-40007-443-6,10.42.0.211,40007,13.107.3.128,443,6,05/07/2017 11:52:29,16535,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,5140.61082552162,120.95554883580283,16535.0,0.0,16535.0,16535.0,16535.0,16535.0,0.0,16535.0,16535.0,0,0,0,0,0,1,0,0,0,64,0,120.95554883580283,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-13.107.3.128-40007-443-6,13.107.3.128,443,10.42.0.211,40007,6,05/07/2017 11:52:29,16660,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,180.0720288115246,8330.0,11696.960374387869,16601.0,59.0,16660.0,8330.0,11696.960374387869,16601.0,59.0,0,0,0,0,0,0,0,0,0,96,0,180.0720288115246,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1024,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.206-10.42.0.211-443-60775-6,10.42.0.211,60775,216.58.219.206,443,6,05/07/2017 11:52:30,37280,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,831.5450643776824,80.47210300429184,18640.0,26150.2229818409,37131.0,149.0,0,0,0,0,0,149.0,149.0,0.0,149.0,149.0,1,0,0,0,32,64,26.824034334763947,53.648068669527895,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1727,349,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.211-443-36017-6,157.240.2.20,443,10.42.0.211,36017,6,05/07/2017 11:52:30,46,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,913043.4782608695,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,1,0,0,0,64,0,43478.260869565216,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,154,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.211-443-36017-6,157.240.2.20,443,10.42.0.211,36017,6,05/07/2017 11:52:30,92283,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,455.1217450668054,54.18116012700064,23070.75,45489.14442937641,91304.0,198.0,0,0,0,0,0,979.0,326.3333333333333,206.0444935768324,564.0,198.0,0,0,0,0,32,140,10.836232025400127,43.34492810160051,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,154,1809,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.206-10.42.0.211-443-40914-6,10.42.0.211,40914,216.58.219.206,443,6,05/07/2017 11:52:31,300,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,103333.33333333334,6666.666666666667,300.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,0,0,0,0,0,1,0,0,0,64,0,6666.666666666667,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1424,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.206-10.42.0.211-443-40914-6,216.58.219.206,443,10.42.0.211,40914,6,05/07/2017 11:52:31,55,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,64,0,36363.63636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,350,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-37428-6,157.240.2.36,443,10.42.0.211,37428,6,05/07/2017 11:52:38,46,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,913043.4782608695,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,1,0,0,0,64,0,43478.260869565216,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,121,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.36-10.42.0.211-443-37428-6,10.42.0.211,37428,157.240.2.36,443,6,05/07/2017 11:52:38,6397,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,6565.5776145068,468.9698296076286,3198.5,4413.053421385243,6319.0,78.0,6397.0,3198.5,4413.053421385243,6319.0,78.0,0,0,0,0,0,0,0,0,0,96,0,468.9698296076286,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,7700,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.28.54-38628-443-6,10.42.0.211,38628,104.208.28.54,443,6,05/07/2017 11:52:29,11930596,8,6,4357.0,906.0,1428.0,0.0,544.625,574.5917650198021,469.0,0.0,151.0,234.14696239755065,441.13470944787673,1.1734535307372742,917738.1538461536,3163744.789894929,1.1445518E7,528.0,1.187203E7,1696004.2857142857,4300040.444224322,1.1445518E7,528.0,1.1879931E7,2375986.2,5100301.232218907,1.1498549E7,9189.0,1,0,0,0,256,204,0.6705448747070138,0.5029086560302604,0.0,1428.0,384.26666666666665,472.91187138328223,223645.63809523807,0,1,0,0,1,0,0,0,0.0,411.7142857142857,544.625,151.0,256,0,0,0,0,0,0,8,4357,6,906,1550,513,6,32,110351.0,0.0,110351.0,110351.0,1.1445518E7,0.0,1.1445518E7,1.1445518E7,BENIGN
