Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.202-10.42.0.42-443-50717-6,10.42.0.42,50717,172.217.12.202,443,6,05/07/2017 03:29:23,36905,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.19319875355643,36905.0,0.0,36905.0,36905.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.096599376778215,27.096599376778215,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-34714-6,10.42.0.42,34714,172.217.12.202,443,6,05/07/2017 03:29:27,36848,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27702996092054,36848.0,0.0,36848.0,36848.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.13851498046027,27.13851498046027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.42-443-54306-6,10.42.0.42,54306,172.217.12.202,443,6,05/07/2017 03:29:42,36709,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.482551962733936,36709.0,0.0,36709.0,36709.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.241275981366968,27.241275981366968,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4486,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-57011-6,10.42.0.42,57011,172.217.9.238,443,6,05/07/2017 03:29:46,37343,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,615.9119513697347,53.55756098867258,37343.0,0.0,37343.0,37343.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.77878049433629,26.77878049433629,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1470,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.42-443-54691-6,10.42.0.42,54691,172.217.12.195,443,6,05/07/2017 03:29:45,10082804,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3967150407763555,3360934.6666666665,5782710.745283767,1.0038214E7,8185.0,44590.0,44590.0,0.0,44590.0,44590.0,1.0046399E7,1.0046399E7,0.0,1.0046399E7,1.0046399E7,0,0,0,0,72,72,0.19835752038817775,0.19835752038817775,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,332,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.42-443-54691-6,172.217.12.195,443,10.42.0.42,54691,6,05/07/2017 03:29:55,634982,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.149695581922007,634982.0,0.0,634982.0,634982.0,634982.0,634982.0,0.0,634982.0,634982.0,0,0,0,0,0,0,0,0,0,64,0,3.149695581922007,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,332,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.42-443-46354-6,10.42.0.42,46354,216.58.219.227,443,6,05/07/2017 03:29:48,10110507,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39562803329249463,3370169.0,5791175.155961612,1.0057232E7,16587.0,53275.0,53275.0,0.0,53275.0,53275.0,1.0073819E7,1.0073819E7,0.0,1.0073819E7,1.0073819E7,0,0,0,0,72,72,0.19781401664624731,0.19781401664624731,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,332,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.42-443-40336-6,10.42.0.42,40336,172.217.6.238,443,6,05/07/2017 03:29:51,10613260,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5653305393441789,2122652.0,4460244.526020574,1.009853E7,45.0,514730.0,257365.0,363905.4338698448,514685.0,45.0,1.0576544E7,5288272.0,7054173.616649366,1.0276326E7,300218.0,0,0,0,0,116,112,0.28266526967208944,0.28266526967208944,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,116,0,0,0,0,0,0,3,0,3,0,65535,332,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.42-443-40336-6,10.42.0.42,40336,172.217.6.238,443,6,05/07/2017 03:30:02,44807709,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04463517650500721,4.4807709E7,0.0,4.4807709E7,4.4807709E7,4.4807709E7,4.4807709E7,0.0,4.4807709E7,4.4807709E7,0,0,0,0,0,0,0,0,0,64,0,0.04463517650500721,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.42-443-46354-6,216.58.219.227,443,10.42.0.42,46354,6,05/07/2017 03:29:58,48604209,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822973993877773,1.6201403E7,2.795825088873689E7,4.8484802E7,39591.0,0,0,0,0,0,4.8524393E7,2.42621965E7,3.425593721411312E7,4.8484802E7,39591.0,0,0,0,0,32,108,0.020574349846944326,0.06172304954083298,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,3.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,3,0,332,1369,0,32,0,0,0,0,0,0,0,0,BENIGN
