Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-31.13.80.37-56519-443-6,31.13.80.37,443,10.42.0.42,56519,6,05/07/2017 05:24:55,49,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,857142.8571428572,40816.32653061225,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,0,1,0,0,0,64,0,40816.32653061225,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,122,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.80.37-56519-443-6,31.13.80.37,443,10.42.0.42,56519,6,05/07/2017 05:24:55,9117,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,4606.778545574202,548.4260173302622,2279.25,3965.35070958421,8222.0,95.0,0,0,0,0,0,895.0,298.3333333333333,204.50998345639104,504.0,95.0,0,0,0,0,32,140,109.68520346605243,438.7408138642097,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,122,1403,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-38374-6,10.42.0.42,38374,172.217.10.234,443,6,05/07/2017 05:25:09,36793,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.358165955480665,36793.0,0.0,36793.0,36793.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.179082977740332,27.179082977740332,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2080,400,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-53523-6,10.42.0.42,53523,172.217.10.234,443,6,05/07/2017 05:25:15,36509,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.78101290092854,36509.0,0.0,36509.0,36509.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.39050645046427,27.39050645046427,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-56814-6,10.42.0.42,56814,172.217.10.234,443,6,05/07/2017 05:25:16,36581,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.673191000792755,36581.0,0.0,36581.0,36581.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.336595500396378,27.336595500396378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.219.38-38615-12350-6,10.42.0.42,38615,91.190.219.38,12350,6,05/07/2017 05:25:16,3550306,3,1,5.0,5.0,5.0,0.0,1.6666666666666665,2.886751345948129,5.0,5.0,5.0,0.0,2.816658620411874,1.1266634481647497,1183435.3333333333,1921876.7947265331,3402452.0,49757.0,3550306.0,1775153.0,2301348.3158361753,3402452.0,147854.0,0,0,0,0,0,1,0,0,0,96,32,0.8449975861235623,0.28166586204118743,0.0,5.0,3.0,2.7386127875258306,7.5,0,1,0,0,1,0,0,0,0.0,3.75,1.6666666666666667,5.0,96,0,0,0,0,0,0,3,5,1,5,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-34648-6,10.42.0.42,34648,157.56.52.23,40033,6,05/07/2017 05:25:16,3539571,3,2,312.0,4.0,312.0,0.0,104.0,180.13328398716322,4.0,0.0,2.0,2.8284271247461903,89.27635580696078,1.4126005665658352,884892.75,1705393.5564338956,3442378.0,165.0,3539571.0,1769785.5,2365402.997823521,3442378.0,97193.0,165.0,165.0,0.0,165.0,165.0,1,0,0,0,96,64,0.8475603399395011,0.5650402266263341,0.0,312.0,104.66666666666666,160.60718124251687,25794.666666666664,0,1,0,0,1,0,0,0,0.0,125.6,104.0,2.0,96,0,0,0,0,0,0,3,312,2,4,1417,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.122.162.208-44012-443-6,10.42.0.42,44012,40.122.162.208,443,6,05/07/2017 05:25:11,7749813,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,37.033151638626634,0.7742122293789541,1549962.6,3368198.0633961093,7575045.0,9721.0,7749813.0,2583271.0,4323006.324484386,7575045.0,82099.0,59177.0,59177.0,0.0,59177.0,59177.0,1,0,0,0,128,64,0.516141486252636,0.258070743126318,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,509,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-37357-443-6,10.42.0.42,37357,13.107.3.128,443,6,05/07/2017 05:25:19,35432,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.66922555881689,17716.0,25017.437918380052,35406.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,32,64,28.223075186272297,56.446150372544594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1028,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-37358-443-6,10.42.0.42,37358,13.107.3.128,443,6,05/07/2017 05:25:19,35753,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.90904259782396,17876.5,25247.24762226568,35729.0,24.0,0,0,0,0,0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,32,64,27.96968086594132,55.93936173188264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,2093,1024,0,32,0,0,0,0,0,0,0,0,BENIGN
