Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-31.13.71.37-56812-443-6,31.13.71.37,443,10.42.0.42,56812,6,05/07/2017 06:35:53,25,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1680000.0,80000.0,25.0,0.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,1,0,0,0,64,0,80000.0,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-56812-443-6,10.42.0.42,56812,31.13.71.37,443,6,05/07/2017 06:35:53,12014,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,3495.921425004162,249.70867321458297,6007.0,8232.137146573787,11828.0,186.0,12014.0,6007.0,8232.137146573787,11828.0,186.0,0,0,0,0,0,0,0,0,0,96,0,249.70867321458297,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-36516-6,10.42.0.42,36516,172.217.12.138,443,6,05/07/2017 06:35:58,36818,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.32125590743659,36818.0,0.0,36818.0,36818.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.160627953718294,27.160627953718294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-45331-6,10.42.0.42,45331,172.217.12.138,443,6,05/07/2017 06:36:00,37033,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.00588664164393,37033.0,0.0,37033.0,37033.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.002943320821966,27.002943320821966,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-59773-6,10.42.0.42,59773,172.217.12.138,443,6,05/07/2017 06:36:01,37105,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.90109149710282,37105.0,0.0,37105.0,37105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.95054574855141,26.95054574855141,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.42-443-50523-6,10.42.0.42,50523,172.217.10.110,443,6,05/07/2017 06:36:05,36820,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.6605105920695,54.31830526887561,36820.0,0.0,36820.0,36820.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.159152634437806,27.159152634437806,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1470,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-107.21.248.175-45910-443-6,107.21.248.175,443,10.42.0.42,45910,6,05/07/2017 06:36:05,5017831,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.177968130054599,0.5978678835536709,2508915.5,3540365.566568585,5012332.0,5499.0,5017831.0,5017831.0,0.0,5017831.0,5017831.0,0,0,0,0,0,1,0,0,0,64,32,0.3985785890357806,0.1992892945178903,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,126,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-52240-6,10.42.0.42,52240,172.217.12.138,443,6,05/07/2017 06:36:10,36587,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,847.2954874682264,81.99633749692514,18293.5,25834.146250650512,36561.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,1,0,0,0,32,64,27.332112498975043,54.664224997950086,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2470,426,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.23.72.201-43127-443-6,23.23.72.201,443,10.42.0.42,43127,6,05/07/2017 06:36:05,5009586,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.188136105458615,0.5988518811734144,2504793.0,3257461.3358040033,4808166.0,201420.0,5009586.0,5009586.0,0.0,5009586.0,5009586.0,0,0,0,0,0,1,0,0,0,64,32,0.3992345874489429,0.19961729372447146,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-35387-6,10.42.0.42,35387,172.217.12.138,443,6,05/07/2017 06:36:14,36220,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21811154058531,36220.0,0.0,36220.0,36220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.609055770292656,27.609055770292656,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2257,421,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.225-10.42.0.42-443-46623-6,10.42.0.42,46623,172.217.10.225,443,6,05/07/2017 06:36:14,440874,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.536443519009967,440874.0,0.0,440874.0,440874.0,440874.0,440874.0,0.0,440874.0,440874.0,0,0,0,0,0,0,0,0,0,64,0,4.536443519009967,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.129-10.42.0.42-443-43423-6,10.42.0.42,43423,172.217.12.129,443,6,05/07/2017 06:36:14,440671,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.538533282199192,440671.0,0.0,440671.0,440671.0,440671.0,440671.0,0.0,440671.0,440671.0,0,0,0,0,0,0,0,0,0,64,0,4.538533282199192,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.65-10.42.0.42-443-42835-6,10.42.0.42,42835,172.217.10.65,443,6,05/07/2017 06:36:14,440652,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.538728974338026,440652.0,0.0,440652.0,440652.0,440652.0,440652.0,0.0,440652.0,440652.0,0,0,0,0,0,0,0,0,0,64,0,4.538728974338026,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
