Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.20.67-10.42.0.42-443-60978-6,10.42.0.42,60978,172.217.20.67,443,6,05/07/2017 11:12:53,119591,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.723666496642725,119591.0,0.0,119591.0,119591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.361833248321362,8.361833248321362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-49165-6,10.42.0.42,49165,172.217.6.234,443,6,05/07/2017 11:12:53,36779,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.37885750020392,36779.0,0.0,36779.0,36779.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.18942875010196,27.18942875010196,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2135,378,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.227-10.42.0.42-443-50680-6,10.42.0.42,50680,172.217.6.227,443,6,05/07/2017 11:12:53,37684,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.07292219509606,37684.0,0.0,37684.0,37684.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.53646109754803,26.53646109754803,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,357,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-74.125.29.139-51343-443-6,10.42.0.151,51343,74.125.29.139,443,6,05/07/2017 11:12:56,29,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,793103.448275862,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1635,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-74.125.29.139-51343-443-6,10.42.0.151,51343,74.125.29.139,443,6,05/07/2017 11:12:56,565301,2,0,46.0,0.0,23.0,23.0,23.0,0.0,0,0,0,0,81.37257850242614,3.537938195757658,565301.0,0.0,565301.0,565301.0,565301.0,565301.0,0.0,565301.0,565301.0,0,0,0,0,0,1,0,0,0,64,0,3.537938195757658,0.0,23.0,23.0,23.0,0.0,0.0,0,1,0,0,1,1,0,0,0.0,34.5,23.0,0.0,64,0,0,0,0,0,0,2,46,0,0,1635,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-33079-6,10.42.0.42,33079,172.217.10.78,443,6,05/07/2017 11:12:57,88,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,261363.63636363638,22727.272727272728,88.0,0.0,88.0,88.0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,0,1,0,0,0,64,0,22727.272727272728,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2600,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-33079-6,172.217.10.78,443,10.42.0.42,33079,6,05/07/2017 11:12:57,263,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7604.5627376425855,263.0,0.0,263.0,263.0,263.0,263.0,0.0,263.0,263.0,0,0,0,0,0,0,0,0,0,64,0,7604.5627376425855,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,661,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.69.219.199-34240-443-6,10.42.0.42,34240,40.69.219.199,443,6,05/07/2017 11:12:55,3323862,12,6,1391.0,4224.0,885.0,0.0,115.91666666666667,255.45946425761542,1448.0,0.0,704.0,629.0186006788671,1689.2999769545186,5.415387281421431,195521.29411764705,358726.77632300544,1331857.0,11.0,3323862.0,302169.2727272727,413225.5194147842,1331857.0,59.0,1796009.0,359201.8,390450.1590718078,920909.0,11.0,0,0,0,0,392,200,3.610258187614287,1.8051290938071436,0.0,1448.0,295.52631578947376,481.417625170248,231762.9298245614,0,0,0,1,0,0,0,0,0.0,311.94444444444446,115.91666666666667,704.0,392,0,0,0,0,0,0,12,1391,6,4224,65535,510,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.69.219.199-34240-443-6,40.69.219.199,443,10.42.0.42,34240,6,05/07/2017 11:12:58,36275,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,55.13439007580978,36275.0,0.0,36275.0,36275.0,36275.0,36275.0,0.0,36275.0,36275.0,0,0,0,0,0,0,0,0,0,64,0,55.13439007580978,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-51191-6,10.42.0.42,51191,172.217.10.78,443,6,05/07/2017 11:12:59,875,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,35428.57142857143,2285.714285714286,875.0,0.0,875.0,875.0,875.0,875.0,0.0,875.0,875.0,0,0,0,0,0,1,0,0,0,64,0,2285.714285714286,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.175.100-10.42.0.42-443-47265-6,10.42.0.42,47265,173.194.175.100,443,6,05/07/2017 11:13:00,581,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,39586.91910499139,3442.340791738382,581.0,0.0,581.0,581.0,581.0,581.0,0.0,581.0,581.0,0,0,0,0,0,1,0,0,0,64,0,3442.340791738382,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
