Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.138-10.42.0.42-443-47370-6,10.42.0.42,47370,172.217.12.138,443,6,05/07/2017 02:12:15,37481,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36036925375524,37481.0,0.0,37481.0,37481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.68018462687762,26.68018462687762,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8170,527,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-74.125.29.101-46507-443-6,10.42.0.42,46507,74.125.29.101,443,6,05/07/2017 02:12:16,91,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,252747.25274725273,21978.021978021978,91.0,0.0,91.0,91.0,91.0,91.0,0.0,91.0,91.0,0,0,0,0,0,1,0,0,0,64,0,21978.021978021978,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.195-10.42.0.42-443-37876-6,10.42.0.42,37876,216.58.219.195,443,6,05/07/2017 02:12:23,36974,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.092064694109375,36974.0,0.0,36974.0,36974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.046032347054688,27.046032347054688,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,349,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.42-80-58286-6,10.42.0.42,58286,206.126.112.142,80,6,05/07/2017 02:12:12,16231131,1106,7209,0.0,1.0320396E7,0.0,0.0,0.0,0.0,1448.0,0.0,1431.5988347898515,130.5429665863628,635839.6096981781,512.2871597795619,1952.2649747413986,10202.707027580316,273972.0,0.0,1.6231131E7,14688.806334841638,32024.103619589187,357055.0,5.0,1.6093081E7,2232.66939511653,13303.693236534446,358908.0,2.0,0,0,0,0,35692,230688,68.14066130080522,444.1464984787566,0.0,1448.0,1241.028860028861,501.3022719858815,251303.96789820667,0,0,0,0,1,0,0,0,6.0,1241.1781118460613,0.0,1431.598834789846,35692,0,0,0,0,0,0,1106,0,7209,10320396,7643,119,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.42-80-58286-6,206.126.112.142,80,10.42.0.42,58286,6,05/07/2017 02:12:28,74898,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,26.702982723170177,74898.0,0.0,74898.0,74898.0,74898.0,74898.0,0.0,74898.0,74898.0,0,0,0,0,0,0,0,0,0,64,0,26.702982723170177,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,119,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-57905-6,10.42.0.42,57905,172.217.12.138,443,6,05/07/2017 02:12:31,36792,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.5744727114591,54.359643400739294,36792.0,0.0,36792.0,36792.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.179821700369647,27.179821700369647,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1421,455,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.42-443-43992-6,10.42.0.42,43992,172.217.12.142,443,6,05/07/2017 02:12:32,36620,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.614964500273075,36620.0,0.0,36620.0,36620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.307482250136538,27.307482250136538,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,6572,359,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.42-443-37082-6,10.42.0.42,37082,172.217.12.174,443,6,05/07/2017 02:12:33,37167,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.8285306858235,53.81117658137595,37167.0,0.0,37167.0,37167.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.905588290687977,26.905588290687977,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-44179-6,10.42.0.42,44179,172.217.12.138,443,6,05/07/2017 02:12:34,37041,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.99422261817986,37041.0,0.0,37041.0,37041.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.99711130908993,26.99711130908993,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.209.99-10.42.0.42-443-34139-6,10.42.0.42,34139,216.58.209.99,443,6,05/07/2017 02:12:14,22458579,11,14,824.0,4853.0,368.0,0.0,74.90909090909092,121.59807115695095,1418.0,0.0,346.6428571428571,570.0026460320306,252.77645571431745,1.1131603651326292,935774.125,3676665.4443053044,1.7954705E7,7.0,2.2458579E7,2245857.9,5656825.79778268,1.8135373E7,29258.0,4362556.0,335581.23076923075,874697.9136378221,3202494.0,7.0,0,0,0,0,360,456,0.48979056065835685,0.6233698044742724,0.0,1418.0,218.3461538461538,441.63477601363695,195041.2753846153,0,0,0,1,0,0,0,0,1.0,227.08,74.9090909090909,346.64285714285717,360,0,0,0,0,0,0,11,824,14,4853,65535,349,5,32,0,0,0,0,0,0,0,0,BENIGN
