Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.202-10.42.0.42-443-46258-6,10.42.0.42,46258,216.58.219.202,443,6,05/07/2017 06:01:45,37199,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.76488615285357,37199.0,0.0,37199.0,37199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.882443076426785,26.882443076426785,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-52129-6,10.42.0.42,52129,172.217.10.238,443,6,05/07/2017 06:01:49,221799,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.017173206371535,221799.0,0.0,221799.0,221799.0,221799.0,221799.0,0.0,221799.0,221799.0,0,0,0,0,0,0,0,0,0,64,0,9.017173206371535,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.225-10.42.0.42-443-57220-6,10.42.0.42,57220,172.217.6.225,443,6,05/07/2017 06:01:49,543173,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.6820681440351417,543173.0,0.0,543173.0,543173.0,543173.0,543173.0,0.0,543173.0,543173.0,0,0,0,0,0,0,0,0,0,64,0,3.6820681440351417,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-80-56361-6,10.42.0.42,56361,151.101.21.140,80,6,05/07/2017 06:01:49,560081,3,4,399.0,356.0,399.0,0.0,133.0,230.36275740666068,356.0,0.0,89.0,178.0,1348.0193043506206,12.498192225767344,93346.83333333334,145089.27744449853,368205.0,12.0,536090.0,268045.0,141647.6304072892,368205.0,167885.0,536543.0,178847.6666666667,309695.3049536485,536453.0,12.0,0,0,0,0,104,136,5.356368096757433,7.14182412900991,0.0,399.0,94.375,175.12602604981362,30669.125,0,0,0,1,0,0,0,0,1.0,107.85714285714286,133.0,89.0,104,0,0,0,0,0,0,3,399,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-80-56361-6,10.42.0.42,56361,151.101.21.140,80,6,05/07/2017 06:01:49,138114,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14.480791230432832,138114.0,0.0,138114.0,138114.0,138114.0,138114.0,0.0,138114.0,138114.0,0,0,0,0,0,0,0,0,0,64,0,14.480791230432832,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-76.13.28.198-35075-443-6,10.42.0.42,35075,76.13.28.198,443,6,05/07/2017 06:01:49,25254,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.19537499010059,25254.0,0.0,25254.0,25254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,39.597687495050295,39.597687495050295,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1731,61,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.42-443-53211-6,10.42.0.42,53211,216.58.219.202,443,6,05/07/2017 06:01:50,37696,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,822.3684210526316,79.58404074702887,18848.0,26626.812952360633,37676.0,20.0,0,0,0,0,0,20.0,20.0,0.0,20.0,20.0,1,0,0,0,32,64,26.528013582342954,53.05602716468591,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2740,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-52129-6,10.42.0.42,52129,172.217.10.238,443,6,05/07/2017 06:01:49,1034133,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.9339872144105257,1034133.0,0.0,1034133.0,1034133.0,1034133.0,1034133.0,0.0,1034133.0,1034133.0,0,0,0,0,0,0,0,0,0,64,0,1.9339872144105257,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.225-10.42.0.42-443-57220-6,10.42.0.42,57220,172.217.6.225,443,6,05/07/2017 06:01:50,2047000,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9770395701025891,2047000.0,0.0,2047000.0,2047000.0,2047000.0,2047000.0,0.0,2047000.0,2047000.0,0,0,0,0,0,0,0,0,0,64,0,0.9770395701025891,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-52129-6,10.42.0.42,52129,172.217.10.238,443,6,05/07/2017 06:01:52,4176530,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.47886642739307517,4176530.0,0.0,4176530.0,4176530.0,4176530.0,4176530.0,0.0,4176530.0,4176530.0,0,0,0,0,0,0,0,0,0,64,0,0.47886642739307517,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-34621-6,10.42.0.42,34621,151.101.21.140,443,6,05/07/2017 06:01:57,167411,7,5,338.0,3866.0,212.0,0.0,48.28571428571428,86.11951827879338,1448.0,0.0,773.2,666.6567332593289,25111.850475775187,71.67987766634211,15219.18181818182,21279.062520788746,70972.0,5.0,167411.0,27901.833333333332,26111.76862195793,70972.0,6.0,143278.0,35819.5,49950.31497731854,106145.0,5.0,0,0,0,0,232,168,41.8132619720329,29.866615694309214,0.0,1448.0,323.3846153846154,537.6048019474185,289018.92307692306,0,0,0,1,0,0,0,0,0.0,350.3333333333333,48.285714285714285,773.2,232,0,0,0,0,0,0,7,338,5,3866,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-34621-6,10.42.0.42,34621,151.101.21.140,443,6,05/07/2017 06:01:57,16294,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1902.540812569044,184.1168528292623,8147.0,11481.999912907158,16266.0,28.0,0,0,0,0,0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,20,64,61.37228427642077,122.74456855284154,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,0,0,0,0,2.0,10.333333333333334,0.0,15.5,20,0,0,0,0,0,0,1,0,2,31,0,59,0,20,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-34623-6,10.42.0.42,34623,151.101.21.140,443,6,05/07/2017 06:01:57,150067,7,5,331.0,3866.0,205.0,0.0,47.285714285714285,83.91407169582125,1448.0,0.0,773.2,666.6567332593289,27967.50784649523,79.96428262042954,13642.454545454546,15227.179130512888,40296.0,11.0,150067.0,25011.166666666668,13457.113678893653,40296.0,64.0,125675.0,31418.75,36356.625204355805,67253.0,11.0,0,0,0,0,232,168,46.6458315285839,33.31845109184564,0.0,1448.0,322.84615384615387,537.7291521069329,289152.64102564106,0,0,0,1,0,0,0,0,0.0,349.75,47.285714285714285,773.2,232,0,0,0,0,0,0,7,331,5,3866,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-34623-6,10.42.0.42,34623,151.101.21.140,443,6,05/07/2017 06:01:57,21747,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1425.483974801122,137.95006207752795,10873.5,15340.681617842149,21721.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,20,64,45.983354025842644,91.96670805168529,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,0,0,0,0,2.0,10.333333333333334,0.0,15.5,20,0,0,0,0,0,0,1,0,2,31,0,59,0,20,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-80-56362-6,10.42.0.42,56362,151.101.21.140,80,6,05/07/2017 06:01:49,10203642,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39201688965567394,3401214.0,5750981.264990175,1.0041546E7,23788.0,1.0203642E7,5101821.0,6985826.089393437,1.0041546E7,162096.0,0,0,0,0,0,0,0,0,0,104,40,0.29401266724175545,0.09800422241391848,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28960,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-34628-6,10.42.0.42,34628,151.101.21.140,443,6,05/07/2017 06:02:01,89153,7,4,333.0,3608.0,207.0,0.0,47.57142857142857,84.54162119504046,1448.0,0.0,902.0,694.2468341063333,44204.90617253486,123.38339708142183,8915.3,10303.495545471718,25055.0,11.0,89153.0,14858.833333333334,11513.983366614122,27552.0,832.0,32033.0,10677.666666666668,18343.730191357845,31859.0,11.0,0,0,0,0,232,136,78.51670723363208,44.86668984778976,0.0,1448.0,328.41666666666663,561.2313505034076,314980.6287878787,0,0,0,1,0,0,0,0,0.0,358.27272727272725,47.57142857142857,902.0,232,0,0,0,0,0,0,7,333,4,3608,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-34628-6,151.101.21.140,443,10.42.0.42,34628,6,05/07/2017 06:02:01,20913,3,1,289.0,0.0,258.0,0.0,96.33333333333334,140.8628174265066,0.0,0.0,0.0,0.0,13819.155549179935,191.26858891598528,6971.0,10080.30019394264,18533.0,27.0,20913.0,10456.5,14749.540348770195,20886.0,27.0,0,0,0,0,0,1,0,0,0,96,20,143.45144168698894,47.81714722899632,0.0,258.0,109.4,136.24169699471597,18561.8,0,1,0,0,1,0,0,0,0.0,136.75,96.33333333333333,0.0,96,0,0,0,0,0,0,3,289,1,0,59,0,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-74.217.63.59-54962-443-6,10.42.0.42,54962,74.217.63.59,443,6,05/07/2017 06:02:02,202789,9,10,700.0,8592.0,365.0,0.0,77.77777777777777,131.4997887619765,1460.0,0.0,859.2,682.9362748862851,45821.02579528475,93.69344491072,11266.055555555553,16401.5674447228,41343.0,3.0,161401.0,20175.125,26426.213038450504,71818.0,57.0,172454.0,19161.555555555555,30655.616178406493,83320.0,3.0,0,0,0,0,200,212,44.38110548402527,49.31233942669474,0.0,1460.0,464.6,626.4176679635099,392399.0947368421,0,0,0,1,0,0,0,0,1.0,489.05263157894734,77.77777777777777,859.2,200,0,0,0,0,0,0,9,700,10,8592,65535,131,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-74.217.63.59-54962-443-6,10.42.0.42,54962,74.217.63.59,443,6,05/07/2017 06:02:02,6586,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,455.51169146674766,3293.0,2559.7265478953022,5103.0,1483.0,6586.0,3293.0,2559.7265478953022,5103.0,1483.0,0,0,0,0,0,0,0,0,0,60,0,455.51169146674766,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,1597,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-74.217.63.59-54967-443-6,10.42.0.42,54967,74.217.63.59,443,6,05/07/2017 06:02:03,168640,8,7,975.0,3637.0,641.0,0.0,121.875,223.98752356835797,1460.0,0.0,519.5714285714286,654.2180719869223,27348.19734345351,88.94686907020872,12045.714285714288,14044.54965966717,35795.0,12.0,137688.0,19669.714285714286,21258.446656284537,49086.0,68.0,137957.0,22992.833333333332,24800.155519001622,48587.0,12.0,0,0,0,0,180,152,47.43833017077799,41.50853889943074,0.0,1460.0,288.25,489.7823326063664,239886.73333333337,0,0,0,1,0,0,0,0,0.0,307.46666666666664,121.875,519.5714285714286,180,0,0,0,0,0,0,8,975,7,3637,65535,133,3,20,0,0,0,0,0,0,0,0,BENIGN
