Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.7.10-10.42.0.42-443-52062-6,10.42.0.42,52062,172.217.7.10,443,6,05/07/2017 08:14:37,36837,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.29323777723484,36837.0,0.0,36837.0,36837.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14661888861742,27.14661888861742,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-50167-6,10.42.0.42,50167,206.126.112.141,443,6,05/07/2017 08:14:37,310203,138,535,798.0,770708.0,641.0,0.0,5.782608695652173,55.572894081995464,1448.0,0.0,1440.5757009345803,99.28635509135245,2487100.38265265,2169.547038552174,461.61160714285717,2550.9784843204125,55358.0,0.0,310203.0,2264.2554744525555,7574.592673021702,81012.0,4.0,233733.0,437.70224719101077,2950.2177359965385,60753.0,2.0,1,0,0,0,4416,17120,444.86997224398215,1724.6770663081918,0.0,1448.0,1144.8545994065278,587.8467289583365,345563.77674701595,0,1,0,0,1,0,0,0,3.0,1146.555720653789,5.782608695652174,1440.5757009345793,4416,0,0,0,0,0,0,138,798,535,770708,1505,123,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-34753-443-6,31.13.71.37,443,10.42.0.42,34753,6,05/07/2017 08:14:39,27,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1555555.5555555555,74074.07407407407,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,0,1,0,0,0,64,0,74074.07407407407,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-34753-443-6,31.13.71.37,443,10.42.0.42,34753,6,05/07/2017 08:14:39,34664,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,1211.631663974152,144.2418647588276,8666.0,16842.09854303594,33928.0,72.0,0,0,0,0,0,736.0,245.33333333333331,196.627397209375,459.0,72.0,0,0,0,0,32,140,28.84837295176552,115.39349180706208,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,133,1678,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-60267-443-6,10.42.0.42,60267,13.107.3.128,443,6,05/07/2017 08:14:39,35648,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.15619389587074,17824.0,25170.172983116347,35622.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,32,64,28.052064631956913,56.104129263913826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.52.108.74-47602-443-6,10.42.0.42,47602,65.52.108.74,443,6,05/07/2017 08:14:39,50113,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.86470576497117,25056.5,35395.64414585501,50085.0,28.0,0,0,0,0,0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,32,64,19.954901921657054,39.90980384331411,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.101.116.26-38764-443-6,10.42.0.42,38764,23.101.116.26,443,6,05/07/2017 08:14:39,49515,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3918004645057,49515.0,0.0,49515.0,49515.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.19590023225285,20.19590023225285,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.43.254.159-40697-443-6,10.42.0.42,40697,104.43.254.159,443,6,05/07/2017 08:14:39,49580,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.338846308995564,49580.0,0.0,49580.0,49580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.169423154497782,20.169423154497782,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.208.28.54-59902-443-6,10.42.0.42,59902,104.208.28.54,443,6,05/07/2017 08:14:39,60170,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.239155725444576,60170.0,0.0,60170.0,60170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.619577862722288,16.619577862722288,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,513,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-45434-6,10.42.0.42,45434,157.56.52.23,40033,6,05/07/2017 08:14:39,84434,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68714025155743,84434.0,0.0,84434.0,84434.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.843570125778715,11.843570125778715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1419,35,0,32,0,0,0,0,0,0,0,0,BENIGN
