Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.234-10.42.0.42-443-35740-6,10.42.0.42,35740,172.217.10.234,443,6,05/07/2017 11:05:57,37161,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.819864912139074,37161.0,0.0,37161.0,37161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.909932456069537,26.909932456069537,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5841,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-49865-6,10.42.0.42,49865,172.217.10.234,443,6,05/07/2017 11:06:04,36639,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58664264854391,36639.0,0.0,36639.0,36639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.293321324271954,27.293321324271954,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-69.164.18.106-33868-80-6,69.164.18.106,80,10.42.0.42,33868,6,05/07/2017 11:06:03,2102886,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4266108576499155,1051443.0,1368195.0530534745,2018903.0,83983.0,0,0,0,0,0,2018903.0,2018903.0,0.0,2018903.0,2018903.0,0,0,0,0,32,64,0.47553695254997186,0.9510739050999437,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,4163,2500,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.129-10.42.0.42-443-55731-6,10.42.0.42,55731,172.217.10.129,443,6,05/07/2017 11:06:05,267692,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.471272955486156,267692.0,0.0,267692.0,267692.0,267692.0,267692.0,0.0,267692.0,267692.0,0,0,0,0,0,0,0,0,0,64,0,7.471272955486156,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.225-10.42.0.42-443-37991-6,10.42.0.42,37991,172.217.6.225,443,6,05/07/2017 11:06:05,507760,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.9388687568930205,507760.0,0.0,507760.0,507760.0,507760.0,507760.0,0.0,507760.0,507760.0,0,0,0,0,0,0,0,0,0,64,0,3.9388687568930205,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.17.35-10.42.0.42-443-36122-6,10.42.0.42,36122,172.217.17.35,443,6,05/07/2017 11:06:05,664698,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.0088852381081335,664698.0,0.0,664698.0,664698.0,664698.0,664698.0,0.0,664698.0,664698.0,0,0,0,0,0,0,0,0,0,64,0,3.0088852381081335,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.42-80-57032-6,10.42.0.42,57032,180.149.134.142,80,6,05/07/2017 11:06:05,704914,3,4,398.0,470.0,398.0,0.0,132.66666666666666,229.78540713747105,470.0,0.0,117.5,235.0,1231.355881710393,9.930289368632202,117485.66666666666,127768.39733465655,237784.0,15.0,466758.0,233379.0,9415.833898280067,240037.0,226721.0,467234.0,155744.6666666667,269435.5684877803,466862.0,15.0,0,0,0,0,80,92,4.255838300842372,5.674451067789829,0.0,470.0,108.5,201.8224113280924,40732.28571428572,0,0,0,1,0,0,0,0,1.0,124.0,132.66666666666666,117.5,80,0,0,0,0,0,0,3,398,4,470,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.134.142-10.42.0.42-80-57032-6,10.42.0.42,57032,180.149.134.142,80,6,05/07/2017 11:06:06,15227,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,131.34563604124253,15227.0,0.0,15227.0,15227.0,15227.0,15227.0,0.0,15227.0,15227.0,0,0,0,0,0,0,0,0,0,40,0,131.34563604124253,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-114.134.80.163-37020-80-6,10.42.0.42,37020,114.134.80.163,80,6,05/07/2017 11:06:06,483049,3,4,414.0,498.0,414.0,0.0,138.0,239.02301144450507,498.0,0.0,124.5,249.0,1888.0072207995463,14.491283492978972,80508.16666666667,121958.95712151144,237921.0,10.0,245090.0,122545.0,172898.92170860985,244803.0,287.0,245130.0,81710.0,141492.96280734247,245092.0,10.0,0,0,0,0,80,92,6.21055006841956,8.280733424559413,0.0,498.0,114.0,212.27744648387468,45061.71428571428,0,0,0,1,0,0,0,0,1.0,130.28571428571428,138.0,124.5,80,0,0,0,0,0,0,3,414,4,498,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-114.134.80.163-37020-80-6,10.42.0.42,37020,114.134.80.163,80,6,05/07/2017 11:06:07,22291,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,89.72230945224531,22291.0,0.0,22291.0,22291.0,22291.0,22291.0,0.0,22291.0,22291.0,0,0,0,0,0,0,0,0,0,40,0,89.72230945224531,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
