Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
223.165.25.68-10.42.0.211-80-57878-6,10.42.0.211,57878,223.165.25.68,80,6,06/07/2017 06:23:04,274250,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.292616226071103,274250.0,0.0,274250.0,274250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.6463081130355515,3.6463081130355515,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,65535,8190,0,20,0,0,0,0,0,0,0,0,BENIGN
223.165.25.85-10.42.0.211-80-54852-6,10.42.0.211,54852,223.165.25.85,80,6,06/07/2017 06:23:04,267119,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4872996679382595,267119.0,0.0,267119.0,267119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.7436498339691298,3.7436498339691298,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,65535,8190,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.211-443-38207-6,10.42.0.211,38207,172.217.10.142,443,6,06/07/2017 06:23:06,427466,9,11,1246.0,5869.0,821.0,0.0,138.44444444444446,266.12126517393864,1418.0,0.0,533.5454545454545,655.0750130536752,16644.59863474522,46.787346829923315,22498.21052631579,35647.01620142038,136075.0,9.0,374389.0,46798.625,84519.12653178824,251507.0,172.0,390890.0,39089.0,55101.60699007687,172810.0,9.0,0,0,0,0,308,372,21.05430607346549,25.73304075645782,0.0,1418.0,338.80952380952385,536.2390902431133,287552.36190476187,0,0,0,1,0,0,0,0,1.0,355.75,138.44444444444446,533.5454545454545,308,0,0,0,0,0,0,9,1246,11,5869,65535,353,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.211-443-38207-6,10.42.0.211,38207,172.217.10.142,443,6,06/07/2017 06:23:06,110,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,209090.9090909091,18181.81818181818,110.0,0.0,110.0,110.0,110.0,110.0,0.0,110.0,110.0,0,0,0,0,0,1,0,0,0,64,0,18181.81818181818,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1594,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-37189-443-6,10.42.0.211,37189,74.6.105.9,443,6,06/07/2017 06:23:10,443127,8,9,1947.0,5603.0,1304.0,0.0,243.375,464.4089753962249,1448.0,0.0,622.5555555555555,668.7217491436761,17038.004906042737,38.363719655990266,27695.437500000004,74088.64648781103,302656.0,5.0,416079.0,59439.85714285715,108169.322945446,302656.0,1335.0,417941.0,52242.625,114631.45374626522,332739.0,5.0,0,0,0,0,264,296,18.053515132230714,20.310204523759555,0.0,1448.0,419.44444444444446,588.240869254626,346027.3202614379,0,0,0,1,0,0,0,0,1.0,444.11764705882354,243.375,622.5555555555555,264,0,0,0,0,0,0,8,1947,9,5603,65535,142,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-37189-443-6,10.42.0.211,37189,74.6.105.9,443,6,06/07/2017 06:23:10,316,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,98101.26582278482,6329.113924050634,316.0,0.0,316.0,316.0,316.0,316.0,0.0,316.0,316.0,0,0,0,0,0,1,0,0,0,64,0,6329.113924050634,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.211-443-41479-6,10.42.0.211,41479,172.217.10.142,443,6,06/07/2017 06:23:12,224602,6,7,1313.0,310.0,753.0,0.0,218.83333333333331,331.3061524733078,171.0,0.0,44.285714285714285,76.19430049925931,7226.115528802059,57.88016135208057,18716.833333333332,23873.808755939037,76319.0,41.0,164625.0,32925.0,34143.75552718242,83349.0,498.0,187902.0,31316.999999999996,30304.005550421876,79773.0,41.0,0,0,0,0,200,232,26.713920624037186,31.166240728043384,0.0,753.0,115.92857142857142,231.47635343119217,53581.30219780219,0,0,0,1,0,0,0,0,1.0,124.84615384615384,218.83333333333334,44.285714285714285,200,0,0,0,0,0,0,6,1313,7,310,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.211-443-41479-6,10.42.0.211,41479,172.217.10.142,443,6,06/07/2017 06:23:12,2369,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,9708.73786407767,844.2380751371887,2369.0,0.0,2369.0,2369.0,2369.0,2369.0,0.0,2369.0,2369.0,0,0,0,0,0,1,0,0,0,64,0,844.2380751371887,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1403,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.211-443-47406-6,10.42.0.211,47406,172.217.9.238,443,6,06/07/2017 06:23:13,96,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,239583.3333333333,20833.333333333332,96.0,0.0,96.0,96.0,96.0,96.0,0.0,96.0,96.0,0,0,0,0,0,1,0,0,0,64,0,20833.333333333332,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1587,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.211-443-47406-6,172.217.9.238,443,10.42.0.211,47406,6,06/07/2017 06:23:13,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,0,0,0,0,64,0,43478.260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,575,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
