Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.211-443-49218-6,10.42.0.211,49218,172.217.12.170,443,6,06/07/2017 07:47:32,36872,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.24170101974398,36872.0,0.0,36872.0,36872.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.12085050987199,27.12085050987199,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,358,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.211-443-46635-6,10.42.0.211,46635,172.217.7.14,443,6,06/07/2017 07:47:35,37110,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.89382915656158,37110.0,0.0,37110.0,37110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.94691457828079,26.94691457828079,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.211-443-42785-6,10.42.0.211,42785,172.217.7.14,443,6,06/07/2017 07:47:35,36732,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.44843732984863,36732.0,0.0,36732.0,36732.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.224218664924315,27.224218664924315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-40.117.145.132-48824-443-6,10.42.0.211,48824,40.117.145.132,443,6,06/07/2017 07:47:36,46672,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85224545766199,46672.0,0.0,46672.0,46672.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.426122728830993,21.426122728830993,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1686,513,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-55447-443-6,10.42.0.211,55447,65.52.108.74,443,6,06/07/2017 07:47:36,49994,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.007200864103694,24997.0,35301.5989439572,49959.0,35.0,0,0,0,0,0,35.0,35.0,0.0,35.0,35.0,0,0,0,0,32,64,20.002400288034565,40.00480057606913,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.43.254.159-56647-443-6,10.42.0.211,56647,104.43.254.159,443,6,06/07/2017 07:47:36,49542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.36978725122118,49542.0,0.0,49542.0,49542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.18489362561059,20.18489362561059,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.218.59-57924-12350-6,10.42.0.211,57924,91.190.218.59,12350,6,06/07/2017 07:47:36,98260,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35416242621616,98260.0,0.0,98260.0,98260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.17708121310808,10.17708121310808,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.153.195-38110-443-6,10.42.0.211,38110,52.179.153.195,443,6,06/07/2017 07:47:36,157223,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.081177690287046,78611.5,8278.099087350913,84465.0,72758.0,0,0,0,0,0,84465.0,84465.0,0.0,84465.0,84465.0,0,0,0,0,32,64,6.360392563429015,12.72078512685803,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-111.221.77.148-56275-40010-6,10.42.0.211,56275,111.221.77.148,40010,6,06/07/2017 07:47:36,230609,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.672688403314702,230609.0,0.0,230609.0,230609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.336344201657351,4.336344201657351,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1418,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-53717-443-6,10.42.0.211,53717,74.6.105.9,443,6,06/07/2017 07:47:42,183225,6,7,1737.0,315.0,1169.0,0.0,289.5,476.1490312916745,178.0,0.0,45.0,77.7581721321517,11199.34506753991,70.95101650975576,15268.749999999998,23388.101703546923,81824.0,48.0,156207.0,31241.4,35629.42204555106,88564.0,73.0,157901.0,26316.833333333332,35947.693797609136,92734.0,48.0,0,0,0,0,200,232,32.74662300450266,38.2043935052531,0.0,1169.0,146.57142857142858,326.53653683793164,106626.10989010989,0,0,0,1,0,0,0,0,1.0,157.84615384615384,289.5,45.0,200,0,0,0,0,0,0,6,1737,7,315,65535,141,3,32,0,0,0,0,0,0,0,0,BENIGN
