Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-31.13.71.3-42074-443-6,10.42.0.211,42074,31.13.71.3,443,6,06/07/2017 02:19:46,35719,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,867.8854391220359,83.98891346342283,17859.5,25240.176554453814,35707.0,12.0,0,0,0,0,0,12.0,12.0,0.0,12.0,12.0,0,0,0,0,32,64,27.99630448780761,55.99260897561522,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.15-10.42.0.211-443-38832-6,10.42.0.211,38832,157.240.18.15,443,6,06/07/2017 02:19:46,244457,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.18139795546865,244457.0,0.0,244457.0,244457.0,244457.0,244457.0,0.0,244457.0,244457.0,0,0,0,0,0,0,0,0,0,64,0,8.18139795546865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.15-10.42.0.211-443-38832-6,10.42.0.211,38832,157.240.18.15,443,6,06/07/2017 02:19:46,999678,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.000644207434794,999678.0,0.0,999678.0,999678.0,999678.0,999678.0,0.0,999678.0,999678.0,0,0,0,0,0,0,0,0,0,64,0,2.000644207434794,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.15-10.42.0.211-443-38832-6,10.42.0.211,38832,157.240.18.15,443,6,06/07/2017 02:19:49,4001237,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4998454228029982,4001237.0,0.0,4001237.0,4001237.0,4001237.0,4001237.0,0.0,4001237.0,4001237.0,0,0,0,0,0,0,0,0,0,64,0,0.4998454228029982,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.189.2-10.42.0.211-443-53739-6,10.42.0.211,53739,198.11.189.2,443,6,06/07/2017 02:19:59,5810318,9,9,1177.0,3809.0,839.0,0.0,130.77777777777777,276.318556098653,1280.0,0.0,423.2222222222222,525.6388441167989,858.1285912406172,3.097937152493203,341783.4117647059,1203867.517824016,4998619.0,3.0,811400.0,101425.0,130679.26462253189,290419.0,9.0,5586813.0,698351.625,1743150.888062758,5001019.0,3.0,0,0,0,0,200,200,1.5489685762466014,1.5489685762466014,0.0,1280.0,262.42105263157896,426.79247048828904,182151.81286549705,0,0,0,1,0,0,0,0,1.0,277.0,130.77777777777777,423.22222222222223,200,0,0,0,0,0,0,9,1177,9,3809,65535,16780,3,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.211-443-58451-6,10.42.0.211,58451,172.217.10.14,443,6,06/07/2017 02:20:09,37030,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.1180124223603,54.01026194977045,37030.0,0.0,37030.0,37030.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.005130974885226,27.005130974885226,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.211-443-40272-6,10.42.0.211,40272,172.217.10.14,443,6,06/07/2017 02:20:10,37140,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.2784060312332,53.85029617662897,37140.0,0.0,37140.0,37140.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.925148088314486,26.925148088314486,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.189.2-10.42.0.211-443-53739-6,10.42.0.211,53739,198.11.189.2,443,6,06/07/2017 02:20:05,5573900,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3588151922352392,5573900.0,0.0,5573900.0,5573900.0,5573900.0,5573900.0,0.0,5573900.0,5573900.0,0,0,0,0,0,0,0,0,0,40,0,0.3588151922352392,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58239-6,10.42.0.211,58239,205.204.101.182,443,6,06/07/2017 02:20:01,10985575,17,14,4992.0,5638.0,808.0,0.0,293.6470588235294,372.0021742504455,1452.0,0.0,402.7142857142857,478.7770363639536,967.632554508981,2.821882332058176,366185.8333333333,1052922.8667130922,4992399.0,15.0,5993161.0,374572.56250000006,775601.2849354981,2952774.0,93.0,1.0898232E7,838325.5384615385,1530790.3559682067,5000549.0,15.0,0,0,0,0,360,300,1.547483859515774,1.274398472542402,0.0,1452.0,332.18750000000006,417.3403838208591,174172.99596774197,0,0,0,1,0,0,0,0,0.0,342.9032258064516,293.6470588235294,402.7142857142857,360,0,0,0,0,0,0,17,4992,14,5638,65535,24240,8,20,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58240-6,10.42.0.211,58240,205.204.101.182,443,6,06/07/2017 02:20:01,10907331,7,8,1411.0,584.0,843.0,0.0,201.57142857142856,340.61750647065355,401.0,0.0,73.0,142.54523091686673,182.90450706960303,1.375221857666188,779095.0714285715,1782094.974902959,4994979.0,7.0,5954163.0,992360.5,2030665.3945676773,5121708.0,1141.0,1.0819497E7,1545642.4285714286,2397870.0973705016,5082957.0,7.0,0,0,0,0,160,180,0.6417702002442212,0.7334516574219669,0.0,843.0,124.6875,247.20483240961667,61110.229166666664,0,0,0,1,0,0,0,0,1.0,133.0,201.57142857142858,73.0,160,0,0,0,0,0,0,7,1411,8,584,65535,16860,3,20,0,0,0,0,0,0,0,0,BENIGN
