Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
151.101.1.140-10.42.0.211-80-56212-6,10.42.0.211,56212,151.101.1.140,80,6,06/07/2017 08:05:04,34743,3,4,369.0,356.0,369.0,0.0,123.0,213.0422493309719,356.0,0.0,89.0,178.0,20867.51288029243,201.47943470627175,5790.5,7494.928331878831,15398.0,23.0,19092.0,9546.0,12406.895582699162,18319.0,773.0,19345.0,6448.333333333334,10912.35310706785,19048.0,23.0,0,0,0,0,104,136,86.34832915983075,115.131105546441,0.0,369.0,90.625,167.8408578726544,28170.55357142857,0,0,0,1,0,0,0,0,1.0,103.57142857142857,123.0,89.0,104,0,0,0,0,0,0,3,369,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.211-80-56212-6,10.42.0.211,56212,151.101.1.140,80,6,06/07/2017 08:05:04,20010,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,99.95002498750625,20010.0,0.0,20010.0,20010.0,20010.0,20010.0,0.0,20010.0,20010.0,0,0,0,0,0,0,0,0,0,64,0,99.95002498750625,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.148.114.189-37432-443-6,54.148.114.189,443,10.42.0.211,37432,6,06/07/2017 08:05:10,61,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,508196.72131147544,32786.88524590164,61.0,0.0,61.0,61.0,61.0,61.0,0.0,61.0,61.0,0,0,0,0,0,1,0,0,0,64,0,32786.88524590164,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,136,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-58635-6,10.42.0.211,58635,172.217.10.42,443,6,06/07/2017 08:05:10,36539,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73603546895098,36539.0,0.0,36539.0,36539.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.36801773447549,27.36801773447549,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,349,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-107.22.253.183-32906-443-6,107.22.253.183,443,10.42.0.211,32906,6,06/07/2017 08:05:12,5000054,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.19993304072316,0.5999935200699832,2500027.0,3527249.4428843562,4994169.0,5885.0,5000054.0,5000054.0,0.0,5000054.0,5000054.0,0,0,0,0,0,1,0,0,0,64,32,0.3999956800466555,0.19999784002332774,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,122,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-107.22.253.183-34924-443-6,107.22.253.183,443,10.42.0.211,34924,6,06/07/2017 08:05:13,4999075,3,2,62.0,0.0,31.0,0.0,20.666666666666664,17.8978583448784,0.0,0.0,0.0,0.0,12.402294424468526,1.0001850342313328,1249768.75,2278080.638477543,4663042.0,116.0,4999075.0,2499537.5,3169831.713731898,4740947.0,258128.0,116.0,116.0,0.0,116.0,116.0,1,0,0,0,96,76,0.6001110205387996,0.4000740136925331,0.0,31.0,15.500000000000002,16.97939928266015,288.3,0,1,0,0,1,0,0,0,0.0,18.6,20.666666666666668,0.0,96,0,0,0,0,0,0,3,62,2,0,126,1641,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-33462-6,10.42.0.211,33462,172.217.10.42,443,6,06/07/2017 08:05:21,37203,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.759105448485336,37203.0,0.0,37203.0,37203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.879552724242668,26.879552724242668,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4342,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-49698-6,10.42.0.211,49698,172.217.10.42,443,6,06/07/2017 08:05:23,360,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,86111.11111111111,5555.555555555556,360.0,0.0,360.0,360.0,360.0,360.0,0.0,360.0,360.0,0,0,0,0,0,1,0,0,0,64,0,5555.555555555556,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1476,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.211-443-60883-6,10.42.0.211,60883,151.101.1.140,443,6,06/07/2017 08:05:13,10456798,6,3,568.0,160.0,517.0,0.0,94.66666666666666,207.9035032573205,160.0,0.0,53.33333333333333,92.37604307034013,69.61978226986885,0.8606841214681589,1307099.75,3654921.9691011873,1.0352463E7,2057.0,1.0456798E7,2091359.6,4649741.4509936245,1.040906E7,2983.0,88977.0,44488.5,27939.910245024053,64245.0,24732.0,0,0,0,0,200,104,0.573789414312106,0.286894707156053,0.0,517.0,72.8,164.14478703605275,26943.511111111107,0,0,0,1,0,0,0,0,0.0,80.88888888888889,94.66666666666667,53.333333333333336,200,0,0,0,0,0,0,6,568,3,160,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.211-443-60881-6,10.42.0.211,60881,151.101.1.140,443,6,06/07/2017 08:05:13,10509055,6,3,568.0,160.0,517.0,0.0,94.66666666666666,207.9035032573205,160.0,0.0,53.33333333333333,92.37604307034013,69.2735931061356,0.8564043103780502,1313631.875,3667039.579718474,1.0388981E7,2315.0,1.0509055E7,2101811.0,4664486.430677926,1.0445885E7,2423.0,104601.0,52300.5,13415.936959452367,61787.0,42814.0,0,0,0,0,200,104,0.5709362069187001,0.28546810345935003,0.0,517.0,72.8,164.14478703605275,26943.511111111107,0,0,0,1,0,0,0,0,0.0,80.88888888888889,94.66666666666667,53.333333333333336,200,0,0,0,0,0,0,6,568,3,160,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
