Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.14-10.42.0.211-443-44279-6,10.42.0.211,44279,172.217.10.14,443,6,06/07/2017 11:15:08,37167,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.81117658137595,37167.0,0.0,37167.0,37167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.905588290687977,26.905588290687977,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.14-10.42.0.211-443-41867-6,10.42.0.211,41867,172.217.10.14,443,6,06/07/2017 11:15:08,36924,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.165312533853324,36924.0,0.0,36924.0,36924.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.082656266926662,27.082656266926662,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.221.53-33422-443-6,54.225.221.53,443,10.42.0.211,33422,6,06/07/2017 11:15:23,4999810,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.2002356089531405,0.6000228008664329,2499905.0,3520758.2026330633,4989457.0,10353.0,4999810.0,4999810.0,0.0,4999810.0,4999810.0,0,0,0,0,0,1,0,0,0,64,32,0.40001520057762197,0.20000760028881098,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-50.16.225.126-51057-443-6,50.16.225.126,443,10.42.0.211,51057,6,06/07/2017 11:15:24,5003673,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.195448823294408,0.5995595635446201,2501836.5,3480029.5591434995,4962589.0,41084.0,5003673.0,5003673.0,0.0,5003673.0,5003673.0,0,0,0,0,0,1,0,0,0,64,32,0.39970637569641343,0.19985318784820671,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,136,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-45581-6,10.42.0.211,45581,172.217.3.110,443,6,06/07/2017 11:15:39,146,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,212328.76712328766,13698.630136986301,146.0,0.0,146.0,146.0,146.0,146.0,0.0,146.0,146.0,0,0,0,0,0,1,0,0,0,64,0,13698.630136986301,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-59002-6,10.42.0.211,59002,172.217.3.110,443,6,06/07/2017 11:15:41,37206,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.1798634628823,53.75477073590281,37206.0,0.0,37206.0,37206.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.877385367951405,26.877385367951405,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-45090-443-6,10.42.0.211,45090,74.6.105.9,443,6,06/07/2017 11:15:44,417906,9,10,1082.0,5424.0,568.0,0.0,120.22222222222223,188.99059353429325,1448.0,0.0,542.3999999999999,675.4932683273428,15568.094260431772,45.464769589333486,23216.999999999996,63633.32257089649,274439.0,4.0,391095.0,48886.875,92217.77328915893,274439.0,96.0,392966.0,43662.88888888889,101352.42210900098,310722.0,4.0,0,0,0,0,296,328,21.535943489684282,23.928826099649203,0.0,1448.0,325.30000000000007,530.5417390197546,281474.5368421053,0,0,0,1,0,0,0,0,1.0,342.42105263157896,120.22222222222223,542.4,296,0,0,0,0,0,0,9,1082,10,5424,65535,139,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-45090-443-6,10.42.0.211,45090,74.6.105.9,443,6,06/07/2017 11:15:45,80,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,387499.99999999994,24999.999999999996,80.0,0.0,80.0,80.0,80.0,80.0,0.0,80.0,80.0,0,0,0,0,0,1,0,0,0,64,0,24999.999999999996,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-54920-6,10.42.0.211,54920,172.217.3.110,443,6,06/07/2017 11:15:50,36987,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.8401059831833,54.073052694189855,36987.0,0.0,36987.0,36987.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.036526347094927,27.036526347094927,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,490,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.211-443-48241-6,10.42.0.211,48241,172.217.6.238,443,6,06/07/2017 11:15:51,36903,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.2555618784381,54.19613581551636,36903.0,0.0,36903.0,36903.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.09806790775818,27.09806790775818,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
