Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-93.184.215.201-36676-443-6,10.42.0.42,36676,93.184.215.201,443,6,06/07/2017 05:12:42,35648,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.104129263913826,35648.0,0.0,35648.0,35648.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,28.052064631956913,28.052064631956913,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,4015,290,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.254.128-43225-443-6,10.42.0.42,43225,13.107.254.128,443,6,06/07/2017 05:12:42,36903,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.29420372327453,18451.5,26088.704691877672,36899.0,4.0,0,0,0,0,0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,32,64,27.09806790775818,54.19613581551636,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1028,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.97.126.55-55119-443-6,10.42.0.42,55119,104.97.126.55,443,6,06/07/2017 05:12:42,39878,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,777.3709814935554,75.22944982195698,19939.0,28192.347365907648,39874.0,4.0,0,0,0,0,0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,32,64,25.07648327398566,50.15296654797132,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.97.137.75-58883-443-6,10.42.0.42,58883,104.97.137.75,443,6,06/07/2017 05:12:42,40121,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,772.6626953465767,74.77380922708807,20060.5,28365.588527298354,40118.0,3.0,0,0,0,0,0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32,64,24.924603075696023,49.849206151392046,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.43.254.159-35352-443-6,10.42.0.42,35352,104.43.254.159,443,6,06/07/2017 05:12:42,50475,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.623576027736505,50475.0,0.0,50475.0,50475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.811788013868252,19.811788013868252,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.52.108.74-45046-443-6,10.42.0.42,45046,65.52.108.74,443,6,06/07/2017 05:12:42,50845,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.002851804503884,25422.5,35950.01586230526,50843.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,19.667617268167962,39.335234536335925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-55104-6,10.42.0.42,55104,157.56.52.23,40033,6,06/07/2017 05:12:42,85485,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.39591741241153,85485.0,0.0,85485.0,85485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.697958706205766,11.697958706205766,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1473,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.88.145.72-33761-443-6,10.42.0.42,33761,13.88.145.72,443,6,06/07/2017 05:12:42,87074,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.96896892298505,87074.0,0.0,87074.0,87074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.484484461492524,11.484484461492524,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,512,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.216.51-60327-12350-6,10.42.0.42,60327,91.190.216.51,12350,6,06/07/2017 05:12:42,122108,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.378943230582763,122108.0,0.0,122108.0,122108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.189471615291382,8.189471615291382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.208.28.54-40045-443-6,10.42.0.42,40045,104.208.28.54,443,6,06/07/2017 05:12:42,201807,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.86568850436308,100903.5,12513.66870665833,109752.0,92055.0,0,0,0,0,0,109752.0,109752.0,0.0,109752.0,109752.0,0,0,0,0,32,64,4.95522950145436,9.91045900290872,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1731,514,0,32,0,0,0,0,0,0,0,0,BENIGN
