Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.227-10.42.0.42-443-54897-6,10.42.0.42,54897,172.217.10.227,443,6,06/07/2017 08:09:13,38120,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.46589716684155,38120.0,0.0,38120.0,38120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.232948583420775,26.232948583420775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.42-443-60720-6,10.42.0.42,60720,172.217.12.138,443,6,06/07/2017 08:09:13,37394,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.48451623255068,37394.0,0.0,37394.0,37394.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.74225811627534,26.74225811627534,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2135,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-49742-6,10.42.0.42,49742,172.217.12.170,443,6,06/07/2017 08:09:14,37472,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3731853116994,37472.0,0.0,37472.0,37472.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.6865926558497,26.6865926558497,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1681,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.42-443-59277-6,10.42.0.42,59277,172.217.2.110,443,6,06/07/2017 08:09:16,22617,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1016.9341645664765,132.64358668258387,11308.5,15656.05124225135,22379.0,238.0,0,0,0,0,0,238.0,238.0,0.0,238.0,238.0,1,0,0,0,32,64,44.21452889419463,88.42905778838926,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1682,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-38648-6,10.42.0.42,38648,172.217.12.170,443,6,06/07/2017 08:09:17,36922,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1682465738584,36922.0,0.0,36922.0,36922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0841232869292,27.0841232869292,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.216.61-35137-12350-6,10.42.0.42,35137,91.190.216.61,12350,6,06/07/2017 08:09:10,7769255,3,1,5.0,5.0,5.0,0.0,1.6666666666666665,2.886751345948129,5.0,5.0,5.0,0.0,1.2871246985714846,0.5148498794285938,2589751.6666666665,4346353.996553241,7608265.0,39434.0,7769255.0,3884627.5,5266018.653861046,7608265.0,160990.0,0,0,0,0,0,1,0,0,0,96,32,0.3861374095714454,0.12871246985714846,0.0,5.0,3.0,2.7386127875258306,7.5,0,1,0,0,1,0,0,0,0.0,3.75,1.6666666666666667,5.0,96,0,0,0,0,0,0,3,5,1,5,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-35517-6,10.42.0.42,35517,157.56.52.23,40033,6,06/07/2017 08:09:10,7770988,3,1,312.0,4.0,312.0,0.0,104.0,180.13328398716322,4.0,4.0,4.0,0.0,40.664069999850724,0.5147350632892497,2590329.3333333335,4405456.6343706455,7677125.0,9109.0,7770988.0,3885494.0,5362175.983714261,7677125.0,93863.0,0,0,0,0,0,1,0,0,0,96,32,0.3860512974669373,0.12868376582231242,0.0,312.0,125.6,170.16697681982836,28956.8,0,1,0,0,1,0,0,0,0.0,157.0,104.0,4.0,96,0,0,0,0,0,0,3,312,1,4,1431,37,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.208.156.39-58972-443-6,10.42.0.42,58972,104.208.156.39,443,6,06/07/2017 08:09:11,6701953,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,42.82333821201074,0.8952614260350678,1340390.6,2901915.87846302,6531305.0,7442.0,6701953.0,2233984.3333333335,3721589.1449062903,6531305.0,83882.0,57542.0,57542.0,0.0,57542.0,57542.0,1,0,0,0,128,64,0.5968409506900452,0.2984204753450226,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,509,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.141.191-35567-443-6,10.42.0.42,35567,23.194.141.191,443,6,06/07/2017 08:09:17,23228,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1334.5961770277252,129.15446874461858,11614.0,16397.806255716037,23209.0,19.0,0,0,0,0,0,19.0,19.0,0.0,19.0,19.0,0,0,0,0,32,64,43.05148958153952,86.10297916307904,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.141.143-60945-443-6,10.42.0.42,60945,23.194.141.143,443,6,06/07/2017 08:09:17,23257,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1332.9320204669561,128.9934213355119,11628.5,16433.868701556552,23249.0,8.0,0,0,0,0,0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,32,64,42.9978071118373,85.9956142236746,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-49500-443-6,10.42.0.42,49500,13.107.3.128,443,6,06/07/2017 08:09:17,35573,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.33362381581536,17786.5,25141.1816050877,35564.0,9.0,0,0,0,0,0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,32,64,28.111207938605123,56.222415877210246,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1028,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.208.31.113-50695-443-6,10.42.0.42,50695,104.208.31.113,443,6,06/07/2017 08:09:17,49139,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70086896355237,49139.0,0.0,49139.0,49139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.350434481776183,20.350434481776183,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1686,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.68.82.180-59491-443-6,10.42.0.42,59491,13.68.82.180,443,6,06/07/2017 08:09:17,50192,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.84698756773988,50192.0,0.0,50192.0,50192.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.92349378386994,19.92349378386994,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,511,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.52.108.74-46158-443-6,10.42.0.42,46158,65.52.108.74,443,6,06/07/2017 08:09:17,50195,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.76690905468673,25097.5,35480.496959597396,50186.0,9.0,0,0,0,0,0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,32,64,19.92230301822891,39.84460603645782,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.88.145.72-49801-443-6,10.42.0.42,49801,13.88.145.72,443,6,06/07/2017 08:09:17,86487,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.124862696127742,86487.0,0.0,86487.0,86487.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.562431348063871,11.562431348063871,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,512,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.219.146-57941-443-6,10.42.0.42,57941,91.190.219.146,443,6,06/07/2017 08:09:17,98396,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.326029513394854,98396.0,0.0,98396.0,98396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10.163014756697427,10.163014756697427,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,65535,37030,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.42-443-59068-6,10.42.0.42,59068,172.217.12.170,443,6,06/07/2017 08:09:19,37244,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69992482010525,37244.0,0.0,37244.0,37244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.849962410052626,26.849962410052626,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2257,421,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.42-443-43072-6,10.42.0.42,43072,172.217.2.110,443,6,06/07/2017 08:09:19,606291,8,9,1146.0,6024.0,787.0,0.0,143.25,273.95763488956777,1418.0,0.0,669.3333333333334,692.1425070027126,11826.004344448458,28.039340844577932,37893.1875,58155.54326140517,178506.0,8.0,551039.0,78719.85714285714,89721.07244014376,183274.0,200.0,583850.0,72981.25,119096.36778646347,334316.0,8.0,0,0,0,0,264,296,13.194983926860203,14.844356917717729,0.0,1418.0,398.3333333333333,578.9462029259307,335178.7058823529,0,0,0,1,0,0,0,0,1.0,421.7647058823529,143.25,669.3333333333334,264,0,0,0,0,0,0,8,1146,9,6024,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-48036-6,10.42.0.42,48036,206.126.112.141,443,6,06/07/2017 08:09:20,633394,151,541,1030.0,775266.0,641.0,0.0,6.821192052980132,56.24447659906591,1448.0,0.0,1433.0240295748602,136.9441268034329,1225613.1254795594,1092.5269263681057,916.6338639652677,7326.548678386341,139663.0,1.0,633394.0,4222.626666666666,19100.64641604292,161382.0,4.0,570323.0,1056.153703703704,10770.273432862867,195476.0,1.0,0,0,0,0,4852,17320,238.39821659188436,854.1287097762214,0.0,1448.0,1120.1962481962478,603.4336688028462,364132.1926448631,0,0,0,1,0,0,0,0,3.0,1121.8150289017342,6.821192052980132,1433.0240295748613,4852,0,0,0,0,0,0,151,1030,541,775266,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.2.110-10.42.0.42-443-34082-6,10.42.0.42,34082,172.217.2.110,443,6,06/07/2017 08:09:22,22319,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1030.5121197186254,134.41462431112507,11159.5,15746.560910243226,22294.0,25.0,0,0,0,0,0,25.0,25.0,0.0,25.0,25.0,1,0,0,0,32,64,44.80487477037502,89.60974954075004,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1486,383,0,32,0,0,0,0,0,0,0,0,BENIGN
