Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.42-10.42.0.42-443-55440-6,10.42.0.42,55440,172.217.11.42,443,6,06/07/2017 10:23:36,37222,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.73166406963624,37222.0,0.0,37222.0,37222.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.86583203481812,26.86583203481812,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5889,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-36504-6,10.42.0.42,36504,172.217.6.234,443,6,06/07/2017 10:23:52,181074,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.045208036493367,181074.0,0.0,181074.0,181074.0,181074.0,181074.0,0.0,181074.0,181074.0,0,0,0,0,0,0,0,0,0,64,0,11.045208036493367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.99-10.42.0.42-443-38594-6,10.42.0.42,38594,172.217.10.99,443,6,06/07/2017 10:23:52,180665,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.070212824841558,180665.0,0.0,180665.0,180665.0,180665.0,180665.0,0.0,180665.0,180665.0,0,0,0,0,0,0,0,0,0,64,0,11.070212824841558,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.97-10.42.0.42-443-41446-6,10.42.0.42,41446,172.217.10.97,443,6,06/07/2017 10:23:52,180967,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.051738714793306,180967.0,0.0,180967.0,180967.0,180967.0,180967.0,0.0,180967.0,180967.0,0,0,0,0,0,0,0,0,0,64,0,11.051738714793306,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.129-10.42.0.42-443-47839-6,10.42.0.42,47839,172.217.12.129,443,6,06/07/2017 10:23:52,181000,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.049723756906078,181000.0,0.0,181000.0,181000.0,181000.0,181000.0,0.0,181000.0,181000.0,0,0,0,0,0,0,0,0,0,64,0,11.049723756906078,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-40111-6,10.42.0.42,40111,172.217.12.193,443,6,06/07/2017 10:23:52,181014,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.048869148242677,181014.0,0.0,181014.0,181014.0,181014.0,181014.0,0.0,181014.0,181014.0,0,0,0,0,0,0,0,0,0,64,0,11.048869148242677,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.42-443-43458-6,10.42.0.42,43458,172.217.10.33,443,6,06/07/2017 10:23:52,181014,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.048869148242677,181014.0,0.0,181014.0,181014.0,181014.0,181014.0,0.0,181014.0,181014.0,0,0,0,0,0,0,0,0,0,64,0,11.048869148242677,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-34986-6,10.42.0.42,34986,172.217.7.14,443,6,06/07/2017 10:23:52,362618,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5.515446006541319,362618.0,0.0,362618.0,362618.0,362618.0,362618.0,0.0,362618.0,362618.0,0,0,0,0,0,0,0,0,0,64,0,5.515446006541319,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.42-443-34321-6,10.42.0.42,34321,172.217.11.42,443,6,06/07/2017 10:23:53,36862,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,840.9744452281483,81.38462373175628,18431.0,25754.243184376435,36642.0,220.0,0,0,0,0,0,220.0,220.0,0.0,220.0,220.0,1,0,0,0,32,64,27.128207910585427,54.256415821170854,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-36504-6,10.42.0.42,36504,172.217.6.234,443,6,06/07/2017 10:23:53,982299,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0360399430316023,982299.0,0.0,982299.0,982299.0,982299.0,982299.0,0.0,982299.0,982299.0,0,0,0,0,0,0,0,0,0,64,0,2.0360399430316023,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.99-10.42.0.42-443-38594-6,10.42.0.42,38594,172.217.10.99,443,6,06/07/2017 10:23:53,982339,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0359570372346005,982339.0,0.0,982339.0,982339.0,982339.0,982339.0,0.0,982339.0,982339.0,0,0,0,0,0,0,0,0,0,64,0,2.0359570372346005,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.97-10.42.0.42-443-41446-6,10.42.0.42,41446,172.217.10.97,443,6,06/07/2017 10:23:53,986590,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.027184544745031,986590.0,0.0,986590.0,986590.0,986590.0,986590.0,0.0,986590.0,986590.0,0,0,0,0,0,0,0,0,0,64,0,2.027184544745031,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.129-10.42.0.42-443-47839-6,10.42.0.42,47839,172.217.12.129,443,6,06/07/2017 10:23:53,986459,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0274537512456168,986459.0,0.0,986459.0,986459.0,986459.0,986459.0,0.0,986459.0,986459.0,0,0,0,0,0,0,0,0,0,64,0,2.0274537512456168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-40111-6,10.42.0.42,40111,172.217.12.193,443,6,06/07/2017 10:23:53,994050,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.011971228811428,994050.0,0.0,994050.0,994050.0,994050.0,994050.0,0.0,994050.0,994050.0,0,0,0,0,0,0,0,0,0,64,0,2.011971228811428,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.42-443-43458-6,10.42.0.42,43458,172.217.10.33,443,6,06/07/2017 10:23:53,994107,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.0118558666220037,994107.0,0.0,994107.0,994107.0,994107.0,994107.0,0.0,994107.0,994107.0,0,0,0,0,0,0,0,0,0,64,0,2.0118558666220037,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-34986-6,10.42.0.42,34986,172.217.7.14,443,6,06/07/2017 10:23:53,1529427,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.3076792811948525,1529427.0,0.0,1529427.0,1529427.0,1529427.0,1529427.0,0.0,1529427.0,1529427.0,0,0,0,0,0,0,0,0,0,64,0,1.3076792811948525,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.42-443-42763-6,10.42.0.42,42763,172.217.6.238,443,6,06/07/2017 10:23:57,36685,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.9592476489028,81.77729317159601,18342.5,25732.32287415965,36538.0,147.0,0,0,0,0,0,147.0,147.0,0.0,147.0,147.0,1,0,0,0,32,64,27.259097723865338,54.518195447730676,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1453,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-36504-6,10.42.0.42,36504,172.217.6.234,443,6,06/07/2017 10:23:56,4169177,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4797109837265244,4169177.0,0.0,4169177.0,4169177.0,4169177.0,4169177.0,0.0,4169177.0,4169177.0,0,0,0,0,0,0,0,0,0,64,0,0.4797109837265244,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.99-10.42.0.42-443-38594-6,10.42.0.42,38594,172.217.10.99,443,6,06/07/2017 10:23:56,4169137,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.47971558622323995,4169137.0,0.0,4169137.0,4169137.0,4169137.0,4169137.0,0.0,4169137.0,4169137.0,0,0,0,0,0,0,0,0,0,64,0,0.47971558622323995,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.97-10.42.0.42-443-41446-6,10.42.0.42,41446,172.217.10.97,443,6,06/07/2017 10:23:56,4169111,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.47971857789346456,4169111.0,0.0,4169111.0,4169111.0,4169111.0,4169111.0,0.0,4169111.0,4169111.0,0,0,0,0,0,0,0,0,0,64,0,0.47971857789346456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.129-10.42.0.42-443-47839-6,10.42.0.42,47839,172.217.12.129,443,6,06/07/2017 10:23:56,4169146,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.47971455065377905,4169146.0,0.0,4169146.0,4169146.0,4169146.0,4169146.0,0.0,4169146.0,4169146.0,0,0,0,0,0,0,0,0,0,64,0,0.47971455065377905,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.193-10.42.0.42-443-40111-6,10.42.0.42,40111,172.217.12.193,443,6,06/07/2017 10:23:56,4168112,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.47983355533632494,4168112.0,0.0,4168112.0,4168112.0,4168112.0,4168112.0,0.0,4168112.0,4168112.0,0,0,0,0,0,0,0,0,0,64,0,0.47983355533632494,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.42-443-43458-6,10.42.0.42,43458,172.217.10.33,443,6,06/07/2017 10:23:56,4168125,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4798320587794272,4168125.0,0.0,4168125.0,4168125.0,4168125.0,4168125.0,0.0,4168125.0,4168125.0,0,0,0,0,0,0,0,0,0,64,0,0.4798320587794272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.14-10.42.0.42-443-34986-6,10.42.0.42,34986,172.217.7.14,443,6,06/07/2017 10:23:58,6256347,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3196753632750869,6256347.0,0.0,6256347.0,6256347.0,6256347.0,6256347.0,0.0,6256347.0,6256347.0,0,0,0,0,0,0,0,0,0,64,0,0.3196753632750869,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-36504-6,10.42.0.42,36504,172.217.6.234,443,6,06/07/2017 10:24:08,16651407,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12010997028659501,1.6651407E7,0.0,1.6651407E7,1.6651407E7,1.6651407E7,1.6651407E7,0.0,1.6651407E7,1.6651407E7,0,0,0,0,0,0,0,0,0,64,0,0.12010997028659501,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.99-10.42.0.42-443-38594-6,10.42.0.42,38594,172.217.10.99,443,6,06/07/2017 10:24:08,16650617,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12011566898692103,1.6650617E7,0.0,1.6650617E7,1.6650617E7,1.6650617E7,1.6650617E7,0.0,1.6650617E7,1.6650617E7,0,0,0,0,0,0,0,0,0,64,0,0.12011566898692103,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
