Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-64.94.107.66-38109-80-6,10.42.0.42,38109,64.94.107.66,80,6,06/07/2017 11:32:04,76342,4,3,989.0,251.0,789.0,0.0,247.25,373.2696746321619,251.0,0.0,83.66666666666667,144.91491756659607,16242.69733567368,91.69264624977077,12723.666666666668,17898.779049607452,35950.0,82.0,39339.0,13113.0,21838.36836853889,38325.0,82.0,40392.0,20196.0,26679.13885416844,39061.0,1331.0,0,0,0,0,100,72,52.39579785701187,39.2968483927589,0.0,789.0,155.0,276.0232909427339,76188.85714285714,0,0,0,1,0,0,0,0,0.0,177.14285714285714,247.25,83.66666666666667,100,0,0,0,0,0,0,4,989,3,251,65535,135,2,20,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-59246-6,10.42.0.42,59246,172.217.9.234,443,6,06/07/2017 11:32:04,37188,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.780789501989894,37188.0,0.0,37188.0,37188.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.890394750994947,26.890394750994947,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4486,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-49505-6,10.42.0.42,49505,172.217.10.78,443,6,06/07/2017 11:32:05,474966,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.210827722405393,474966.0,0.0,474966.0,474966.0,474966.0,474966.0,0.0,474966.0,474966.0,0,0,0,0,0,0,0,0,0,64,0,4.210827722405393,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-51300-6,10.42.0.42,51300,172.217.10.238,443,6,06/07/2017 11:32:07,37160,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.9451022604952,53.82131324004306,37160.0,0.0,37160.0,37160.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.91065662002153,26.91065662002153,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.1-42592-443-6,10.42.0.42,42592,31.13.71.1,443,6,06/07/2017 11:32:07,201,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,154228.85572139302,9950.248756218905,201.0,0.0,201.0,201.0,201.0,201.0,0.0,201.0,201.0,0,0,0,0,0,1,0,0,0,64,0,9950.248756218905,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.1-42592-443-6,31.13.71.1,443,10.42.0.42,42592,6,06/07/2017 11:32:07,108,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,287037.037037037,18518.51851851852,108.0,0.0,108.0,108.0,108.0,108.0,0.0,108.0,108.0,0,0,0,0,0,1,0,0,0,64,0,18518.51851851852,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,118,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-49505-6,10.42.0.42,49505,172.217.10.78,443,6,06/07/2017 11:32:06,2160128,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9258710594927708,2160128.0,0.0,2160128.0,2160128.0,2160128.0,2160128.0,0.0,2160128.0,2160128.0,0,0,0,0,0,0,0,0,0,64,0,0.9258710594927708,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-64.94.107.66-38109-80-6,10.42.0.42,38109,64.94.107.66,80,6,06/07/2017 11:32:04,5023895,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3980974920853242,5023895.0,0.0,5023895.0,5023895.0,5023895.0,5023895.0,0.0,5023895.0,5023895.0,0,0,0,0,0,0,0,0,0,40,0,0.3980974920853242,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-50945-6,10.42.0.42,50945,172.217.10.238,443,6,06/07/2017 11:32:10,36601,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.398131198601,54.6433157564001,36601.0,0.0,36601.0,36601.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.32165787820005,27.32165787820005,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,362,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-107.22.216.92-38911-443-6,107.22.216.92,443,10.42.0.42,38911,6,06/07/2017 11:32:07,5011128,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.186231922233876,0.5986676053774719,2505564.0,3540271.5213666875,5008914.0,2214.0,5011128.0,5011128.0,0.0,5011128.0,5011128.0,0,0,0,0,0,1,0,0,0,64,32,0.3991117369183146,0.1995558684591573,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,125,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
