Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-40.117.100.83-43318-443-6,10.42.0.151,43318,40.117.100.83,443,6,06/07/2017 01:31:06,169996,3,2,2522.0,469.0,1428.0,501.0,840.6666666666666,510.7213852320395,469.0,0.0,234.5,331.6330803764908,17594.531636038493,29.412456763688557,42499.0,30971.83262256207,75341.0,581.0,122303.0,61151.5,85659.62257971955,121722.0,581.0,123034.0,123034.0,0.0,123034.0,123034.0,1,0,0,0,96,64,17.647474058213135,11.764982705475422,0.0,1428.0,582.0,464.85524628641116,216090.4,0,1,0,0,1,0,0,0,0.0,698.4,840.6666666666666,234.5,96,0,0,0,0,0,0,3,2522,2,469,1686,512,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-40.117.100.83-43318-443-6,10.42.0.151,43318,40.117.100.83,443,6,06/07/2017 01:31:07,13581,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,6258.743833296518,147.26456078344748,13581.0,0.0,13581.0,13581.0,13581.0,13581.0,0.0,13581.0,13581.0,0,0,0,0,0,1,0,0,0,64,0,147.26456078344748,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1731,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.151-443-54679-6,10.42.0.151,54679,172.217.3.110,443,6,06/07/2017 01:31:11,149368,6,4,5135.0,0.0,1368.0,0.0,855.8333333333334,672.3226655904638,0.0,0.0,0.0,0.0,34378.18006534197,66.94874404156178,16596.444444444445,28329.16875815063,81290.0,7.0,149368.0,29873.6,51473.01798806827,118911.0,15.0,596.0,198.66666666666666,171.34273644754637,337.0,7.0,1,0,0,0,192,128,40.169246424937064,26.779497616624713,0.0,1368.0,559.5454545454545,652.0115587374758,425119.07272727275,0,1,0,0,1,0,0,0,0.0,615.5,855.8333333333334,0.0,192,0,0,0,0,0,0,6,5135,4,0,1679,490,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.151-443-52617-6,10.42.0.151,52617,172.217.3.110,443,6,06/07/2017 01:31:11,36656,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.56132693147097,36656.0,0.0,36656.0,36656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.280663465735486,27.280663465735486,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1768,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.151-443-54679-6,172.217.3.110,443,10.42.0.151,54679,6,06/07/2017 01:31:11,65525,3,0,291.0,0.0,291.0,0.0,97.0,168.0089283341811,0,0,0,0,4441.053033193438,45.78405188859214,32762.5,46265.28958625462,65477.0,48.0,65525.0,32762.5,46265.28958625462,65477.0,48.0,0,0,0,0,0,0,0,0,0,96,0,45.78405188859214,0.0,0.0,291.0,72.75,145.5,21170.25,0,0,0,0,1,0,0,0,0.0,97.0,97.0,0.0,96,0,0,0,0,0,0,3,291,0,0,490,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-37314-443-6,10.42.0.151,37314,31.13.80.5,443,6,06/07/2017 01:31:11,190653,6,7,1079.0,201.0,537.0,0.0,179.83333333333331,260.0041666332804,137.0,0.0,28.714285714285715,50.07898523237828,6713.767944905142,68.18670569044285,15887.749999999998,33337.27418950691,117203.0,14.0,51108.0,10221.6,13057.096549386468,24580.0,299.0,168308.0,28051.333333333336,45423.08744093323,117203.0,14.0,0,0,0,0,200,232,31.470787241742855,36.715918448699995,0.0,537.0,91.4285714285714,183.1017851804393,33526.26373626374,0,0,0,1,0,0,0,0,1.0,98.46153846153847,179.83333333333334,28.714285714285715,200,0,0,0,0,0,0,6,1079,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-37314-443-6,10.42.0.151,37314,31.13.80.5,443,6,06/07/2017 01:31:11,1545,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,20064.724919093853,1941.747572815534,772.5,559.3214639185591,1168.0,377.0,377.0,377.0,0.0,377.0,377.0,0,0,0,0,0,1,0,0,0,64,32,1294.4983818770227,647.2491909385113,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-51610-6,10.42.0.151,51610,172.217.12.206,443,6,06/07/2017 01:31:11,36993,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.06428243181143,36993.0,0.0,36993.0,36993.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.032141215905714,27.032141215905714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,6687,359,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.46.97.194-46676-443-6,10.42.0.151,46676,104.46.97.194,443,6,06/07/2017 01:31:15,19508,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1589.0916547057616,102.5220422390814,19508.0,0.0,19508.0,19508.0,19508.0,19508.0,0.0,19508.0,19508.0,0,0,0,0,0,1,0,0,0,64,0,102.5220422390814,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.46.97.194-46676-443-6,104.46.97.194,443,10.42.0.151,46676,6,06/07/2017 01:31:15,44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,64,0,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1025,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
