Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.78-10.42.0.151-443-60228-6,10.42.0.151,60228,172.217.10.78,443,6,06/07/2017 01:58:19,37643,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,611.0033738012379,79.69609223494408,18821.5,25035.115587909717,36524.0,1119.0,0,0,0,0,0,1119.0,1119.0,0.0,1119.0,1119.0,1,0,0,0,32,64,26.56536407831469,53.13072815662938,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1437,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.151-443-49710-6,10.42.0.151,49710,172.217.10.78,443,6,06/07/2017 01:58:19,387088,9,9,1146.0,6023.0,787.0,0.0,127.33333333333333,260.6746055909551,1418.0,0.0,669.2222222222223,692.445625623012,18520.33646095978,46.50105402389121,22769.882352941175,33280.0993648651,111780.0,15.0,331353.0,41419.125,52465.40645153719,148831.0,121.0,350406.0,43800.75,67822.176570689,171742.0,15.0,0,0,0,0,296,296,23.250527011945604,23.250527011945604,0.0,1418.0,377.31578947368416,570.1427747728906,325062.783625731,0,0,0,1,0,0,0,0,1.0,398.27777777777777,127.33333333333333,669.2222222222222,296,0,0,0,0,0,0,9,1146,9,6023,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.140-10.42.0.151-443-36848-6,10.42.0.151,36848,206.126.112.140,443,6,06/07/2017 01:58:21,662432,407,1030,1029.0,1480129.0,640.0,0.0,2.5282555282555292,34.30016103386867,1448.0,0.0,1437.0184466019412,107.24858569981643,2235939.6889039176,2169.279261871407,461.30362116991625,3775.2515284245455,114554.0,-1.0,662432.0,1631.6059113300482,11328.953829087424,217784.0,5.0,592095.0,575.4081632653061,4633.433120597099,114554.0,2.0,0,0,0,0,13032,32968,614.4026858605864,1554.8765760108206,0.0,1448.0,1030.012517385258,653.4941583623378,427054.61501370027,0,0,0,1,0,0,0,0,2.0,1030.7292971468337,2.5282555282555284,1437.0184466019418,13032,0,0,0,0,0,0,407,1029,1030,1480129,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.151-443-33740-6,10.42.0.151,33740,172.217.10.42,443,6,06/07/2017 01:58:22,37314,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.59918529238355,37314.0,0.0,37314.0,37314.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.799592646191776,26.799592646191776,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-60080-443-6,10.42.0.151,60080,31.13.80.5,443,6,06/07/2017 01:58:31,191217,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,6704.424815785207,67.98558705554423,15934.750000000002,33704.34226981605,118461.0,10.0,50581.0,10116.2,13075.093143071677,24778.0,299.0,168453.0,28075.5,45899.07324445669,118461.0,10.0,0,0,0,0,200,232,31.377963256405028,36.6076237991392,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.151-443-38634-6,10.42.0.151,38634,172.217.10.42,443,6,06/07/2017 01:58:31,36651,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,845.8159395378025,54.56877029276145,36651.0,0.0,36651.0,36651.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.284385146380725,27.284385146380725,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,2699,404,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.21.54.53-53708-443-6,23.21.54.53,443,10.42.0.151,53708,6,06/07/2017 01:58:39,5018411,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.177254114898122,0.5977987853127215,2509205.5,3467146.0735902805,4960848.0,57563.0,5018411.0,5018411.0,0.0,5018411.0,5018411.0,0,0,0,0,0,1,0,0,0,64,32,0.3985325235418143,0.19926626177090714,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,125,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
205.185.216.42-10.42.0.151-80-38623-6,10.42.0.151,38623,205.185.216.42,80,6,06/07/2017 01:58:45,352177,41,38,1222.0,48326.0,642.0,0.0,29.80487804878049,133.42998529419748,1448.0,0.0,1271.736842105263,426.3591104203202,140690.61863778724,224.31902140117043,4515.089743589743,32798.680799091184,289041.0,5.0,352177.0,8804.425000000001,45848.87417228504,289041.0,8.0,33551.0,906.783783783784,4477.393867066068,27321.0,5.0,0,0,0,0,1320,1224,116.4187326259239,107.90028877524654,0.0,1448.0,619.3500000000003,695.78206794653,484112.6860759497,0,0,0,1,0,0,0,0,0.0,627.1898734177215,29.804878048780488,1271.7368421052631,1320,0,0,0,0,0,0,41,1222,38,48326,65535,31,2,32,0,0,0,0,0,0,0,0,BENIGN
205.185.216.42-10.42.0.151-80-38623-6,205.185.216.42,80,10.42.0.151,38623,6,06/07/2017 01:58:45,599,4,0,667.0,0.0,346.0,0.0,166.75,192.81662272739868,0,0,0,0,1113522.5375626043,6677.79632721202,199.66666666666666,151.4474606367942,331.0,34.0,599.0,199.66666666666666,151.4474606367942,331.0,34.0,0,0,0,0,0,0,0,0,0,128,0,6677.79632721202,0.0,0.0,346.0,133.4,182.87919509884114,33444.8,0,0,0,0,1,0,0,0,0.0,166.75,166.75,0.0,128,0,0,0,0,0,0,4,667,0,0,30,-1,2,32,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.151-443-55055-6,10.42.0.151,55055,175.100.207.231,443,6,06/07/2017 01:58:46,661267,8,5,328.0,4094.0,202.0,0.0,41.0,78.587530817554,1460.0,0.0,818.8,756.5230994490519,6687.1626740787,19.659229932841043,55105.583333333336,92723.21226341852,249249.0,6.0,661267.0,94466.71428571429,126217.43847254795,299710.0,6.0,281760.0,70440.0,137698.06438242574,276963.0,65.0,0,0,0,0,180,112,12.097987650979105,7.56124228186194,0.0,1460.0,315.8571428571428,575.2214098324839,330879.67032967036,0,0,0,1,0,0,0,0,0.0,340.15384615384613,41.0,818.8,180,0,0,0,0,0,0,8,328,5,4094,65535,30,2,20,0,0,0,0,0,0,0,0,BENIGN
