Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.106-10.42.0.151-443-54775-6,10.42.0.151,54775,172.217.3.106,443,6,06/07/2017 06:37:07,36973,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09352770940957,36973.0,0.0,36973.0,36973.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.046763854704786,27.046763854704786,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.151-443-59584-6,10.42.0.151,59584,172.217.3.106,443,6,06/07/2017 06:37:08,36698,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.49888277290315,36698.0,0.0,36698.0,36698.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.249441386451576,27.249441386451576,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,399,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.151-443-57953-6,10.42.0.151,57953,172.217.3.106,443,6,06/07/2017 06:37:08,327815,11,9,1586.0,4694.0,1309.0,0.0,144.1818181818182,390.0158504937506,1418.0,0.0,521.5555555555555,571.7333537391165,19157.146561322697,61.01002089593215,17253.42105263158,23677.159956182317,73303.0,20.0,291379.0,29137.9,30530.44595317926,73303.0,100.0,290849.0,36356.125,40873.669129709895,112927.0,20.0,0,0,0,0,360,296,33.55551149276268,27.454509403169467,0.0,1418.0,299.04761904761904,496.7389129301706,246749.54761904763,0,0,0,1,0,0,0,0,0.0,314.0,144.1818181818182,521.5555555555555,360,0,0,0,0,0,0,11,1586,9,4694,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.151-443-42581-6,10.42.0.151,42581,172.217.3.106,443,6,06/07/2017 06:37:11,37214,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.74321491911647,37214.0,0.0,37214.0,37214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.871607459558234,26.871607459558234,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
192.169.243.91-10.42.0.151-80-52171-6,10.42.0.151,52171,192.169.243.91,80,6,06/07/2017 06:37:12,808,2,0,161.0,0.0,161.0,0.0,80.5,113.84419177103415,0,0,0,0,199257.42574257424,2475.2475247524753,808.0,0.0,808.0,808.0,808.0,808.0,0.0,808.0,808.0,0,0,0,0,0,1,0,0,0,64,0,2475.2475247524753,0.0,0.0,161.0,107.33333333333334,92.95339333952974,8640.333333333332,0,1,0,0,1,0,0,0,0.0,161.0,80.5,0.0,64,0,0,0,0,0,0,2,161,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.151-443-48346-6,10.42.0.151,48346,172.217.6.206,443,6,06/07/2017 06:37:12,36652,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.5237367674343,81.85092218705665,18326.0,25649.591380760823,36463.0,189.0,0,0,0,0,0,189.0,189.0,0.0,189.0,189.0,1,0,0,0,32,64,27.28364072901888,54.56728145803776,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1404,362,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.207.99-10.42.0.151-443-43205-6,10.42.0.151,43205,216.58.207.99,443,6,06/07/2017 06:37:13,235033,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.509443354762949,235033.0,0.0,235033.0,235033.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.254721677381474,4.254721677381474,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,BENIGN
157.55.130.167-10.42.0.151-40019-37864-6,10.42.0.151,37864,157.55.130.167,40019,6,06/07/2017 06:36:54,21571148,5,3,686.0,8.0,411.0,0.0,137.2,193.92446983297387,4.0,0.0,2.6666666666666665,2.309401076758503,32.17260388737771,0.37086575086314366,3081592.571428572,7284868.839071729,1.9537056E7,44.0,2.1571148E7,5392787.0,9461779.499794563,1.9537056E7,48584.0,1826559.0,913279.5,1291510.0297405745,1826515.0,44.0,1,0,0,0,160,96,0.2317910942894648,0.13907465657367887,0.0,411.0,122.77777777777777,186.3563641103905,34728.694444444445,0,1,0,0,1,0,0,0,0.0,138.125,137.2,2.6666666666666665,160,0,0,0,0,0,0,5,686,3,8,1410,37,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-91.190.219.39-35421-12350-6,10.42.0.151,35421,91.190.219.39,12350,6,06/07/2017 06:36:56,19744659,3,1,5.0,5.0,5.0,0.0,1.6666666666666665,2.886751345948129,5.0,5.0,5.0,0.0,0.5064660777377822,0.20258643109511287,6581553.0,1.1191824950488057E7,1.9504736E7,98711.0,1.9744659E7,9872329.5,1.3622279910590757E7,1.9504736E7,239923.0,0,0,0,0,0,1,0,0,0,96,32,0.15193982332133465,0.05064660777377822,0.0,5.0,3.0,2.7386127875258306,7.5,0,1,0,0,1,0,0,0,0.0,3.75,1.6666666666666667,5.0,96,0,0,0,0,0,0,3,5,1,5,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-40.122.162.208-41401-443-6,10.42.0.151,41401,40.122.162.208,443,6,06/07/2017 06:36:58,17055436,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,16.82747952031247,0.3517939969403303,3411087.2,7448413.247249625,1.6735158E7,49711.0,1.7055436E7,5685145.333333333,9569614.811042309,1.6735158E7,139099.0,158069.0,158069.0,0.0,158069.0,158069.0,1,0,0,0,128,64,0.23452933129355355,0.11726466564677678,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,509,1,32,0,0,0,0,0,0,0,0,BENIGN
