Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.7.3-10.42.0.151-443-40026-6,10.42.0.151,40026,172.217.7.3,443,6,06/07/2017 08:24:39,421094,55,204,609.0,284175.0,261.0,0.0,11.07272727272727,48.40755012486078,1418.0,0.0,1393.014705882353,175.1459764972187,676295.5539618232,615.0645699060067,1632.1472868217038,6195.133457327425,55662.0,2.0,415097.0,7686.981481481483,16249.6113631213,92843.0,8.0,384354.0,1893.36945812808,8705.059003471146,93059.0,4.0,0,0,0,0,1768,6536,130.6121673545574,484.45240255144927,0.0,1418.0,1095.3230769230772,590.4320741748658,348610.03421443416,0,0,0,1,0,0,0,0,3.0,1099.5521235521235,11.072727272727272,1393.014705882353,1768,0,0,0,0,0,0,55,609,204,284175,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-60889-6,10.42.0.151,60889,172.217.7.3,443,6,06/07/2017 08:24:39,208078,6,9,829.0,4323.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,480.3333333333333,686.6360025515703,24759.945789559682,72.08835148357826,14862.714285714286,23470.34987589029,77263.0,10.0,169937.0,33987.4,36348.64806701894,88502.0,466.0,171354.0,21419.249999999996,31344.59223693937,79910.0,10.0,0,0,0,0,200,296,28.835340593431308,43.25301089014696,0.0,1418.0,322.0,549.3814703828297,301820.0,0,0,0,1,0,0,0,0,1.0,343.46666666666664,138.16666666666666,480.3333333333333,200,0,0,0,0,0,0,6,829,9,4323,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-41661-6,10.42.0.151,41661,172.217.7.3,443,6,06/07/2017 08:24:39,479112,121,339,829.0,473222.0,517.0,0.0,6.851239669421485,52.62535212186627,1418.0,0.0,1395.9351032448371,170.16842137699643,989436.7079096328,960.1095359748869,1043.8169934640514,5076.474846816988,76767.0,3.0,468248.0,3902.066666666667,11276.575081794565,78418.0,5.0,442026.0,1307.7692307692316,6248.737610195223,82226.0,3.0,0,0,0,0,3880,10856,252.55055185426374,707.5589841206232,0.0,1418.0,1028.310195227766,631.1502622749549,398350.6535697444,0,0,0,1,0,0,0,0,2.0,1030.5456521739131,6.851239669421488,1395.9351032448378,3880,0,0,0,0,0,0,121,829,339,473222,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-40026-6,10.42.0.151,40026,172.217.7.3,443,6,06/07/2017 08:24:39,243599,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,127.25832207849786,12.315321491467534,121799.5,172233.5342275133,243587.0,12.0,243599.0,121799.5,172233.5342275133,243587.0,12.0,0,0,0,0,0,0,0,0,0,96,0,12.315321491467534,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,2882,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-60889-6,10.42.0.151,60889,172.217.7.3,443,6,06/07/2017 08:24:40,103812,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,298.6167302431318,38.53119099911378,34604.0,30203.91701418874,57881.0,473.0,103812.0,34604.0,30203.91701418874,57881.0,473.0,0,0,0,0,0,0,0,0,0,128,0,38.53119099911378,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-40905-6,10.42.0.151,40905,172.217.7.3,443,6,06/07/2017 08:24:40,201456,6,13,829.0,8750.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,673.0769230769231,719.0949707257568,47548.844412675724,94.3133984592169,11192.0,21536.45818005311,77291.0,5.0,163069.0,32613.8,31845.162846184347,79367.0,1486.0,164113.0,13676.083333333334,26241.889030737006,80295.0,5.0,0,0,0,0,200,424,29.78317846080534,64.53021999841157,0.0,1418.0,478.95,642.5583303442083,412881.2078947368,0,0,0,1,0,0,0,0,2.0,504.1578947368421,138.16666666666666,673.0769230769231,200,0,0,0,0,0,0,6,829,13,8750,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-41661-6,10.42.0.151,41661,172.217.7.3,443,6,06/07/2017 08:24:40,189559,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,163.53747382081568,21.10160952526654,63186.33333333333,80947.35957604382,154556.0,438.0,189559.0,63186.33333333333,80947.35957604382,154556.0,438.0,0,0,0,0,0,0,0,0,0,128,0,21.10160952526654,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,5087,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-58294-6,10.42.0.151,58294,172.217.7.3,443,6,06/07/2017 08:24:39,861919,252,853,609.0,1197840.0,261.0,0.0,2.4166666666666643,22.9158559557191,1418.0,0.0,1404.267291910903,114.68238982906865,1390442.7214158175,1282.0230207246852,780.7237318840574,3244.3834577026932,41500.0,2.0,859611.0,3424.7450199203186,8803.844889519873,79149.0,5.0,825235.0,968.5856807511715,4701.937464345908,77547.0,2.0,0,0,0,0,8768,27304,292.37086083495086,989.6521598897344,0.0,1418.0,1083.5886075949368,597.7337879707488,357285.68128186016,0,0,0,1,0,0,0,0,3.0,1084.5692307692307,2.4166666666666665,1404.2672919109027,8768,0,0,0,0,0,0,252,609,853,1197840,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-58294-6,10.42.0.151,58294,172.217.7.3,443,6,06/07/2017 08:24:40,68120,8,0,31.0,0.0,31.0,0.0,3.875,10.960155108391488,0,0,0,0,455.079271873165,117.43981209630064,9731.428571428572,22276.545055709328,59986.0,7.0,68120.0,9731.428571428572,22276.545055709328,59986.0,7.0,0,0,0,0,0,0,0,0,0,256,0,117.43981209630064,0.0,0.0,31.0,3.4444444444444446,10.333333333333332,106.77777777777777,0,0,0,0,1,0,0,0,0.0,3.875,3.875,0.0,256,0,0,0,0,0,0,8,31,0,0,3806,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.3-10.42.0.151-443-40905-6,10.42.0.151,40905,172.217.7.3,443,6,06/07/2017 08:24:40,376216,6,0,31.0,0.0,31.0,0.0,5.166666666666667,12.655697004379753,0,0,0,0,82.39947264337508,15.948285027750016,75243.2,147597.13969857278,337813.0,35.0,376216.0,75243.2,147597.13969857278,337813.0,35.0,0,0,0,0,0,0,0,0,0,192,0,15.948285027750016,0.0,0.0,31.0,4.428571428571429,11.716898663286045,137.2857142857143,0,0,0,0,1,0,0,0,0.0,5.166666666666667,5.166666666666667,0.0,192,0,0,0,0,0,0,6,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
