Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.202-10.42.0.151-443-32877-6,10.42.0.151,32877,216.58.219.202,443,6,06/07/2017 06:09:43,37339,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.563298427917196,37339.0,0.0,37339.0,37339.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.781649213958598,26.781649213958598,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.151-443-58517-6,10.42.0.151,58517,216.58.219.202,443,6,06/07/2017 06:09:43,36998,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0569760527596,36998.0,0.0,36998.0,36998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0284880263798,27.0284880263798,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.151-443-54443-6,10.42.0.151,54443,172.217.10.46,443,6,06/07/2017 06:09:50,36993,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,621.7392479658314,54.06428243181143,36993.0,0.0,36993.0,36993.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.032141215905714,27.032141215905714,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.151-80-46256-6,10.42.0.151,46256,151.101.1.140,80,6,06/07/2017 06:09:52,279979,3,4,399.0,356.0,399.0,0.0,133.0,230.36275740666068,356.0,0.0,89.0,178.0,2696.6308187399773,25.00187514063555,46663.166666666664,97579.87998643299,245313.0,16.0,264264.0,132132.0,160062.10520294926,245313.0,18951.0,264318.0,88106.0,152390.1980935782,264071.0,16.0,0,0,0,0,104,136,10.715089345986664,14.286785794648885,0.0,399.0,94.375,175.12602604981362,30669.125,0,0,0,1,0,0,0,0,1.0,107.85714285714286,133.0,89.0,104,0,0,0,0,0,0,3,399,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.151-80-46256-6,10.42.0.151,46256,151.101.1.140,80,6,06/07/2017 06:09:53,1308,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1529.0519877675843,1308.0,0.0,1308.0,1308.0,1308.0,1308.0,0.0,1308.0,1308.0,0,0,0,0,0,0,0,0,0,64,0,1529.0519877675843,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.151-443-41192-6,10.42.0.151,41192,172.217.10.46,443,6,06/07/2017 06:09:53,37133,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,619.3951471736731,53.860447580319395,37133.0,0.0,37133.0,37133.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.930223790159697,26.930223790159697,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.151-443-51332-6,10.42.0.151,51332,216.58.219.202,443,6,06/07/2017 06:09:54,514117,11,10,1586.0,5096.0,1309.0,0.0,144.1818181818182,390.01585049375063,1418.0,0.0,509.59999999999997,539.1390667845666,12997.041529457301,40.8467333311289,25705.85,36265.25949789964,121792.0,13.0,478738.0,47873.8,72499.86400263106,201363.0,13.0,477316.0,53035.11111111111,63609.13038519793,184641.0,39.0,0,0,0,0,372,328,21.395907935353236,19.450825395775666,0.0,1418.0,303.72727272727275,484.68204421319757,234916.68398268402,0,0,0,1,0,0,0,0,0.0,318.1904761904762,144.1818181818182,509.6,372,0,0,0,0,0,0,11,1586,10,5096,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.15-10.42.0.151-443-45660-6,10.42.0.151,45660,157.240.2.15,443,6,06/07/2017 06:09:55,736645,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,1740.3226791738218,17.64757786993735,61387.08333333332,101530.29101115886,330456.0,12.0,576629.0,115325.8,166403.42126500886,365789.0,355.0,701774.0,116962.33333333333,149545.29764411406,366195.0,12.0,0,0,0,0,200,232,8.145035939971086,9.502541929966267,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.46-10.42.0.151-443-37949-6,10.42.0.151,37949,172.217.10.46,443,6,06/07/2017 06:09:56,36691,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.8567223569812,54.50928020495489,36691.0,0.0,36691.0,36691.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.254640102477445,27.254640102477445,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,362,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.1.140-10.42.0.151-443-60387-6,10.42.0.151,60387,151.101.1.140,443,6,06/07/2017 06:10:00,95987,8,4,338.0,3608.0,212.0,0.0,42.24999999999999,81.53833454271677,1448.0,0.0,902.0,694.2468341063333,41109.733609759656,125.01692937585298,8726.09090909091,12014.767142600354,38776.0,6.0,95987.0,13712.428571428572,14906.333920598348,38776.0,6.0,20561.0,6853.666666666666,11695.209118837223,20358.0,50.0,0,0,0,0,264,136,83.34461958390199,41.672309791950994,0.0,1448.0,303.53846153846155,544.9318941214298,296950.7692307692,0,0,0,1,0,0,0,0,0.0,328.8333333333333,42.25,902.0,264,0,0,0,0,0,0,8,338,4,3608,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
