Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.202-10.42.0.42-443-40385-6,10.42.0.42,40385,172.217.6.202,443,6,06/07/2017 12:08:40,37286,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6394357131363,37286.0,0.0,37286.0,37286.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.81971785656815,26.81971785656815,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,5888,404,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.42-443-54128-6,10.42.0.42,54128,172.217.10.74,443,6,06/07/2017 12:08:50,37055,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.973822695992446,37055.0,0.0,37055.0,37055.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.986911347996223,26.986911347996223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
184.72.248.107-10.42.0.42-443-53682-6,184.72.248.107,443,10.42.0.42,53682,6,06/07/2017 12:08:52,1167771,1,3,31.0,31.0,31.0,31.0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,53.09260120348939,3.4253291099025414,389257.0,594470.1220852062,1073551.0,195.0,0,0,0,0,0,1073746.0,536873.0,758977.306227268,1073551.0,195.0,1,0,0,0,32,96,0.8563322774756353,2.568996832426906,0.0,31.0,18.6,16.97939928266015,288.30000000000007,0,1,0,0,1,0,0,0,3.0,23.25,31.0,10.333333333333334,32,0,0,0,0,0,0,1,31,3,31,137,1686,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-107.22.172.165-48774-443-6,107.22.172.165,443,10.42.0.42,48774,6,06/07/2017 12:08:51,5019414,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.176019750512709,0.5976793306947783,2509707.0,3465544.4767308934,4960217.0,59197.0,5019414.0,5019414.0,0.0,5019414.0,5019414.0,0,0,0,0,0,1,0,0,0,64,32,0.39845288712985216,0.19922644356492608,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,126,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-38591-6,157.240.2.20,443,10.42.0.42,38591,6,06/07/2017 12:08:58,28,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1500000.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,160,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.2.20-10.42.0.42-443-38591-6,10.42.0.42,38591,157.240.2.20,443,6,06/07/2017 12:08:58,520,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,80769.23076923078,5769.2307692307695,260.0,264.45793616376875,447.0,73.0,520.0,260.0,264.45793616376875,447.0,73.0,0,0,0,0,0,0,0,0,0,96,0,5769.2307692307695,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.254.66.16-52816-80-6,10.42.0.42,52816,104.254.66.16,80,6,06/07/2017 12:08:50,10111274,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3955980225637244,3370424.6666666665,5748670.770615615,1.0008235E7,8845.0,1.0111274E7,5055637.0,7004031.260581866,1.0008235E7,103039.0,0,0,0,0,0,0,0,0,0,80,32,0.2966985169227933,0.0988995056409311,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.254.66.16-52818-80-6,10.42.0.42,52818,104.254.66.16,80,6,06/07/2017 12:08:51,10110290,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39563652476833006,3370096.6666666665,5751469.636831732,1.0011142E7,7258.0,1.011029E7,5055145.0,7008838.172480372,1.0011142E7,99148.0,0,0,0,0,0,0,0,0,0,80,32,0.29672739357624756,0.09890913119208251,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.254.66.16-52815-80-6,10.42.0.42,52815,104.254.66.16,80,6,06/07/2017 12:08:50,11140267,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4488222768807965,2785066.75,4867362.027029931,1.0055509E7,2926.0,1.1140267E7,3713422.3333333335,5510537.788255729,1.0055509E7,95748.0,0,0,0,0,0,0,0,0,0,120,32,0.3590578215046372,0.0897644553761593,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,4,0,1,0,65535,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.254.66.16-52818-80-6,104.254.66.16,80,10.42.0.42,52818,6,06/07/2017 12:09:01,221355,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.552890153825304,110677.5,145718.44414658015,213716.0,7639.0,0,0,0,0,0,213716.0,213716.0,0.0,213716.0,213716.0,0,0,0,0,20,40,4.517630051275101,9.035260102550202,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,29,1369,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.42-80-47505-6,10.42.0.42,47505,175.100.207.231,80,6,06/07/2017 12:08:56,5543666,4,4,448.0,354.0,448.0,0.0,112.0,224.00000000000003,354.0,0.0,88.5,177.0,144.66961032645185,1.4430883823087466,791952.2857142857,1857670.6596790073,4997162.0,468.0,546504.0,182168.0,158469.72898317204,291766.0,468.0,5296478.0,1765492.6666666667,2802854.0727755227,4999590.0,41431.0,0,0,0,0,100,92,0.7215441911543733,0.7215441911543733,0.0,448.0,89.11111111111111,178.3791218475725,31819.11111111111,0,0,0,1,0,0,0,0,1.0,100.25,112.0,88.5,100,0,0,0,0,0,0,4,448,4,354,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.42-80-47505-6,10.42.0.42,47505,175.100.207.231,80,6,06/07/2017 12:09:02,44190,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45.25910839556461,44190.0,0.0,44190.0,44190.0,44190.0,44190.0,0.0,44190.0,44190.0,0,0,0,0,0,0,0,0,0,40,0,45.25910839556461,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
205.185.216.10-10.42.0.42-80-56532-6,10.42.0.42,56532,205.185.216.10,80,6,06/07/2017 12:08:52,10328311,54,148,404.0,208661.0,404.0,0.0,7.481481481481482,54.977436449133556,1448.0,0.0,1409.8716216216212,223.4688576639971,20241.935007572876,19.557892863605677,51384.63184079602,702274.5667974341,9955206.0,3.0,373105.0,7039.716981132074,34092.41397932378,247698.0,4.0,1.0308496E7,70125.8231292517,822355.468146083,9969185.0,3.0,0,0,0,0,1736,4744,5.228347597201518,14.329545266404159,0.0,1448.0,1029.8768472906409,653.9225509034769,427614.7025801103,0,0,0,1,0,0,0,0,2.0,1034.9752475247524,7.481481481481482,1409.8716216216217,1736,0,0,0,0,0,0,54,404,148,208661,65535,31,1,32,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.42-80-47513-6,10.42.0.42,47513,175.100.207.231,80,6,06/07/2017 12:08:57,5592952,4,4,386.0,862.0,386.0,0.0,96.5,192.99999999999997,862.0,0.0,215.5,431.0,223.13797794080836,1.4303716534667201,798993.1428571427,1854712.6976096528,4996956.0,388.0,595996.0,198665.3333333333,175816.3653626514,335566.0,388.0,5335406.0,1778468.6666666667,2790985.852905982,4999398.0,74128.0,0,0,0,0,100,92,0.7151858267333601,0.7151858267333601,0.0,862.0,138.66666666666666,299.7882586093058,89873.00000000001,0,0,0,1,0,0,0,0,1.0,156.0,96.5,215.5,100,0,0,0,0,0,0,4,386,4,862,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
