Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.142-10.42.0.42-443-53196-6,10.42.0.42,53196,172.217.10.142,443,6,06/07/2017 03:18:17,37067,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,620.4980171041627,53.956349313405454,37067.0,0.0,37067.0,37067.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.978174656702727,26.978174656702727,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-44384-6,10.42.0.42,44384,172.217.6.234,443,6,06/07/2017 03:18:18,37043,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.99130739950868,37043.0,0.0,37043.0,37043.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.99565369975434,26.99565369975434,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-52462-443-6,31.13.71.37,443,10.42.0.42,52462,6,06/07/2017 03:18:19,29,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1448275.8620689656,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,1,0,0,0,64,0,68965.5172413793,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-52462-443-6,31.13.71.37,443,10.42.0.42,52462,6,06/07/2017 03:18:19,86219,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,487.13160672241617,23.19674317725791,86219.0,0.0,86219.0,86219.0,86219.0,86219.0,0.0,86219.0,86219.0,0,0,0,0,0,0,0,0,0,64,0,23.19674317725791,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,1,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.71.37-52462-443-6,10.42.0.42,52462,31.13.71.37,443,6,06/07/2017 03:18:19,7400,5,0,42.0,0.0,42.0,0.0,8.4,18.782971010998235,0,0,0,0,5675.675675675676,675.6756756756756,1850.0000000000002,3495.9349726980527,7093.0,45.0,7400.0,1850.0000000000002,3495.9349726980527,7093.0,45.0,0,0,0,0,0,0,0,0,0,184,0,675.6756756756756,0.0,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,0,0,0,0.0,8.4,8.4,0.0,184,0,0,0,0,0,0,5,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-80-60272-6,10.42.0.42,60272,151.101.21.140,80,6,06/07/2017 03:18:25,821949,3,4,399.0,356.0,399.0,0.0,133.0,230.36275740666068,356.0,0.0,89.0,178.0,918.5484744187291,8.516343471431925,136991.5,249207.35581338685,639716.0,28.0,782729.0,391364.5,351222.0595357017,639716.0,143013.0,783299.0,261099.6666666667,451805.7961252083,782800.0,28.0,0,0,0,0,104,136,3.6498614877565396,4.866481983675386,0.0,399.0,94.375,175.12602604981362,30669.125,0,0,0,1,0,0,0,0,1.0,107.85714285714286,133.0,89.0,104,0,0,0,0,0,0,3,399,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-80-60272-6,10.42.0.42,60272,151.101.21.140,80,6,06/07/2017 03:18:26,24604,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,81.28759551292472,24604.0,0.0,24604.0,24604.0,24604.0,24604.0,0.0,24604.0,24604.0,0,0,0,0,0,0,0,0,0,64,0,81.28759551292472,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-14.63.217.73-59931-443-6,10.42.0.42,59931,14.63.217.73,443,6,06/07/2017 03:18:23,6876139,9,7,546.0,3266.0,195.0,0.0,60.666666666666664,86.14957922125912,1448.0,0.0,466.57142857142856,676.7485641267508,554.3808814801446,2.3268872255200193,458409.26666666666,1364420.0225692163,5376049.0,11.0,6876139.0,859517.375,1835276.6312556602,5376049.0,120.0,1058781.0,176463.5,205652.31032667734,430039.0,11.0,0,0,0,0,296,232,1.3088740643550107,1.0180131611650085,0.0,1448.0,224.23529411764707,468.3392906605965,219341.69117647066,0,0,0,1,0,0,0,0,0.0,238.25,60.666666666666664,466.57142857142856,296,0,0,0,0,0,0,9,546,7,3266,65535,260,4,32,1499970.0,0.0,1499970.0,1499970.0,5376049.0,0.0,5376049.0,5376049.0,BENIGN
151.101.21.140-10.42.0.42-443-55035-6,10.42.0.42,55035,151.101.21.140,443,6,06/07/2017 03:18:34,213260,7,4,331.0,3608.0,205.0,0.0,47.285714285714285,83.91407169582125,1448.0,0.0,902.0,694.2468341063333,18470.411704023256,51.580230704304604,21326.0,27306.309095966164,81054.0,11.0,213260.0,35543.33333333333,31037.695401989284,81054.0,340.0,46941.0,15647.0,26941.307559211004,46756.0,11.0,0,0,0,0,232,136,32.823783175466566,18.756447528838038,0.0,1448.0,328.25,561.2709805756607,315025.11363636365,0,0,0,1,0,0,0,0,0.0,358.09090909090907,47.285714285714285,902.0,232,0,0,0,0,0,0,7,331,4,3608,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-55036-6,10.42.0.42,55036,151.101.21.140,443,6,06/07/2017 03:18:34,213043,7,4,331.0,3608.0,205.0,0.0,47.285714285714285,83.91407169582125,1448.0,0.0,902.0,694.2468341063333,18489.22517989326,51.632768971522175,21304.3,29879.466323696095,93552.0,18.0,213043.0,35507.166666666664,35137.72919479383,93552.0,38.0,47265.0,15755.0,27003.07221410186,46935.0,18.0,0,0,0,0,232,136,32.85721661824139,18.77555235328079,0.0,1448.0,328.25,561.2709805756607,315025.11363636365,0,0,0,1,0,0,0,0,0.0,358.09090909090907,47.285714285714285,902.0,232,0,0,0,0,0,0,7,331,4,3608,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-55037-6,10.42.0.42,55037,151.101.21.140,443,6,06/07/2017 03:18:34,213388,6,4,331.0,3608.0,205.0,0.0,55.16666666666667,89.04025306942174,1448.0,0.0,902.0,694.2468341063333,18459.332296099125,46.86299135846439,23709.777777777777,33616.83385886369,102790.0,11.0,213388.0,42677.6,39172.371568491995,102790.0,1350.0,46898.0,15632.666666666668,26839.577722708927,46624.0,11.0,0,0,0,0,200,136,28.117794815078636,18.74519654338576,0.0,1448.0,358.0909090909091,578.5959651683469,334773.2909090909,0,0,0,1,0,0,0,0,0.0,393.9,55.166666666666664,902.0,200,0,0,0,0,0,0,6,331,4,3608,65535,59,2,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-55036-6,151.101.21.140,443,10.42.0.42,55036,6,06/07/2017 03:18:34,24017,3,1,289.0,0.0,258.0,0.0,96.33333333333334,140.8628174265066,0.0,0.0,0.0,0.0,12033.143190240246,166.54869467460549,8005.666666666666,11837.345240100643,21606.0,24.0,24017.0,12008.5,16948.642438260358,23993.0,24.0,0,0,0,0,0,1,0,0,0,96,20,124.91152100595411,41.63717366865137,0.0,258.0,109.4,136.24169699471597,18561.8,0,1,0,0,1,0,0,0,0.0,136.75,96.33333333333333,0.0,96,0,0,0,0,0,0,3,289,1,0,59,0,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-55035-6,151.101.21.140,443,10.42.0.42,55035,6,06/07/2017 03:18:34,36520,3,1,289.0,0.0,258.0,0.0,96.33333333333334,140.8628174265066,0.0,0.0,0.0,0.0,7913.472070098577,109.5290251916758,12173.333333333332,17239.10149437416,31903.0,19.0,36520.0,18260.0,25796.669591247628,36501.0,19.0,0,0,0,0,0,1,0,0,0,96,20,82.14676889375686,27.38225629791895,0.0,258.0,109.4,136.24169699471597,18561.8,0,1,0,0,1,0,0,0,0.0,136.75,96.33333333333333,0.0,96,0,0,0,0,0,0,3,289,1,0,59,0,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.42-443-55037-6,151.101.21.140,443,10.42.0.42,55037,6,06/07/2017 03:18:34,14944,3,1,289.0,0.0,258.0,0.0,96.33333333333334,140.8628174265066,0.0,0.0,0.0,0.0,19338.865096359743,267.66595289079225,4981.333333333334,6644.276208386684,12531.0,24.0,14944.0,7472.0,10533.062612554811,14920.0,24.0,0,0,0,0,0,1,0,0,0,96,20,200.74946466809422,66.91648822269806,0.0,258.0,109.4,136.24169699471597,18561.8,0,1,0,0,1,0,0,0,0.0,136.75,96.33333333333333,0.0,96,0,0,0,0,0,0,3,289,1,0,59,0,1,32,0,0,0,0,0,0,0,0,BENIGN
