Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.174-10.42.0.211-443-38006-6,10.42.0.211,38006,172.217.12.174,443,6,07/07/2017 02:42:26,205743,8,9,1146.0,6026.0,787.0,0.0,143.25,273.95763488956777,1418.0,0.0,669.5555555555555,692.3738352781521,34859.023150240835,82.62735548718547,12858.9375,18577.674520666824,55411.0,6.0,150272.0,21467.428571428572,20048.01345817205,42951.0,11.0,168998.0,21124.750000000004,29723.771053533183,65283.0,6.0,0,0,0,0,264,296,38.88346140573434,43.74389408145113,0.0,1418.0,398.44444444444446,579.1314208488252,335393.20261437906,0,0,0,1,0,0,0,0,1.0,421.88235294117646,143.25,669.5555555555555,264,0,0,0,0,0,0,8,1146,9,6026,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.140-10.42.0.211-443-41474-6,10.42.0.211,41474,206.126.112.140,443,6,07/07/2017 02:42:27,453746,196,1031,1030.0,1480129.0,641.0,0.0,5.255102040816327,49.413443872838414,1448.0,0.0,1435.624636275463,106.5732244476242,3264291.0350724855,2704.15606969538,370.10277324632887,1829.07206696831,44449.0,-1.0,453746.0,2326.9025641025646,5683.00972929317,51424.0,8.0,410799.0,398.83398058252436,2440.9279143796803,48789.0,5.0,0,0,0,0,6280,33000,431.95973077448616,2272.196338920894,0.0,1448.0,1206.1555374592833,534.5302817241987,285722.6220801512,0,0,0,1,0,0,0,0,5.0,1207.1385493072535,5.255102040816326,1435.6246362754607,6280,0,0,0,0,0,0,196,1030,1031,1480129,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.52.204.176-36193-80-6,52.52.204.176,80,10.42.0.211,36193,6,07/07/2017 02:42:28,289197,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.373551592858847,144598.5,139674.09538099755,243363.0,45834.0,289197.0,289197.0,0.0,289197.0,289197.0,0,0,0,0,0,0,0,0,0,64,32,6.9157010619058985,3.4578505309529493,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,57,1403,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.211-443-41150-6,10.42.0.211,41150,172.217.11.14,443,6,07/07/2017 02:42:33,36633,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.59558321731772,36633.0,0.0,36633.0,36633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.29779160865886,27.29779160865886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.211-443-44046-6,10.42.0.211,44046,172.217.11.14,443,6,07/07/2017 02:42:33,37318,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.59344016292406,37318.0,0.0,37318.0,37318.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.79672008146203,26.79672008146203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-50.18.216.126-51193-80-6,50.18.216.126,80,10.42.0.211,51193,6,07/07/2017 02:42:43,232063,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.618349327553293,232063.0,0.0,232063.0,232063.0,232063.0,232063.0,0.0,232063.0,232063.0,0,0,0,0,0,0,0,0,0,64,0,8.618349327553293,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,87,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-44315-6,10.42.0.211,44315,172.217.10.42,443,6,07/07/2017 02:42:44,37005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.046750439129845,37005.0,0.0,37005.0,37005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.023375219564922,27.023375219564922,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4440,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.214.41.78-58057-443-6,54.214.41.78,443,10.42.0.211,58057,6,07/07/2017 02:42:43,4999886,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.200141363223081,0.6000136803119112,2499943.0,3520295.7547981674,4989168.0,10718.0,4999886.0,4999886.0,0.0,4999886.0,4999886.0,0,0,0,0,0,1,0,0,0,64,32,0.4000091202079407,0.20000456010397036,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,125,1595,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-34.197.152.137-35632-443-6,34.197.152.137,443,10.42.0.211,35632,6,07/07/2017 02:42:44,5001278,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.198415684950926,0.5998466791887993,2500639.0,3522206.3573209336,4991215.0,10063.0,5001278.0,5001278.0,0.0,5001278.0,5001278.0,0,0,0,0,0,1,0,0,0,64,32,0.39989778612586624,0.19994889306293312,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,119,1731,0,32,0,0,0,0,0,0,0,0,BENIGN
175.100.207.233-10.42.0.211-80-36824-6,10.42.0.211,36824,175.100.207.233,80,6,07/07/2017 02:42:47,5586884,4,4,448.0,354.0,448.0,0.0,112.0,224.00000000000003,354.0,0.0,88.5,177.0,143.55050149600385,1.4319252019551505,798126.2857142857,1851703.9944666924,4989599.0,83.0,597285.0,199095.0,172901.52614711068,312407.0,83.0,5329309.0,1776436.3333333333,2791508.1752529996,4996874.0,47458.0,0,0,0,0,100,92,0.7159626009775752,0.7159626009775752,0.0,448.0,89.11111111111111,178.3791218475725,31819.11111111111,0,0,0,1,0,0,0,0,1.0,100.25,112.0,88.5,100,0,0,0,0,0,0,4,448,4,354,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
