Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-52.24.54.52-50604-443-6,52.24.54.52,443,10.42.0.211,50604,6,07/07/2017 03:28:34,60,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,516666.6666666666,33333.333333333336,60.0,0.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0,0,0,0,0,1,0,0,0,64,0,33333.333333333336,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,147,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.24.54.52-50604-443-6,10.42.0.211,50604,52.24.54.52,443,6,07/07/2017 03:28:34,71537,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93634063491619,35768.5,5179.55717219146,39431.0,32106.0,39431.0,39431.0,0.0,39431.0,39431.0,0,0,0,0,0,0,0,0,0,64,32,27.957560423277464,13.978780211638732,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,1957,147,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.211-443-36974-6,10.42.0.211,36974,172.217.6.234,443,6,07/07/2017 03:28:36,36648,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.57323728443571,36648.0,0.0,36648.0,36648.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.286618642217856,27.286618642217856,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4485,383,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-107.178.254.148-43861-443-6,10.42.0.211,43861,107.178.254.148,443,6,07/07/2017 03:28:38,481,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,64449.06444906445,4158.004158004158,481.0,0.0,481.0,481.0,481.0,481.0,0.0,481.0,481.0,0,0,0,0,0,1,0,0,0,64,0,4158.004158004158,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1639,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.137.201.232-51539-443-6,10.42.0.211,51539,98.137.201.232,443,6,07/07/2017 03:28:38,260,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,119230.76923076923,7692.307692307693,260.0,0.0,260.0,260.0,260.0,260.0,0.0,260.0,260.0,0,0,0,0,0,1,0,0,0,64,0,7692.307692307693,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-50848-443-6,10.42.0.211,50848,74.6.105.9,443,6,07/07/2017 03:28:38,425989,10,10,3227.0,5603.0,1448.0,0.0,322.7,491.42560191978424,1448.0,0.0,560.3,660.4988098231348,20728.234766625428,46.9495691203294,22420.473684210527,53467.46224197003,238034.0,6.0,399051.0,44339.00000000001,74149.0917560694,238034.0,75.0,400991.0,44554.555555555555,86785.21746114241,268882.0,6.0,0,0,0,0,328,328,23.4747845601647,23.4747845601647,0.0,1448.0,420.4761904761905,573.0501390844975,328386.4619047619,0,0,0,1,0,0,0,0,1.0,441.5,322.7,560.3,328,0,0,0,0,0,0,10,3227,10,5603,65535,176,5,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-50848-443-6,10.42.0.211,50848,74.6.105.9,443,6,07/07/2017 03:28:38,269,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,115241.63568773236,7434.9442379182165,269.0,0.0,269.0,269.0,269.0,269.0,0.0,269.0,269.0,0,0,0,0,0,1,0,0,0,64,0,7434.9442379182165,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.137.201.232-51539-443-6,98.137.201.232,443,10.42.0.211,51539,6,07/07/2017 03:28:38,46,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,673913.0434782609,43478.260869565216,46.0,0.0,46.0,46.0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,0,1,0,0,0,64,0,43478.260869565216,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,72,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.97-10.42.0.211-443-44920-6,10.42.0.211,44920,172.217.10.97,443,6,07/07/2017 03:28:38,36595,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.65227490094275,36595.0,0.0,36595.0,36595.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.326137450471375,27.326137450471375,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.211-443-40421-6,10.42.0.211,40421,172.217.6.234,443,6,07/07/2017 03:28:38,36716,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.472164723826126,36716.0,0.0,36716.0,36716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.236082361913063,27.236082361913063,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
