Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
151.101.21.140-10.42.0.211-80-55062-6,10.42.0.211,55062,151.101.21.140,80,6,07/07/2017 07:31:17,52269,3,4,369.0,356.0,369.0,0.0,123.0,213.0422493309719,356.0,0.0,89.0,178.0,13870.554248215958,133.92259274139548,8711.5,11623.95608646213,23750.0,40.0,28206.0,14103.0,19246.03237033545,27712.0,494.0,28519.0,9506.333333333332,15949.672170089683,27921.0,40.0,0,0,0,0,104,136,57.39539688916948,76.52719585222599,0.0,369.0,90.625,167.8408578726544,28170.55357142857,0,0,0,1,0,0,0,0,1.0,103.57142857142857,123.0,89.0,104,0,0,0,0,0,0,3,369,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.211-80-55062-6,10.42.0.211,55062,151.101.21.140,80,6,07/07/2017 07:31:17,10033,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,199.3421708362404,10033.0,0.0,10033.0,10033.0,10033.0,10033.0,0.0,10033.0,10033.0,0,0,0,0,0,0,0,0,0,64,0,199.3421708362404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.23.99.56-47603-443-6,23.23.99.56,443,10.42.0.211,47603,6,07/07/2017 07:31:23,4997573,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.2030109415110095,0.6002913814365493,2498786.5,3507021.2391949524,4978625.0,18948.0,4997573.0,4997573.0,0.0,4997573.0,4997573.0,0,0,0,0,0,1,0,0,0,64,32,0.4001942542910329,0.20009712714551645,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.151.2-33909-443-6,54.225.151.2,443,10.42.0.211,33909,6,07/07/2017 07:31:24,4994714,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.206561576899098,0.600634991312816,2497357.0,3517095.389506517,4984319.0,10395.0,4994714.0,4994714.0,0.0,4994714.0,4994714.0,0,0,0,0,0,1,0,0,0,64,32,0.40042332754187726,0.20021166377093863,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.217.63.49-51063-443-6,10.42.0.211,51063,74.217.63.49,443,6,07/07/2017 07:31:32,233196,8,10,706.0,8592.0,361.0,0.0,88.25,137.2450883846642,1460.0,0.0,859.2,682.9362748862851,39872.03897150895,77.18828796377296,13717.411764705883,14985.532660948456,34307.0,4.0,201402.0,28771.714285714286,20493.627706470823,64757.0,1310.0,203087.0,22565.22222222222,33748.12792873768,74966.0,4.0,0,0,0,0,180,212,34.305905761676875,42.882382202096096,0.0,1460.0,489.3684210526315,633.503241290166,401326.35672514624,0,0,0,1,0,0,0,0,1.0,516.5555555555555,88.25,859.2,180,0,0,0,0,0,0,8,706,10,8592,65535,131,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.217.63.49-51063-443-6,10.42.0.211,51063,74.217.63.49,443,6,07/07/2017 07:31:33,4182,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,717.3601147776184,2091.0,1277.034846822905,2994.0,1188.0,4182.0,2091.0,1277.034846822905,2994.0,1188.0,0,0,0,0,0,0,0,0,0,60,0,717.3601147776184,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,1597,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.217.63.49-51065-443-6,10.42.0.211,51065,74.217.63.49,443,6,07/07/2017 07:31:33,171265,8,7,973.0,3637.0,629.0,0.0,121.625,220.61598018794044,1460.0,0.0,519.5714285714286,654.2180719869223,26917.350305082768,87.58356932239512,12233.214285714286,14164.592411408054,33805.0,19.0,140213.0,20030.428571428572,19880.11208768823,47780.0,88.0,140865.0,23477.5,25995.07450075879,55385.0,19.0,0,0,0,0,180,152,46.71123697194406,40.87233235045105,0.0,1460.0,288.125,489.1130578233762,239231.58333333337,0,0,0,1,0,0,0,0,0.0,307.3333333333333,121.625,519.5714285714286,180,0,0,0,0,0,0,8,973,7,3637,65535,133,3,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-33036-6,10.42.0.211,33036,172.217.10.238,443,6,07/07/2017 07:31:33,36705,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.48848930663397,36705.0,0.0,36705.0,36705.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.244244653316986,27.244244653316986,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.176-10.42.0.211-443-52434-6,10.42.0.211,52434,172.217.12.176,443,6,07/07/2017 07:31:33,36689,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.51225162855352,36689.0,0.0,36689.0,36689.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.25612581427676,27.25612581427676,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4851,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.211-443-48303-6,10.42.0.211,48303,172.217.10.238,443,6,07/07/2017 07:31:33,36666,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54644629902362,36666.0,0.0,36666.0,36666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.27322314951181,27.27322314951181,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,383,0,32,0,0,0,0,0,0,0,0,BENIGN
